runnum	A80eq_fixN_2	D1 (T.m)	Q1 (T/m)	Q2 (T/m)
224	2033	0.347	0.48	1.02
226	1217	0.347	0.48	0.98
228	-999	0.347	0.48	0.94
230	-999	0.347	0.48	0.9
232	-999	0.347	0.48	0.86
234	-999	0.347	0.48	1.06
235	-999	0.347	0.48	1.06
237	1684	0.347	0.48	1
238	1688	0.347	0.48	1
239	1671	0.347	0.48	1
240	1684	0.347	0.48	1
241	1674	0.347	0.48	1
242	1672	0.347	0.48	1
243	1695	0.347	0.48	1
244	1676	0.347	0.48	1
245	1669	0.347	0.48	1
246	1643	0.347	0.48	1
247	1706	0.347	0.48	1
250	431	0.347	0.48	0.96
252	1513	0.343	0.48	0.98
254	1286.5	0.343	0.5	0.98
256	585.25	0.343	0.5	0.94
258	1855	0.343	0.5	1
260	2199	0.343	0.5	1.02
262	2320	0.343	0.5	1.04
263	2321	0.343	0.5	1.04
265	-999	0.343	0.5	1.06
267	339.2	0.343	0.5	0.96
269	1431	0.343	0.5	0.99
272	1185	0.343	0.52	0.99
274	317.1428571	0.343	0.52	0.96
276	1982	0.343	0.52	1.02
278	2213	0.343	0.52	1.04
280	1607	0.343	0.52	1
282	1856	0.343	0.52	1.01
284	1555	0.343	0.54	1.01
286	953.5	0.343	0.54	0.99
288	380.1666667	0.343	0.54	0.96
290	2067	0.343	0.54	1.05
292	1307.5	0.343	0.54	1
294	2008	0.343	0.54	1.03
296	1811	0.343	0.54	1.02
310	1493	0.343	0.56	1.02
312	1248	0.343	0.56	1.01
314	795.5	0.343	0.56	1
316	1856	0.343	0.56	1.04
318	856.5	0.343	0.6	1.02
320	1202	0.343	0.6	1.04
322	497.6666667	0.343	0.6	1
324	207.8333333	0.343	0.6	0.99
326	1108	0.343	0.58	1.02
328	1012.5	0.343	0.58	1.01
330	828.5	0.343	0.58	1
332	1589	0.343	0.58	1.04
334	1739	0.343	0.58	1.06
335	1793	0.343	0.58	1.06
345	1410	0.343	0.58	1.03
347	1687	0.343	0.58	1.05
349	1141	0.343	0.62	1.05
351	892	0.343	0.62	1.03
353	568.3333333	0.343	0.62	1.01
355	1249	0.343	0.62	1.07
357	1469	0.343	0.58	1.04
359	1466	0.343	0.56	1.02
361	1299	0.343	0.57	1.02
362	1316.5	0.343	0.57	1.02
364	870.5	0.343	0.57	1
366	1665	0.343	0.57	1.04
368	1558	0.343	0.58	1.04
369	1604	0.343	0.58	1.04
377	1532	0.341	0.56	1.02
379	1506	0.342	0.56	1.02
381	1353	0.345	0.56	1.02
383	1173.5	0.347	0.56	1.02
385	-999	0.339	0.56	1.02
