D1 (T.m)	Q1 (T/m)	Q2 (T/m)	A80eq_fixN_2	runnum_in_avg	runnum_outside_50
0.347	0.56	1.02	1173.5	383	
0.347	0.48	1.06	-999.0		234,235
0.347	0.48	1.02	2033.0	224	
0.347	0.48	1.0	1681.9	237,238,239,240,241,242,243,244,245,247	246
0.347	0.48	0.98	1217.0	226	
0.347	0.48	0.96	431.0	250	
0.347	0.48	0.94	-999.0		228
0.347	0.48	0.9	-999.0		230
0.347	0.48	0.86	-999.0		232
0.345	0.56	1.02	1353.0	381	
0.343	0.62	1.07	1249.0	355	
0.343	0.62	1.05	1141.0	349	
0.343	0.62	1.03	892.0	351	
0.343	0.62	1.01	568.3333333	353	
0.343	0.6	1.04	1202.0	320	
0.343	0.6	1.02	856.5	318	
0.343	0.6	1.0	497.6666667	322	
0.343	0.6	0.99	207.8333333	324	
0.343	0.58	1.06	1793.0	335	334
0.343	0.58	1.05	1687.0	347	
0.343	0.58	1.04	1583.6666666666667	332,368,369	357
0.343	0.58	1.03	1410.0	345	
0.343	0.58	1.02	1108.0	326	
0.343	0.58	1.01	1012.5	328	
0.343	0.58	1.0	828.5	330	
0.343	0.57	1.04	1665.0	366	
0.343	0.57	1.02	1307.75	361,362	
0.343	0.57	1.0	870.5	364	
0.343	0.56	1.04	1856.0	316	
0.343	0.56	1.02	1479.5	310,359	
0.343	0.56	1.01	1248.0	312	
0.343	0.56	1.0	795.5	314	
0.343	0.54	1.05	2067.0	290	
0.343	0.54	1.03	2008.0	294	
0.343	0.54	1.02	1811.0	296	
0.343	0.54	1.01	1555.0	284	
0.343	0.54	1.0	1307.5	292	
0.343	0.54	0.99	953.5	286	
0.343	0.54	0.96	380.1666667	288	
0.343	0.52	1.04	2213.0	278	
0.343	0.52	1.02	1982.0	276	
0.343	0.52	1.01	1856.0	282	
0.343	0.52	1.0	1607.0	280	
0.343	0.52	0.99	1185.0	272	
0.343	0.52	0.96	317.1428571	274	
0.343	0.5	1.06	-999.0		265
0.343	0.5	1.04	2320.5	262,263	
0.343	0.5	1.02	2199.0	260	
0.343	0.5	1.0	1855.0	258	
0.343	0.5	0.99	1431.0	269	
0.343	0.5	0.98	1286.5	254	
0.343	0.5	0.96	339.2	267	
0.343	0.5	0.94	585.25	256	
0.343	0.48	0.98	1513.0	252	
0.342	0.56	1.02	1506.0	379	
0.341	0.56	1.02	1532.0	377	
0.339	0.56	1.02	-999.0		385
