runnum	A80eq_fixN_2	D1 (T.m)	Q1 (T/m)	Q2 (T/m)
3	-999			
7	-999			
8	-999			
9	-999			
10	-999			
12	-999	0.347	0	0
14	-999	0.351	0	0
16		0.354	0	0
18	-999	0.344	0	0
20	-999	0.34	0	0
21	-999	0.34	0	0
22	-999	0.34	0	0
23	-999	0.34	0	0
24		0.337	0	0
25		0.337	0	0
26		0.337	0	0
27		0.337	0	0
28		0.333	0	0
30		0	0	0
32	-999	0.347	1.4	1.1
36	-999	0.347	1.2	0
38	-999	0.347	1.4	0
39	-999	0.347	1.4	0
40	-999	0.347	1.4	0
41	-999			
42	-999	0.347	1	0
44	-999	0.347	0.8	0
46	-999	0.347	0.6	0
47	-999			
48	-999	0.347	0.75	0
49	-999			
50	-999	0.347	0.7	0
51	-999	0.347	0.7	0
52	-999	0.347	0.7	0
53	-999	0.347	0.7	0
54	-999	0.347	0.7	0
55	-999	0.347	0.65	0
56	-999			
57	-999	0.347	1.09	1.24
58	-999			
59	-999	0.347	1.09	1.3
60	-999	0.347	1.09	1.3
61	-999	0.347	1.09	1.26
63	-999	0.347	1.09	1.23
64	-999			
65	-999	0.347	1.09	1.22
67	-999	0.347	1.09	1.21
69	-999	0.347	1.09	1.2
70	-999	0.347	1.09	1.2
71	2205	0.347	1.09	1.19
72	2161	0.347	1.09	1.19
73	2149	0.347	1.09	1.19
74	2172	0.347	1.09	1.19
75	2191	0.347	1.09	1.19
76	2145	0.347	1.09	1.19
77	2174	0.347	1.09	1.19
78	2198	0.347	1.09	1.19
79	2182	0.347	1.09	1.19
81	-999	0.347	1.09	1.19
82	2049	0.347	1.09	1.18
84	2002	0.347	1.09	1.17
86	1835	0.347	1.09	1.15
88	1627	0.347	1.09	1.13
90	1375.5	0.347	1.09	1.11
92	1090	0.347	1.09	1.09
94	813	0.347	1.09	1.07
96	560.25	0.347	1.09	1.05
98	1905	0.347	1.07	1.13
99	1915	0.347	1.09	1.13
101	327	0.347	1.09	1.03
103	818.6666667	0.347	1.09	1.07
104	808.3333333	0.347	1.09	1.07
105	828.3333333	0.347	1.09	1.07
106	821.3333333	0.347	1.09	1.07
107	812.3333333	0.347	1.09	1.07
108	825.6666667	0.347	1.09	1.07
109	825	0.347	1.09	1.07
110	827	0.347	1.09	1.07
111	815.3333333	0.347	1.09	1.07
112	808	0.347	1.09	1.07
113	831.3333333	0.347	1.09	1.07
114	-999	0.347	1.09	1.07
115	208.2	0.347	1.09	1
117	378.8	0.347	1.09	0.96
119	1688	0.347	1.07	1.11
123	1693	0.347	1.07	1.11
124		0.347	1.07	1.12
126	1353.5	0.347	1.07	1.09
128	1135.5	0.347	1.07	1.07
130	834	0.347	1.07	1.05
133	535.5	0.347	1.07	1.03
145	-999	0.347	1.07	1.12
149	271.375	0.347	1.07	1.09
151	518	0.347	1.07	0.96
153	753	0.347	1.07	0.9
155	-999	0.347	1.07	0.85
157	1253.5	0.347	1.11	1.13
159	1005.5	0.347	1.11	1.11
161	784.3333333	0.347	1.11	1.09
163	1531	0.347	1.11	1.15
164	1538	0.347	1.11	1.15
166	1734	0.347	1.11	1.17
167	1741	0.347	1.11	1.17
168	1750	0.347	1.11	1.17
169	1730	0.347	1.11	1.17
170	1794	0.347	1.11	1.17
171	1742	0.347	1.11	1.17
172	1759	0.347	1.11	1.17
173	1775	0.347	1.11	1.17
174	1949	0.347	1.11	1.19
176	1718	0.347	1.11	1.16
178	1297	0.347	1.13	1.16
180	1526	0.347	1.13	1.18
182	1676	0.347	1.13	1.2
184	1771	0.347	1.13	1.22
186	989.5	0.347	1.13	1.13
188	883.5	0.347	1.13	1.11
190	1707	0.345	1.11	1.16
192	1699	0.343	1.11	1.16
194	1651	0.346	1.11	1.16
196	1679	0.347	1.11	1.16
198	1715	0.348	1.11	1.16
199	1683	0.348	1.11	1.16
200	1642	0.348	1.11	1.16
201	1636	0.348	1.11	1.16
202	1684	0.348	1.11	1.16
203	1676	0.348	1.11	1.16
204	1669	0.348	1.11	1.16
205	1668	0.348	1.11	1.16
206	1672	0.348	1.11	1.16
207	1704	0.348	1.11	1.16
210	1633	0.35	1.11	1.16
211	1662	0.35	1.11	1.16
212	1436	0.347	1.17	1.16
214	1544	0.347	1.17	1.18
216	1533	0.347	1.17	1.2
218	1560	0.347	1.17	1.22
220	1464	0.347	1.17	1.24
222	1366	0.347	1.17	1.26
