D1 (T.m)	Q1 (T/m)	Q2 (T/m)	A80eq_fixN_2	runnum_in_avg	runnum_outside_50
0.354	0.0	0.0	-999.0		16
0.351	0.0	0.0	-999.0		14
0.35	1.11	1.16	1647.5	210,211	
0.348	1.11	1.16	1683.875	198,199,202,203,204,205,206,207	200,201
0.347	1.4	1.1	-999.0		32
0.347	1.4	0.0	-999.0		38,39,40
0.347	1.2	0.0	-999.0		36
0.347	1.17	1.26	1366.0	222	
0.347	1.17	1.24	1464.0	220	
0.347	1.17	1.22	1560.0	218	
0.347	1.17	1.2	1533.0	216	
0.347	1.17	1.18	1544.0	214	
0.347	1.17	1.16	1436.0	212	
0.347	1.13	1.22	1771.0	184	
0.347	1.13	1.2	1676.0	182	
0.347	1.13	1.18	1526.0	180	
0.347	1.13	1.16	1297.0	178	
0.347	1.13	1.13	989.5	186	
0.347	1.13	1.11	883.5	188	
0.347	1.11	1.19	1949.0	174	
0.347	1.11	1.17	1769.5	168,170,172,173	166,167,169,171
0.347	1.11	1.16	1698.5	176,196	
0.347	1.11	1.15	1534.5	163,164	
0.347	1.11	1.13	1253.5	157	
0.347	1.11	1.11	1005.5	159	
0.347	1.11	1.09	784.3333333	161	
0.347	1.09	1.3	-999.0		59,60
0.347	1.09	1.26	-999.0		61
0.347	1.09	1.24	-999.0		57
0.347	1.09	1.23	-999.0		63
0.347	1.09	1.22	-999.0		65
0.347	1.09	1.21	-999.0		67
0.347	1.09	1.2	-999.0		69,70
0.347	1.09	1.19	2183.285714285714	71,72,74,75,77,78,79	73,76,81
0.347	1.09	1.18	2049.0	82	
0.347	1.09	1.17	2002.0	84	
0.347	1.09	1.15	1835.0	86	
0.347	1.09	1.13	1915.0	99	88
0.347	1.09	1.11	1375.5	90	
0.347	1.09	1.09	1090.0	92	
0.347	1.09	1.07	819.5277777666666	94,103,104,105,106,107,108,109,110,111,112,113	114
0.347	1.09	1.05	560.25	96	
0.347	1.09	1.03	327.0	101	
0.347	1.09	1.0	208.2	115	
0.347	1.09	0.96	378.8	117	
0.347	1.07	1.13	1905.0	98	
0.347	1.07	1.12	-999.0		124,145
0.347	1.07	1.11	1690.5	119,123	
0.347	1.07	1.09	1353.5	126	149
0.347	1.07	1.07	1135.5	128	
0.347	1.07	1.05	834.0	130	
0.347	1.07	1.03	535.5	133	
0.347	1.07	0.96	518.0	151	
0.347	1.07	0.9	753.0	153	
0.347	1.07	0.85	-999.0		155
0.347	1.0	0.0	-999.0		42
0.347	0.8	0.0	-999.0		44
0.347	0.75	0.0	-999.0		48
0.347	0.7	0.0	-999.0		50,51,52,53,54
0.347	0.65	0.0	-999.0		55
0.347	0.6	0.0	-999.0		46
0.347	0.0	0.0	-999.0		12
0.346	1.11	1.16	1651.0	194	
0.345	1.11	1.16	1707.0	190	
0.344	0.0	0.0	-999.0		18
0.343	1.11	1.16	1699.0	192	
0.34	0.0	0.0	-999.0		20,21,22,23
0.337	0.0	0.0	-999.0		24,25,26,27
0.333	0.0	0.0	-999.0		28
0.0	0.0	0.0	-999.0		30
			-999.0		3,7,8,9,10,41,47,49,56,58,64
