D1	Q1	Q2	N
0.347	0.48	1.02	5364
0.347	0.48	0.98	5580
0.347	0.48	0.94	4617
0.347	0.48	0.9	3583
0.347	0.48	0.86	2907
0.347	0.48	1.06	3634
0.347	0.48	1.06	3719
0.347	0.48	1	5360
0.347	0.48	1	5487
0.347	0.48	1	5353
0.347	0.48	1	5526
0.347	0.48	1	5381
0.347	0.48	1	5440
0.347	0.48	1	5450
0.347	0.48	1	5519
0.347	0.48	1	5435
0.347	0.48	1	5378
0.347	0.48	1	5489
0.347	0.48	0.96	5228
0.343	0.48	0.98	6624
0.343	0.5	0.98	7058
0.343	0.5	0.94	5878
0.343	0.5	1	7034
0.343	0.5	1.02	6877
0.343	0.5	1.04	6125
0.343	0.5	1.04	6008
0.343	0.5	1.06	4540
0.343	0.5	0.96	6726
0.343	0.5	0.99	7119
0.343	0.52	0.99	7569
0.343	0.52	0.96	6567
0.343	0.52	1.02	7681
0.343	0.52	1.04	6697
0.343	0.52	1	7631
0.343	0.52	1.01	7513
0.343	0.54	1.01	7905
0.343	0.54	0.99	7903
0.343	0.54	0.96	6560
0.343	0.54	1.05	7064
0.343	0.54	1	7803
0.343	0.54	1.03	7833
0.343	0.54	1.02	7958
0.343	0.56	1.02	8150
0.343	0.56	1.01	8044
0.343	0.56	1	7924
0.343	0.56	1.04	7871
0.343	0.6	1.02	7959
0.343	0.6	1.04	7771
0.343	0.6	1	7794
0.343	0.6	0.99	7440
0.343	0.58	1.02	7926
0.343	0.58	1.01	8037
0.343	0.58	1	7962
0.343	0.58	1.04	8254
0.343	0.58	1.06	7257
0.343	0.58	1.06	7322
0.343	0.58	1.03	8025
0.343	0.58	1.05	7678
0.343	0.62	1.05	7993
0.343	0.62	1.03	7929
0.343	0.62	1.01	7847
0.343	0.62	1.07	7156
0.343	0.58	1.04	8024
0.343	0.56	1.02	8151
0.343	0.57	1.02	8114
0.343	0.57	1.02	8107
0.343	0.57	1	7956
0.343	0.57	1.04	7819
0.343	0.58	1.04	7912
0.343	0.58	1.04	8021
0.341	0.56	1.02	8076
0.342	0.56	1.02	8102
0.345	0.56	1.02	7715
0.347	0.56	1.02	6827
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
