D1	Q1	Q2	N
0.347	0.56	1.02	6827.0
0.347	0.48	1.06	3676.5
0.347	0.48	1.02	5364.0
0.347	0.48	1.0	5438.0
0.347	0.48	0.98	5580.0
0.347	0.48	0.96	5228.0
0.347	0.48	0.94	4617.0
0.347	0.48	0.9	3583.0
0.347	0.48	0.86	2907.0
0.345	0.56	1.02	7715.0
0.343	0.62	1.07	7156.0
0.343	0.62	1.05	7993.0
0.343	0.62	1.03	7929.0
0.343	0.62	1.01	7847.0
0.343	0.6	1.04	7771.0
0.343	0.6	1.02	7959.0
0.343	0.6	1.0	7794.0
0.343	0.6	0.99	7440.0
0.343	0.58	1.06	7289.5
0.343	0.58	1.05	7678.0
0.343	0.58	1.04	8052.75
0.343	0.58	1.03	8025.0
0.343	0.58	1.02	7926.0
0.343	0.58	1.01	8037.0
0.343	0.58	1.0	7962.0
0.343	0.57	1.04	7819.0
0.343	0.57	1.02	8110.5
0.343	0.57	1.0	7956.0
0.343	0.56	1.04	7871.0
0.343	0.56	1.02	8150.5
0.343	0.56	1.01	8044.0
0.343	0.56	1.0	7924.0
0.343	0.54	1.05	7064.0
0.343	0.54	1.03	7833.0
0.343	0.54	1.02	7958.0
0.343	0.54	1.01	7905.0
0.343	0.54	1.0	7803.0
0.343	0.54	0.99	7903.0
0.343	0.54	0.96	6560.0
0.343	0.52	1.04	6697.0
0.343	0.52	1.02	7681.0
0.343	0.52	1.01	7513.0
0.343	0.52	1.0	7631.0
0.343	0.52	0.99	7569.0
0.343	0.52	0.96	6567.0
0.343	0.5	1.06	4540.0
0.343	0.5	1.04	6066.5
0.343	0.5	1.02	6877.0
0.343	0.5	1.0	7034.0
0.343	0.5	0.99	7119.0
0.343	0.5	0.98	7058.0
0.343	0.5	0.96	6726.0
0.343	0.5	0.94	5878.0
0.343	0.48	0.98	6624.0
0.342	0.56	1.02	8102.0
0.341	0.56	1.02	8076.0
