D1 	Q1 	Q2 	N
0.347	0	0	1923
0.351	0	0	1854
0.354	0	0	
0.344	0	0	1823
0.34	0	0	1770
0.34	0	0	1799
0.34	0	0	1800
0.34	0	0	823
0.347	1.4	1.1	2722
0.347	1.2	0	688
0.347	1.4	0	453
0.347	1.4	0	440
0.347	1.4	0	453
0.347	1	0	1452
0.347	0.8	0	3922
0.347	0.6	0	2828
0.347	0.75	0	4157
0.347	0.7	0	4467
0.347	0.7	0	4319
0.347	0.7	0	4309
0.347	0.7	0	4395
0.347	0.7	0	0
0.347	0.65	0	3489
0.347	1.09	1.24	3796
0.347	1.09	1.3	2546
0.347	1.09	1.3	584
0.347	1.09	1.26	3381
0.347	1.09	1.23	4131
0.347	1.09	1.22	4456
0.347	1.09	1.21	4563
0.347	1.09	1.2	4848
0.347	1.09	1.19	5449
0.347	1.09	1.19	5393
0.347	1.09	1.19	5454
0.347	1.09	1.19	5531
0.347	1.09	1.19	5476
0.347	1.09	1.19	5529
0.347	1.09	1.19	5369
0.347	1.09	1.19	5322
0.347	1.09	1.19	5478
0.347	1.09	1.19	4758
0.347	1.09	1.18	5787
0.347	1.09	1.17	5755
0.347	1.09	1.15	6121
0.347	1.09	1.13	6195
0.347	1.09	1.11	6168
0.347	1.09	1.09	6068
0.347	1.09	1.07	5764
0.347	1.09	1.05	5990
0.347	1.07	1.13	5309
0.347	1.09	1.13	5279
0.347	1.09	1.03	5919
0.347	1.09	1.07	6009
0.347	1.09	1.07	5908
0.347	1.09	1.07	6092
0.347	1.09	1.07	6053
0.347	1.09	1.07	6021
0.347	1.09	1.07	6064
0.347	1.09	1.07	6044
0.347	1.09	1.07	6026
0.347	1.09	1.07	5838
0.347	1.09	1.07	5965
0.347	1.09	1.07	5911
0.347	1.09	1.07	4764
0.347	1.09	1	5588
0.347	1.09	0.96	5612
0.347	1.07	1.11	5263
0.347	1.07	1.11	5337
0.347	1.07	1.09	5489
0.347	1.07	1.07	5421
0.347	1.07	1.05	5600
0.347	1.07	1.03	5634
0.347	1.07	1.12	2598
0.347	1.07	1.09	5479
0.347	1.07	0.96	5548
0.347	1.07	0.9	5193
0.347	1.07	0.85	4787
0.347	1.11	1.13	6276
0.347	1.11	1.11	6113
0.347	1.11	1.09	5995
0.347	1.11	1.15	6402
0.347	1.11	1.15	6354
0.347	1.11	1.17	6336
0.347	1.11	1.17	6438
0.347	1.11	1.17	6193
0.347	1.11	1.17	6297
0.347	1.11	1.17	6418
0.347	1.11	1.17	6170
0.347	1.11	1.17	6175
0.347	1.11	1.17	5987
0.347	1.11	1.19	5910
0.347	1.11	1.16	6514
0.347	1.13	1.16	6111
0.347	1.13	1.18	6232
0.347	1.13	1.2	6022
0.347	1.13	1.22	5788
0.347	1.13	1.13	6126
0.347	1.13	1.11	5908
0.345	1.11	1.16	6327
0.343	1.11	1.16	6313
0.346	1.11	1.16	6355
0.347	1.11	1.16	6378
0.348	1.11	1.16	6432
0.348	1.11	1.16	6372
0.348	1.11	1.16	6387
0.348	1.11	1.16	6524
0.348	1.11	1.16	6336
0.348	1.11	1.16	6471
0.348	1.11	1.16	6353
0.348	1.11	1.16	6231
0.348	1.11	1.16	6212
0.348	1.11	1.16	6321
0.35	1.11	1.16	6188
0.35	1.11	1.16	5556
0.347	1.17	1.16	5496
0.347	1.17	1.18	5744
0.347	1.17	1.2	5792
0.347	1.17	1.22	5640
0.347	1.17	1.24	5337
0.347	1.17	1.26	5166
