D1	Q1	Q2	N
0.354	0.0	0.0	
0.351	0.0	0.0	1854.0
0.35	1.11	1.16	5872.0
0.348	1.11	1.16	6363.9
0.347	1.4	1.1	2722.0
0.347	1.4	0.0	448.6666666666667
0.347	1.2	0.0	688.0
0.347	1.17	1.26	5166.0
0.347	1.17	1.24	5337.0
0.347	1.17	1.22	5640.0
0.347	1.17	1.2	5792.0
0.347	1.17	1.18	5744.0
0.347	1.17	1.16	5496.0
0.347	1.13	1.22	5788.0
0.347	1.13	1.2	6022.0
0.347	1.13	1.18	6232.0
0.347	1.13	1.16	6111.0
0.347	1.13	1.13	6126.0
0.347	1.13	1.11	5908.0
0.347	1.11	1.19	5910.0
0.347	1.11	1.17	6251.75
0.347	1.11	1.16	6446.0
0.347	1.11	1.15	6378.0
0.347	1.11	1.13	6276.0
0.347	1.11	1.11	6113.0
0.347	1.11	1.09	5995.0
0.347	1.09	1.3	2546.0
0.347	1.09	1.26	3381.0
0.347	1.09	1.24	3796.0
0.347	1.09	1.23	4131.0
0.347	1.09	1.22	4456.0
0.347	1.09	1.21	4563.0
0.347	1.09	1.2	4848.0
0.347	1.09	1.19	5375.9
0.347	1.09	1.18	5787.0
0.347	1.09	1.17	5755.0
0.347	1.09	1.15	6121.0
0.347	1.09	1.13	5737.0
0.347	1.09	1.11	6168.0
0.347	1.09	1.09	6068.0
0.347	1.09	1.07	5881.461538461538
0.347	1.09	1.05	5990.0
0.347	1.09	1.03	5919.0
0.347	1.09	1.0	5588.0
0.347	1.09	0.96	5612.0
0.347	1.07	1.13	5309.0
0.347	1.07	1.12	2598.0
0.347	1.07	1.11	5300.0
0.347	1.07	1.09	5484.0
0.347	1.07	1.07	5421.0
0.347	1.07	1.05	5600.0
0.347	1.07	1.03	5634.0
0.347	1.07	0.96	5548.0
0.347	1.07	0.9	5193.0
0.347	1.07	0.85	4787.0
0.347	1.0	0.0	1452.0
0.347	0.8	0.0	3922.0
0.347	0.75	0.0	4157.0
0.347	0.7	0.0	4467.0
0.347	0.65	0.0	3489.0
0.347	0.6	0.0	2828.0
0.347	0.0	0.0	1923.0
0.346	1.11	1.16	6355.0
0.345	1.11	1.16	6327.0
0.344	0.0	0.0	1823.0
0.343	1.11	1.16	6313.0
0.34	0.0	0.0	1548.0
