# ch  b  k  FWHM_keV  chi2ndf
0 -39.7919 2.78805 128.236 3.86907
1 35.7334 2.74968 55.1709 2.97166
2 53.7153 2.68171 63.0084 17.5467
3 4.29289 2.69908 30.6121 1.8006
4 14.013 2.78765 37.7414 2.25585
5 8.26974 2.68744 44.4726 1.6028
6 58.8065 2.74025 52.0427 7.23025
7 12.3737 2.75118 31.8688 2.09448
8 71.846 2.65952 60.0445 10.454
9 19.7732 2.68791 61.2741 1.58213
10 58.8297 2.68595 62.3672 2.08961
11 65.7922 2.66759 65.3021 8.20611
12 13.8256 2.74519 38.9599 1.31616
13 19.1928 2.66807 58.3192 2.23609
14 66.7603 2.70752 56.2675 4.43533
15 70.7955 2.65917 63.7302 8.11092
16 31.2488 2.84903 59.7337 1.5249
17 55.608 2.69094 54.758 13.3886
18 93.9867 2.68113 65.0217 1.94142
19 106.697 2.68118 69.0309 9.49526
20 19.953 2.70013 69.0446 1.77583
21 44.1178 2.66283 67.9356 33.8889
22 81.6107 2.64159 68.3389 3.46517
23 1.77774 2.69838 39.7568 1.67799
24 -25.0394 2.76582 62.3049 1.11377
25 5.74954 2.69798 31.43 1.4046
26 23.463 2.65929 44.047 2.26986
27 85.5308 2.71068 66.1746 4.01554
28 33.8837 2.69133 55.2774 19.2769
29 -15.6145 2.69107 55.6674 0.711151
30 -3.17185 2.68533 67.2581 1.60605
31 12.7965 2.66881 99.8529 28.4486
32 -5.96129 2.68018 143.825 26.1994
33 81.3001 2.79497 67.0459 3.1098
34 50.2094 2.70576 53.1007 13.4887
35 84.369 2.68802 70.8108 4.39236
36 -17.7665 3.122 58.2064 1.17099
37 -30.6355 2.78952 57.3418 0.977858
38 55.2386 2.67497 60.3653 9.9845
39 16.4341 2.73114 49.0539 1.49278
40 4.57967 2.68919 30.859 0.862991
41 -5.03036 2.70733 63.2391 2.45703
42 44.5421 2.74234 56.5775 9.9351
43 14.7355 2.73548 36.6608 0.698594
44 68.3096 2.69278 60.0435 5.6124
45 26.264 2.7082 54.2895 1.80978
46 62.6828 2.66768 58.5987 10.7729
47 -12.9203 1.53916 28.8403 1.41533
48 44.9878 2.68465 60.7061 16.5916
49 49.4686 2.65478 56.9137 21.9275
50 68.7778 2.66599 62.3588 11.8586
51 6.68536 2.68629 42.2104 1.75058
52 56.7798 2.69438 63.8096 21.3117
53 40.5392 2.69018 61.9959 25.4658
54 14.5079 2.74408 50.4065 2.40556
55 27.2295 2.70513 54.9269 29.7766
56 57.2278 2.66504 56.6768 15.58
57 10.3043 2.71292 41.15 2.29522
58 1.91372 2.72311 29.6866 1.89091
59 77.0126 2.66446 62.6039 3.72585
60 8.53828 2.70372 34.0295 1.54394
61 66.9292 2.692 64.1335 15.4656
62 40.5342 2.77417 57.8611 1.96323
63 36.8042 2.69429 57.4316 26.3877
64 59.8202 2.70445 61.2566 9.8526
65 90.4306 2.70866 68.7713 3.34299
66 7.10616 2.75656 33.9517 1.72551
67 61.775 2.69179 61.3361 3.51928
68 34.8358 2.67553 78.6087 22.2669
69 6.82577 2.78639 33.8285 1.99469
70 90.9357 2.70864 64.1812 4.7081
71 71.5897 2.65708 67.3223 2.50936
72 55.4153 2.68561 53.6275 14.2968
73 57.4399 2.68602 60.3611 12.1101
74 47.1452 2.69939 67.8468 1.59925
75 81.8219 2.64997 61.8424 6.91521
76 25.0393 2.71585 56.2154 1.60743
77 12.7912 2.7398 40.7147 1.54931
78 70.6484 2.68794 63.1342 7.52805
79 3.1437 2.68324 32.7243 1.9664
80 77.5643 2.66044 59.1483 4.62576
81 29.9509 2.76542 61.2229 22.2521
82 37.2066 2.67415 66.807 18.9842
83 74.8164 2.74984 58.1512 10.2689
84 -2.01406 2.77159 31.4888 1.29234
85 83.6977 2.74394 65.6557 3.47119
86 7.75756 2.75289 32.835 2.53732
87 22.2059 2.72021 72.0632 31.2461
88 49.4035 2.67833 62.7649 15.8607
89 84.2049 2.73955 56.3971 4.6177
90 44.2764 2.70656 57.3363 19.0724
91 58.5831 2.67966 55.6114 20.0688
92 75.0934 2.65645 68.7641 12.9007
93 69.9669 2.73638 60.2695 12.1491
94 83.1851 2.65632 69.3852 5.75949
95 50.8641 2.76829 52.2953 10.581
96 55.7944 2.68086 50.3367 17.3099
97 31.6234 2.69302 59.9047 21.1762
98 36.2941 2.64206 67.2639 17.8386
99 11.972 2.68871 40.3668 1.58856
100 25.5971 2.68006 58.3718 31.4674
