# ID	k	b	N	ok
0	0.791445	431.419595	12299	1
1	0.976661	59.472855	11581	1
2	0.977012	39.352479	11745	1
3	0.965096	58.493306	11638	1
4	0.990994	41.170107	11769	1
5	0.967298	51.440528	11839	1
6	0.988541	38.308943	11940	1
7	0.977327	54.381126	11991	1
8	0.975948	35.981696	12060	1
9	0.978788	31.387575	11804	1
10	0.978079	39.083788	12027	1
11	0.978907	31.317085	12160	1
12	0.981770	44.241123	12106	1
13	0.962753	56.980908	12219	1
14	0.984212	34.956203	12170	1
15	0.972811	41.266520	12196	1
16	1.000903	43.966710	12197	1
17	0.971071	55.150960	12173	1
18	0.980303	39.823697	12393	1
19	0.986041	29.508151	12167	1
20	0.980774	31.874532	12435	1
21	0.974064	37.303615	12489	1
22	0.969531	44.961474	12384	1
23	0.973536	43.795656	12608	1
24	0.978560	50.416702	12575	1
25	0.972790	44.233506	12373	1
26	0.966376	48.210045	12528	1
27	0.984747	39.010727	12585	1
28	0.966995	57.698694	12554	1
29	0.961110	60.659853	12670	1
30	0.969248	45.807107	12693	1
31	0.972399	36.177786	12721	1
32	0.964534	53.711161	12630	1
33	0.988725	60.794570	12782	1
34	0.981862	38.009320	13011	1
35	0.960387	80.063946	12768	1
36	1.037290	56.916867	12703	1
37	0.979353	56.620502	12944	1
38	0.977174	36.828257	12755	1
39	0.973984	56.499854	12846	1
40	0.972365	41.822603	13043	1
41	0.971578	48.371999	12782	1
42	0.977446	57.193796	12961	1
43	0.990547	23.698421	12820	1
44	0.979266	41.858264	12897	1
45	0.972962	50.726385	12865	1
46	0.972189	45.882815	13147	1
47	0.738901	142.634563	4425	1
48	0.973368	45.365835	13149	1
49	0.969057	44.758040	12931	1
50	0.968792	52.689444	13166	1
51	0.967000	51.672917	13009	1
52	0.975630	47.797657	13036	1
53	0.979777	34.290651	13126	1
54	0.974926	57.367390	13014	1
55	0.970548	55.854346	12968	1
56	0.978707	30.176329	13165	1
57	0.980186	36.106617	13209	1
58	0.972836	52.257052	13084	1
59	0.971380	48.114943	12993	1
60	0.970189	52.419247	13190	1
61	0.978571	42.314535	13036	1
62	0.982466	58.445568	12918	1
63	0.977560	39.597366	13294	1
64	0.978105	47.270851	13054	1
65	0.978330	52.153332	13038	1
66	0.981307	48.461048	13152	1
67	0.978058	41.905071	13131	1
68	0.976441	35.311271	13012	1
69	0.990477	41.219852	12953	1
70	0.978246	52.523577	13106	1
71	0.968261	49.541581	12907	1
72	0.971915	51.590256	13082	1
73	0.982562	29.941888	13119	1
74	0.972001	54.397710	12980	1
75	0.965257	55.571219	13006	1
76	0.972366	55.428428	12913	1
77	0.972791	61.202283	13095	1
78	0.973255	52.565670	12956	1
79	0.965028	54.515466	13108	1
80	0.951847	87.449682	13271	1
81	0.969017	79.591713	13164	1
82	0.964401	58.337058	13110	1
83	0.968282	84.277448	12896	1
84	0.984209	46.044985	13164	1
85	0.982356	56.126144	12896	1
86	0.982629	44.531219	12980	1
87	0.979112	43.235180	12979	1
88	0.968610	54.298277	13045	1
89	0.983248	53.476578	12972	1
90	0.960028	80.869175	12905	1
91	0.962717	68.597074	12896	1
92	0.964618	58.967971	12880	1
93	0.990857	34.429968	12834	1
94	0.970812	47.970679	12964	1
95	0.986015	50.794722	12963	1
96	0.971778	49.863949	12924	1
97	0.961940	70.631676	12596	1
98	0.960264	54.874804	12799	1
99	0.969930	47.855023	13070	1
100	0.966221	56.520710	12887	1
101	0.960985	63.989808	12608	1
102	0.959199	82.243291	12781	1
103	0.976388	97.666990	12673	1
104	0.969602	53.288501	12538	1
105	0.986869	42.319135	12730	1
106	0.971119	48.859785	12699	1
107	0.953797	83.383463	12550	1
108	0.968830	50.789504	12823	1
109	0.974377	41.981311	12502	1
110	0.966781	66.597972	12511	1
111	1.004412	44.529725	12484	1
112	0.982334	28.876516	12364	1
113	0.977150	53.407980	12286	1
114	0.962058	77.151870	12306	1
115	0.982551	51.114087	12207	1
116	0.959936	82.362021	12154	1
117	0.983817	65.016090	12215	1
118	0.963530	56.397552	12093	1
119	0.963609	60.669086	12048	1
120	0.966359	54.724936	12010	1
121	0.998277	44.201454	12209	1
122	0.981108	38.772535	11958	1
123	0.968720	60.059043	12077	1
124	0.987540	37.795001	11831	1
125	0.980678	53.657576	11763	1
126	0.971379	53.967973	11874	1
127	0.823949	369.169803	12387	1
128	1.047967	-172.236405	33540	1
