Ch	b	k	FWHM	Chi2NDF
0	1004.329278	2.247342	0.000000	-1.000000
1	-51.829471	2.773271	27.834993	21.883933
2	-108.962143	2.774268	32.455558	39.219786
3	-54.610943	2.740432	31.518679	38.731909
4	-103.800911	2.813970	27.246938	24.004179
5	-74.637609	2.746684	33.281869	27.857512
6	-111.925309	2.807005	20.817425	23.836193
7	-66.287655	2.775162	25.148349	20.647038
8	-118.533627	2.771246	36.479014	38.300964
9	-131.578831	2.779311	0.000000	-1.000000
10	-109.725103	2.777297	48.308163	25.489228
11	-131.778990	2.779648	80.886458	30.490431
12	-95.080629	2.787778	26.031027	22.227508
13	-58.905462	2.733779	93.988215	9.469540
14	-121.445558	2.794712	30.819177	23.505495
15	-103.527142	2.762339	0.000000	-1.000000
16	-95.859836	2.842107	0.000000	-1.000000
17	-64.101678	2.757398	31.146789	32.281710
18	-107.624100	2.783612	39.424154	27.253954
19	-136.915536	2.799906	30.854508	35.477682
20	-130.196095	2.784950	0.000000	-1.000000
21	-114.779981	2.765897	22.482689	25.457309
22	-93.035161	2.753025	90.317048	17.075747
23	-96.345551	2.764397	33.028597	33.892054
24	-77.544807	2.778663	49.041455	23.049194
25	-95.102258	2.762279	80.705741	31.687183
26	-83.810704	2.744066	61.294919	12.536293
27	-109.932563	2.796231	29.691735	26.005464
28	-56.867278	2.745824	26.265881	37.559551
29	-48.458939	2.729113	70.403086	11.259915
30	-90.633950	2.752221	84.973270	12.567373
31	-117.976821	2.761169	88.250408	23.005553
32	-68.190049	2.738836	20.489441	25.035280
33	-48.076405	2.807527	20.706825	-1.000000
34	-112.776101	2.788039	27.028645	34.186815
35	6.639816	2.727060	33.407052	27.349791
36	-59.087309	2.945430	0.000000	-1.000000
37	-59.928850	2.780915	0.000000	-1.000000
38	-116.129780	2.774728	67.900881	36.360506
39	-60.271435	2.765669	34.929498	22.093760
40	-101.948120	2.761072	76.297070	32.492989
41	-83.350829	2.758837	69.244591	22.302617
42	-58.300957	2.775500	25.526762	24.399020
43	-153.412514	2.812701	33.835347	25.149943
44	-101.846859	2.780668	37.337603	31.655643
45	-76.665449	2.762767	41.533418	22.838537
46	-90.418974	2.760572	34.031116	40.791596
47	184.311772	2.098141	0.000000	-1.000000
48	-91.886961	2.763920	27.738005	39.993674
49	-93.612821	2.751679	16.860691	18.511098
50	-71.091258	2.750927	35.958230	39.897807
51	-73.977730	2.745838	0.000000	-1.000000
52	-84.981698	2.770343	29.268230	41.764545
53	-123.335422	2.782119	31.577837	47.879158
54	-57.808030	2.768344	28.927700	18.889727
55	-62.104383	2.755913	25.196082	39.273214
56	-135.018216	2.779081	23.685255	39.134775
57	-118.178908	2.783280	37.585322	36.776013
58	-72.319054	2.762410	26.852383	35.445627
59	-84.080750	2.758275	76.663157	30.315404
60	-71.858494	2.754893	34.682677	41.601024
61	-100.551258	2.778694	32.775345	34.855786
62	-54.746497	2.789754	0.000000	-1.000000
63	-108.266776	2.775824	25.462045	43.791719
64	-86.477586	2.777371	28.919386	33.025462
65	-72.613571	2.778010	30.002252	20.064679
66	-83.097970	2.786463	26.470420	30.957995
67	-101.713949	2.777238	45.162245	30.652216
68	-120.437327	2.772646	25.322126	40.923617
69	-103.659658	2.812502	0.000000	-1.000000
70	-71.562245	2.777772	26.788599	16.555124
71	-80.029751	2.749419	88.622067	27.362958
72	-74.212450	2.759794	29.313364	45.759687
73	-135.683921	2.790027	32.359493	37.986474
74	-66.240564	2.760039	48.806816	22.681961
75	-62.908334	2.740889	29.499822	34.426123
76	-63.313796	2.761075	48.060167	25.184841
77	-46.918686	2.762282	29.763812	27.739211
78	-71.442720	2.763599	34.800863	33.336712
79	-65.906190	2.740238	0.000000	-1.000000
80	27.611931	2.702810	72.290161	32.344057
81	5.298890	2.751565	28.051205	40.940416
82	-55.054616	2.738458	28.207732	41.157509
83	18.604236	2.749478	28.395141	33.262209
84	-89.958485	2.794704	25.098617	23.022971
85	-61.332601	2.789442	0.000000	-1.000000
86	-94.256889	2.790217	24.562073	29.062865
87	-97.937047	2.780231	25.638175	36.769260
88	-66.522908	2.750410	0.000000	-1.000000
89	-68.856157	2.791975	0.000000	-1.000000
90	8.926299	2.726041	25.838630	29.718284
91	-25.920859	2.733676	29.004166	38.972304
92	-53.263111	2.739074	30.785359	38.835425
93	-122.939825	2.813581	20.798510	23.028023
94	-84.490394	2.756662	37.230018	34.797404
95	-76.471403	2.799832	0.000000	-1.000000
96	-79.114373	2.759405	27.261709	40.860431
97	-20.143520	2.731470	29.146030	44.458772
98	-64.885835	2.726711	77.902943	19.561129
99	-84.818804	2.754158	39.878230	33.339442
100	-60.212214	2.743626	26.309790	44.340389
101	-39.003389	2.728758	27.460927	38.954052
102	12.828160	2.723687	25.262887	39.243193
103	56.624416	2.772496	0.000000	-1.000000
104	-69.390210	2.753227	49.578341	30.208665
105	-100.538196	2.802257	27.144077	40.452622
106	-81.965740	2.757534	25.879336	39.959007
107	16.065727	2.708348	28.681886	35.720520
108	-76.486220	2.751034	0.000000	-1.000000
109	-101.497462	2.766785	23.916686	44.148170
110	-31.597395	2.745216	44.181550	32.391081
111	-94.261131	2.852071	0.000000	-1.000000
112	-138.709090	2.789380	32.469126	41.483311
113	-69.050944	2.774659	23.597257	32.842574
114	-1.629149	2.731805	23.487577	37.062480
115	-75.564552	2.789996	31.187158	19.967280
116	13.165299	2.725780	45.509278	19.772843
117	-36.089217	2.793591	0.000000	-1.000000
118	-60.561926	2.735985	16.115701	19.764537
119	-48.432722	2.736209	72.869720	24.736302
120	-65.311391	2.744018	20.154436	28.520160
121	-95.193271	2.834650	21.612936	-1.000000
122	-110.608919	2.785898	30.050867	26.703079
123	-50.164965	2.750722	40.364527	25.279981
124	-113.384669	2.804162	31.522657	32.308175
125	-68.342206	2.784677	25.803178	24.739932
126	-67.460820	2.758272	29.401481	38.552281
127	827.568319	2.339639	0.000000	-1.000000
128	-420.615171	2.787250	32.857464	99.669513
129	19.843187	2.602732	16.515338	44.373872
130	52.788110	2.598477	37.055615	82.173001
131	23.245271	2.612634	29.503798	86.875249
132	39.446751	2.597809	23.869110	40.447734
133	42.844532	2.618911	30.114817	58.795370
134	19.334480	2.608538	24.510545	91.184642
135	49.863704	2.604740	29.069780	89.923566
136	32.479693	2.621424	30.749263	95.456378
137	30.983831	2.597671	75.718927	61.355092
138	39.177585	2.617749	28.366932	76.474759
139	43.686898	2.618193	30.196643	47.095343
140	36.221526	2.604293	32.527124	81.303919
141	40.732735	2.620573	25.568953	83.432848
142	60.654582	2.616126	29.527395	75.585056
143	31.500648	2.629502	25.004918	80.988085
144	62.856201	2.778342	0.000000	-1.000000
145	51.814845	2.811657	0.000000	-1.000000
146	51.420623	2.763055	0.000000	-1.000000
147	67.813297	2.775696	0.000000	-1.000000
148	58.203215	2.791891	0.000000	-1.000000
149	59.070784	2.810926	0.000000	-1.000000
150	63.690788	2.776177	0.000000	-1.000000
151	47.424890	2.792901	0.000000	-1.000000
152	48.562536	2.806370	0.000000	-1.000000
153	64.748734	2.775066	0.000000	-1.000000
154	46.410528	2.809484	0.000000	-1.000000
155	63.201961	2.800673	0.000000	-1.000000
156	78.168758	2.808258	0.000000	-1.000000
157	62.979634	2.793077	0.000000	-1.000000
158	51.921012	2.801114	0.000000	-1.000000
159	43.993907	2.803609	0.000000	-1.000000
160	45.843656	2.592458	19.405025	41.660713
161	29.965528	2.605152	0.000000	-1.000000
162	37.775256	2.615371	33.249779	84.274126
163	47.360194	2.615991	29.304753	88.204049
164	20.151305	2.635374	25.822133	41.329833
165	39.982098	2.621408	28.076243	45.229213
166	36.459792	2.619156	35.844128	35.990301
167	45.433710	2.594695	30.218613	78.906802
168	28.479185	2.592474	23.859754	51.202122
169	37.213368	2.591569	20.910564	45.303622
170	39.042651	2.609198	35.166628	65.295782
171	29.704382	2.584769	54.485288	17.001778
172	41.996915	2.592859	18.390474	42.262396
173	24.097885	2.596742	70.245505	34.806016
174	22.073057	2.622743	27.084192	84.634369
175	-321.476240	2.734213	20.934402	88.413281
176	-595.368452	12.656279	77.957961	84.943260
177	123.905614	11.315605	25.870384	96.421182
178	170.484715	11.222489	58.629339	98.507923
179	117.477071	11.336022	61.047468	128.477591
180	151.304805	11.272619	67.474542	75.232731
181	139.328584	11.417764	42.084733	58.667826
182	93.974440	11.512023	38.699766	196.955335
183	161.861478	11.251452	48.177119	126.827425
184	128.420580	11.371678	30.758849	147.732167
185	123.428411	11.297355	75.766057	36.522023
186	142.748550	11.362753	43.362243	69.737442
187	139.653562	11.334571	39.349422	49.301973
188	144.768641	11.273034	67.740081	91.787759
189	153.588525	11.416745	36.883986	69.365105
190	208.145990	11.157094	30.456412	46.908503
191	133.390983	11.352453	30.914534	83.102227
192	176.058627	11.865859	0.000000	-1.000000
193	151.247826	12.083048	0.000000	-1.000000
194	155.611436	12.035712	0.000000	-1.000000
195	199.483282	11.802923	0.000000	-1.000000
196	186.291325	11.974632	0.000000	-1.000000
197	166.978365	12.059670	0.000000	-1.000000
198	190.974798	11.942071	0.000000	-1.000000
199	155.367717	11.886644	0.000000	-1.000000
200	155.665117	12.073049	0.000000	-1.000000
201	173.990003	11.865537	0.000000	-1.000000
202	143.161613	12.118380	0.000000	-1.000000
203	165.521404	11.961986	0.000000	-1.000000
204	200.723401	11.990219	0.000000	-1.000000
205	177.684435	12.022182	0.000000	-1.000000
206	168.180364	12.124427	0.000000	-1.000000
207	161.084498	12.072416	0.000000	-1.000000
208	151.498758	11.237713	0.000000	-1.000000
209	123.654094	11.295536	0.000000	-1.000000
210	141.033213	11.301738	35.756343	115.906515
211	167.597941	11.288888	30.600742	112.667929
212	79.537241	11.621928	37.384713	58.050020
213	138.437489	11.276468	33.828026	175.262511
214	137.842088	11.336639	44.085434	45.212774
215	148.587178	11.199294	37.092019	173.239209
216	121.881490	11.273243	72.063871	47.581119
217	134.577735	11.222575	87.359907	66.305084
218	143.692218	11.365121	43.952307	79.952853
219	116.529289	11.279563	76.625318	14.604563
220	149.748129	11.275005	67.680189	74.289609
221	108.526880	11.329271	87.021972	36.565687
222	111.381115	11.381552	52.108093	86.443871
223	-579.969140	12.697742	2.770432	350.278282
