=== DSSD Peak List Report (Fitted Precision) ===
--- X-Plane Normalized (ADC) ---
Rank	Pos(Fitted)	Height(Raw)
1	6136.21	11801.00
2	5332.29	6575.00
3	5712.40	6050.00
4	5832.26	5222.00
5	5452.75	4821.00
6	5142.47	4762.00
7	4827.51	4732.00
8	4627.50	4683.00
9	4482.56	4584.00
10	4267.50	4563.00
11	6312.00	4556.00
12	4017.40	4501.00
13	4162.47	4443.00
14	4097.54	4412.00
15	6651.49	4329.00
16	5537.49	4260.00
17	5627.88	4245.00
18	6802.65	3919.00
19	6577.92	3510.00
20	5987.40	3432.00
21	6033.25	3406.00
22	7476.68	3161.00
23	7407.89	3011.00
24	7157.44	2976.00
25	7092.39	2904.00
26	7711.63	2705.00
27	7337.67	2328.00
28	6492.83	2115.00
29	6452.29	2058.00
30	8397.87	1858.00
31	8047.13	1820.00
32	6942.49	1818.00
33	7912.07	1648.00
34	8812.63	1438.00
35	7628.35	1339.00
36	7837.40	1291.00
37	8116.45	1213.00
38	8697.94	1047.00
39	8562.54	849.00
40	8502.06	847.00
41	8232.55	834.00
42	8907.10	802.00
43	9032.61	728.00
44	9222.36	649.00
45	9287.36	609.00
46	9357.32	563.00
47	9442.46	524.00
48	9612.39	474.00
49	9807.55	451.00
50	9717.38	443.00
51	9887.32	411.00
52	9977.23	396.00
53	10187.55	371.00
54	10127.29	340.00
55	10277.13	338.00
56	10637.49	328.00
57	10382.17	310.00
58	10697.76	302.00
59	10537.61	281.00
60	10762.18	277.00
61	11681.87	251.00
--------------------------------

--- X-Plane Calibrated (keV) ---
Rank	Pos(Fitted)	Height(Raw)
1	6106.21	11801.00
2	5302.29	6575.00
3	5682.40	6050.00
4	5802.26	5222.00
5	5422.75	4821.00
6	5112.47	4762.00
7	4797.51	4732.00
8	4597.50	4683.00
9	4452.56	4584.00
10	4062.57	4569.00
11	4237.50	4563.00
12	6282.00	4556.00
13	4132.47	4443.00
14	6621.49	4329.00
15	5507.49	4260.00
16	5597.88	4245.00
17	6772.65	3919.00
18	6547.92	3510.00
19	5957.40	3432.00
20	6003.25	3406.00
21	7446.68	3161.00
22	7377.89	3011.00
23	7127.44	2976.00
24	7062.39	2904.00
25	7681.63	2705.00
26	7307.67	2328.00
27	6462.83	2115.00
28	6422.29	2058.00
29	8367.87	1858.00
30	8017.13	1820.00
31	6912.49	1818.00
32	7882.07	1648.00
33	8782.63	1438.00
34	7598.35	1339.00
35	7807.40	1291.00
36	8086.45	1213.00
37	8667.94	1047.00
38	8872.19	883.00
39	8532.54	849.00
40	8472.06	847.00
41	8202.55	834.00
42	8972.49	727.00
43	9197.36	649.00
44	9262.36	609.00
45	9332.32	563.00
46	9417.46	524.00
47	9587.39	474.00
48	9782.55	451.00
49	9692.38	443.00
50	9862.32	411.00
51	9952.23	396.00
52	10162.55	371.00
53	10102.29	340.00
54	10252.13	338.00
55	10612.49	328.00
56	10357.17	310.00
57	10672.76	302.00
58	10512.61	281.00
59	10737.18	277.00
60	11656.87	251.00
--------------------------------

--- Y-Plane Normalized (ADC) ---
Rank	Pos(Fitted)	Height(Raw)
1	6136.07	10150.00
2	5327.92	6254.00
3	5712.33	5587.00
4	5832.49	5015.00
5	4632.26	4926.00
6	4482.39	4809.00
7	4827.49	4590.00
8	4025.07	4579.00
9	5142.41	4484.00
10	5542.53	4306.00
11	5452.36	4276.00
12	4167.60	4230.00
13	4107.44	4200.00
14	6312.40	4173.00
15	4282.50	4044.00
16	5627.79	3933.00
17	5207.44	3902.00
18	6802.77	3835.00
19	5002.43	3530.00
20	6647.59	3444.00
21	5957.48	3354.00
22	6028.20	3259.00
23	6578.03	2933.00
24	7407.35	2816.00
25	7476.68	2624.00
26	7157.49	2582.00
27	7092.37	2558.00
28	7702.67	2191.00
29	6456.98	2116.00
30	7333.13	2051.00
31	6952.72	1909.00
32	8397.08	1722.00
33	8037.17	1569.00
34	7907.69	1437.00
35	8812.46	1433.00
36	7832.52	1250.00
37	7602.71	1227.00
38	8116.60	1211.00
39	8697.35	1046.00
40	8207.50	985.00
41	8572.44	832.00
42	8502.20	825.00
43	8982.39	807.00
44	8907.29	803.00
45	8277.74	751.00
46	9042.57	739.00
47	9452.46	590.00
48	9607.21	465.00
49	9707.52	437.00
50	9822.56	431.00
51	9992.38	405.00
52	9902.71	399.00
53	10392.35	347.00
54	10177.03	334.00
55	10262.46	315.00
56	10492.39	308.00
57	10567.14	305.00
58	10742.27	289.00
59	10877.37	266.00
60	11677.47	257.00
61	10667.65	247.00
62	11097.32	243.00
63	10942.20	229.00
64	11027.61	219.00
--------------------------------

--- Y-Plane Calibrated (keV) ---
Rank	Pos(Fitted)	Height(Raw)
1	6091.07	10150.00
2	5272.92	6254.00
3	5662.33	5587.00
4	5782.49	5015.00
5	4412.39	4809.00
6	4767.41	4748.00
7	5082.41	4484.00
8	4112.42	4392.00
9	5397.36	4276.00
10	4947.32	4236.00
11	4032.44	4200.00
12	6272.40	4173.00
13	4212.50	4044.00
14	4552.62	4036.00
15	4877.19	3968.00
16	5577.79	3933.00
17	5871.51	3564.00
18	6612.59	3444.00
19	5983.20	3259.00
20	6772.10	3229.00
21	6543.03	2933.00
22	7382.35	2816.00
23	7451.68	2624.00
24	7127.49	2582.00
25	7062.37	2558.00
26	6452.73	2265.00
27	7682.67	2191.00
28	6416.98	2116.00
29	7308.13	2051.00
30	8387.08	1722.00
31	6912.79	1702.00
32	8022.17	1569.00
33	7227.62	1456.00
34	7892.69	1437.00
35	8807.46	1433.00
36	7797.60	1403.00
37	8101.60	1211.00
38	7562.67	1192.00
39	8692.35	1046.00
40	8897.28	856.00
41	8466.98	846.00
42	8562.41	846.00
43	8217.26	807.00
44	8982.39	807.00
45	8267.74	751.00
46	9042.57	739.00
47	9127.28	621.00
48	9222.22	598.00
49	9462.36	534.00
50	9551.92	519.00
51	9617.21	465.00
52	9717.52	437.00
53	9908.11	428.00
54	9797.74	417.00
55	10007.38	405.00
56	10112.11	356.00
57	10222.10	352.00
58	10412.35	347.00
59	10572.68	326.00
60	10282.46	315.00
61	10792.44	270.00
62	11717.47	257.00
63	10692.65	247.00
64	10972.20	229.00
65	10902.94	228.00
66	11132.36	225.00
67	11057.61	219.00
68	11302.68	214.00
--------------------------------

--- YH-Plane Calibrated (keV) ---
Rank	Pos(Fitted)	Height(Raw)
1	4502.52	9744.00
2	4888.20	9082.00
3	4247.01	8897.00
4	4372.47	8847.00
5	6171.91	8383.00
6	5147.55	7949.00
7	4757.15	7929.00
8	5272.43	7650.00
9	5017.52	7486.00
10	4632.37	7486.00
11	5662.92	7276.00
12	6048.00	6769.00
13	6817.95	5522.00
14	4143.43	5157.00
15	4577.30	5120.00
16	7462.47	5023.00
17	5901.58	4896.00
18	5777.29	4282.00
19	5207.67	4028.00
20	5397.32	3994.00
21	7332.54	3911.00
22	6338.95	3882.00
23	5527.03	3326.00
24	6676.89	3058.00
25	7161.45	2907.00
26	6587.34	2669.00
27	7088.34	2593.00
28	8363.02	2436.00
29	7592.39	2415.00
30	7847.85	2408.00
31	7402.14	2190.00
32	7697.61	2163.00
33	8492.49	1940.00
34	8876.77	1837.00
35	6952.78	1608.00
36	8231.91	1350.00
37	9137.92	1201.00
38	9391.47	1147.00
39	8758.14	1110.00
40	7992.28	1077.00
41	9647.49	895.00
42	9262.83	868.00
43	8096.96	842.00
44	9522.76	822.00
45	10162.25	717.00
46	10292.27	670.00
47	9067.11	668.00
48	10552.11	647.00
49	10422.17	643.00
50	8632.88	639.00
51	9907.06	601.00
52	10037.82	596.00
53	9002.47	576.00
54	9471.95	532.00
55	10937.12	481.00
56	10677.53	469.00
57	10807.11	453.00
58	9782.71	451.00
59	9852.50	408.00
60	10482.67	407.00
61	9717.77	384.00
62	11707.24	372.00
63	11192.94	364.00
64	10233.19	349.00
65	11322.71	344.00
66	12223.22	314.00
67	11452.42	312.00
--------------------------------

