ID	Mean_keV	Sigma_keV	FWHM_keV	NetArea	Chi2_NDF
1	3999.71	8.137	19.1612	-45994.4	2.61252e-06
2	4067.2	1.09763	2.58472	105.222	0.000309383
3	4125.62	1.8195	4.28461	457.867	0.00107109
4	4246.35	2.13092	5.01793	202.243	0.000560589
5	4445.52	2.98085	7.01937	124.866	0.000597582
6	4604.87	4.2187	9.93429	723	2.26421e-05
7	4803.52	6.01289	14.1593	532.345	5.16053e-05
8	5117.5	0.623103	1.46729	70.8191	0.00141925
9	5313.37	9.63792	22.6956	16119.8	0.000177661
10	5430.75	2.24258	5.28087	430.998	0.000177631
11	5510.57	2.1369	5.03201	190.641	0.000294728
12	5602.49	1.21121	2.85218	111.456	0.000358374
13	5687.84	4.92404	11.5952	2733.16	1.85364e-05
14	5808.72	5.16643	12.166	1882.23	8.50154e-06
15	5950.5	0.956362	2.25206	61.4454	0.000928072
16	6108.92	5.71722	13.463	10035.2	2.07401e-05
17	6283.44	9.81313	23.1082	7053.23	0.00361799
18	6434.5	6.10073	14.3661	227.819	0.00298903
19	6459.33	0.854684	2.01263	-171.851	0.00103024
20	6547.91	7.08363	16.6807	2509.26	4.62005e-05
21	6621.92	10.3361	24.3397	11117.2	0.000238039
22	6773.08	11.1574	26.2737	10273.1	0.00148653
23	6911.62	2.43662	5.73781	60.3576	1.43876e-05
24	7062.73	10.9528	25.7918	6519.57	0.000146481
25	7128.25	6.60328	15.5495	2399.02	0.00112532
26	7308.98	3.72677	8.77586	559.187	6.28418e-08
27	7377.77	7.97431	18.7781	2998.53	0.000544635
28	7447.43	10.9128	25.6976	8726.7	0.000332579
29	7597.46	1.074	2.52907	24.2893	0.00082628
30	7682.59	10.3904	24.4675	6467.43	0.000403064
31	7800.79	2.07199	4.87917	172.69	0.00128886
32	7881.67	2.37565	5.59423	328.914	4.26947e-06
33	8017.6	11.156	26.2705	3793.24	0.00061122
34	8084.29	2.00063	4.71111	306.651	0.000534121
35	8209.09	1.99322	4.69368	27.8544	0.000908425
36	8368.24	11.4637	26.9949	3771.94	0.00145944
37	8469.5	1.36865	3.22293	46.7857	0.0098342
38	8532.5	0.750909	1.76826	7.77111	0.000948585
39	8667.27	11.6071	27.3325	1246.17	0.00260947
40	8779.22	2.19125	5.15999	259.752	0.000541326
41	8872.07	11.982	28.2153	294.314	0.00339391
42	8990.52	1.89698	4.46704	97.6	0.0097944
43	9190.83	1.68216	3.9612	44.8719	0.000612102
44	9260.78	0.833851	1.96357	-21.1106	0.011395
