ID	Mean_keV	Sigma_keV	FWHM_keV	Background	Chi2_NDF
1	3993.15	3.23717	7.62295	nan	0.000897407
2	4031.4	9.94018	23.4073	nan	0.000997183
3	4144.69	3.95283	9.30821	nan	0.000266909
4	-7509.91	0.816781	1.92337	nan	0.00123865
5	4212.42	8.2225	19.3625	nan	0.00185748
6	4276.8	8.53259	20.0927	nan	0.00152364
7	4409.52	9.94949	23.4293	nan	0.00043443
8	-10546.7	0.260104	0.612497	nan	0.000603749
9	4544.77	3.10718	7.31685	nan	0.000550468
10	-7342.79	1.38568	3.26302	nan	0.00114633
11	4757.19	3.05418	7.19205	nan	0.000418
12	4864.55	0.106785	0.25146	nan	0.0038637
13	4861.42	6.41904	15.1157	nan	0.00104669
14	5072.73	3.40434	8.0166	nan	0.00196422
15	5307.48	10	23.5482	nan	0.00428836
16	5392.07	8.3456	19.6524	nan	0.00156753
17	5687.86	10	23.5482	nan	0.00191218
18	5807.81	10	23.5482	nan	0.00508533
19	6108.4	9.45229	22.2584	nan	0.000777375
20	6283.77	10	23.5482	nan	0.00461657
