ID	Mean_keV	Sigma_keV	FWHM_keV
1	4801.54	23.4515	55.2241
2	5117.57	18.2878	43.0645
3	5307.24	11.9204	28.0704
4	5427.6	13.2659	31.2389
5	5687.73	12.8296	30.2114
6	5808.78	28.3678	66.8011
7	6106.94	13.8069	32.5127
8	6282.75	13.3438	31.4222
9	6549.23	13.8551	32.6263
10	6619.53	12.5269	29.4987
11	6773.95	13.0699	30.7773
12	7062.77	11.38	26.7978
13	7127.87	10.7452	25.303
14	7312.17	16.7859	39.5279
15	7379.77	12.5983	29.6667
16	7447.25	12.6117	29.6982
17	7680.91	14.5683	34.3057
18	8018.55	14.4882	34.117
19	8369.61	16.0253	37.7367
20	8783.46	15.0866	35.5263
