ID	Mean	Sigma	Sigma_Err	FWHM	Chi2_NDF
1	3998.98	9.02849	8.46855	21.2605	8.64492e-08
2	4067.25	1.31638	14.194	3.09983	0.000309786
3	4125.51	1.49766	8.54951	3.52672	0.00181984
4	4245.9	4.48269	10.1026	10.5559	0.000776423
5	4445.5	1.04924	10.5962	2.47078	0.000615525
6	4604.87	4.21941	9.117	9.93594	2.2633e-05
7	4803.53	6.02231	8.1855	14.1815	5.17777e-05
8	5117.47	0.126058	13.7457	0.296844	0.00139216
9	5312.98	9.18746	8.96015	21.6348	0.000189882
10	5430.74	2.22197	9.00429	5.23234	0.000177128
11	5510.57	2.02523	9.21845	4.76906	0.000293151
12	5602.03	1.36337	10.7321	3.21049	0.000356453
13	5687.84	4.92672	8.66234	11.6015	1.82769e-05
14	5808.72	5.16586	13.2086	12.1647	8.4996e-06
15	5950.5	0.879163	9.06133	2.07027	0.000925046
16	6108.91	5.71212	9.1502	13.451	2.16296e-05
17	6283.42	10.2946	8.94246	24.2419	0.00360937
18	6434.5	1.11225	14.1968	2.61916	0.00364336
19	6450.68	0.229709	12.8371	0.540923	0.00130438
20	6547.91	7.06435	8.10373	16.6353	4.77631e-05
21	6621.94	9.83331	10.3462	23.1557	0.000249112
22	6773.03	14.4072	12.6901	33.9263	0.00138383
23	6911.61	2.42721	8.15521	5.71565	1.42761e-05
24	7062.76	10.4017	12.9456	24.4941	0.000165611
25	7128.25	6.59797	8.30274	15.537	0.00112569
26	7308.98	3.72675	10.0616	8.77582	6.30194e-08
27	7377.77	7.91534	11.1834	18.6392	0.000547598
28	7447.47	13.3944	8.7804	31.5413	0.000285937
29	7597.45	1.08512	10.0962	2.55526	0.00082629
30	7682.64	9.58829	10.1941	22.5787	0.000420126
31	7800.83	2.15565	10.4102	5.07617	0.00130055
32	7881.67	2.37386	13.0374	5.59001	4.00705e-06
33	8017.63	14.3769	14.0427	33.8549	0.000559448
34	8084.27	2.01684	12.3364	4.74929	0.000533689
35	8214.49	0.82907	8.30693	1.95231	0.00133313
36	8368.24	14.851	8.3418	34.9715	0.00137552
37	8460.5	1.58678	8.27536	3.73658	0.00904513
38	8532.5	0.427262	8.08128	1.00612	0.000948585
39	8667.23	14.991	10.2359	35.301	0.00253946
40	8779.23	2.18236	8.78787	5.13906	0.00054094
41	8870.79	1.35647	8.34362	3.19425	0.00116852
42	8999.84	0.7604	1.88838	1.7906	0.0130718
43	9191.02	1.98387	8.52272	4.67167	0.000616873
44	9260.05	0.846492	11.5096	1.99334	0.01148
