date	Tstart	Tsustain/s	ACCT_avg
5.16	01:30	10800	3.85450171
5.16	04:30	10800	3.840176051
5.16	07:30	7400	3.754529181
5.16	09:33	10800	3.710242823
5.16	12:33	10800	3.718422022
5.16	15:33	6500	3.674114071
5.16	17:22	6000	4.349159647
5.16	20:22	10800	NaN
5.16	23:22	10800	NaN
5.17	02:22	10800	4.70842729
5.17	05:22	10800	4.70019243
5.17	08:22	10800	7.098689526
5.17	11:22	10800	7.676426534
5.17	14:22	10800	7.535038798
5.17	17:22	10800	7.220070521
5.17	20:22	10800	7.527502349
5.17	23:22	10800	7.743767746
5.18	02:22	10800	7.68487338
5.18	05:22	790	7.657534662
5.18	07:54	10800	10.10576678
5.18	10:54	10800	9.678301718
5.18	13:54	10800	10.05521523
5.18	16:54	10800	9.851470841
5.18	19:54	10800	9.869284871
5.18	22:54	10800	9.940472386
5.19	01:54	10800	9.842570783
5.19	04:54	10800	9.836366879
5.19	07:54	10800	9.733498983
5.19	10:54	6400	9.729865289
5.19	12:40	9500	14.75527935
5.19	15:18	4000	0.01897702583
5.19	18:18	1080	14.75697125
5.19	21:18	1080	14.71874438
5.20	00:18	1080	14.70252437
5.20	03:18	1080	14.33199904
5.20	06:18	7200	14.09355932
