date	Tstart	Tsustain/s
5.16	01:30	10800
5.16	04:30	10800
5.16	07:30	7400
5.16	09:33	10800
5.16	12:33	10800
5.16	15:33	6500
5.16	17:22	6000
5.16	20:22	10800
5.16	23:22	10800
5.17	02:22	10800
5.17	05:22	10800
5.17	08:22	10800
5.17	11:22	10800
5.17	14:22	10800
5.17	17:22	10800
5.17	20:22	10800
5.17	23:22	10800
5.18	02:22	10800
5.18	05:22	790
5.18	07:54	10800
5.18	10:54	10800
5.18	13:54	10800
5.18	16:54	10800
5.18	19:54	10800
5.18	22:54	10800
5.19	01:54	10800
5.19	04:54	10800
5.19	07:54	10800
5.19	10:54	6400
5.19	12:40	9500
5.19	15:18	4000
5.19	18:18	1080
5.19	21:18	1080
5.20	00:18	1080
5.20	03:18	1080
5.20	06:18	7200
