Element	Z	A_raw	A	N	SF_branch_percent_raw	SF_branch_percent_numeric	T12_raw	T12_unit	T12_ms	T12_err_low_ms	T12_err_high_ms	Tsf_ms	Tsf_err_low_ms	Tsf_err_high_ms	Log10_Tsf_ms	Log10_Tsf_err_low	Log10_Tsf_err_high
Fm	100	241	241	141	>78	78	0.73(6)	ms	0.73	0.06	0.06	0.93589744	0.076923077	0.076923077	-0.028771743	0.037248057	0.034304231
Fm	100	242	242	142	100	100	0.8(2)	ms	0.8	0.2	0.2	0.8	0.2	0.2	-0.096910013	0.12493874	0.096910013
Fm	100	244	244	144	>97	97	3.21(8)	ms	3.21	0.08	0.08	3.3092784	0.082474227	0.082474227	0.5197333	0.010960695	0.010690866
Fm	100	245	245	145	<0.3	0.3	5.4(6)	ms	5.4	0.6	0.6	1800	200	200	3.2552725	0.051152522	0.045757491
Fm	100	246	246	146	<=1.3	1.3	1.54(4)	s	1540	40	40	118461.54	3076.9231	3076.9231	5.0735774	0.011429462	0.011136366
Fm	100	248	248	148	0.1	0.1	34.5(12)	s	34500	1200	1200	34500000	1200000	1200000	7.5378191	0.015374862	0.014849121
Fm	100	250	250	150	6.9E-3	0.0069	31.0(11)	min	1860000	66000	66000	2.6956522e+10	9.5652174e+08	9.5652174e+08	10.430664	0.015690506	0.015143339
Fm	100	252	252	152	2.3E-3	0.0023	25.38(12)	h	91368000	432000	432000	3.9725217e+12	1.8782609e+10	1.8782609e+10	12.599066	0.0020582715	0.0020485627
Fm	100	254	254	154	0.06	0.06	3.240(2)	h	11664000	7200	7200	1.944e+10	12000000	12000000	10.288696	0.00026816579	0.00026800031
Fm	100	255	255	155	2.4E-5	2.4e-05	27.07(7)	h	97452000	252000	252000	4.0605e+14	1.05e+12	1.05e+12	14.60858	0.0011244916	0.0011215876
Fm	100	256	256	156	8.10	8.1	157.1(12)	min	9426000	72000	72000	1.1637037e+08	888888.89	888888.89	8.0658424	0.0033300699	0.0033047298
Fm	100	256m	256	156	2E-5	2e-05	70(5)	ns	7e-05	5e-06	5e-06	350	25	25	2.544068	0.032184683	0.029963223
Fm	100	257	257	157	0.21	0.21	100.5(2)	d	8.6832e+09	17280000	17280000	4.1348571e+12	8.2285714e+09	8.2285714e+09	12.616461	0.00086512874	0.0008634088
Fm	100	258	258	158	100	100	370(140)	us	0.37	0.14	0.14	0.37	0.14	0.14	-0.43179828	0.20647389	0.13936845
Fm	100	259	259	159	100	100	1.5(2)	s	1500	200	200	1500	200	200	3.1760913	0.062147907	0.054357662
No	102	250	250	148	100	100	4.6(2)	us	0.0046	0.0002	0.0002	0.0046	0.0002	0.0002	-2.3372422	0.019305155	0.018483406
No	102	250m	250	148	100	100	43.0+22-15	us	0.043	0.015	0.022	0.043	0.015	0.022	-1.3665315	0.18631042	0.1794449
No	102	251	251	149	<1.4E-3	0.0014	0.8(1)	s	800	100	100	57142857	7142857.1	7142857.1	7.756962	0.057991947	0.051152522
No	102	252	252	150	31	31	2.467(16)	s	2467	16	16	7958.0645	51.612903	51.612903	3.9008075	0.0028258382	0.0028075701
No	102	254	254	152	0.17	0.17	51.2(4)	s	51200	400	400	30117647	235294.12	235294.12	7.478821	0.0034062487	0.0033797407
No	102	254m1	254	152	0.02	0.02	264.9(14)	ms	264.9	1.4	1.4	1324500	7000	7000	6.122052	0.0023013387	0.0022892081
No	102	254m3	254	152	<=0.012	0.012	184(3)	us	0.184	0.003	0.003	1533.3333	25	25	3.1856366	0.0071392481	0.0070237835
No	102	256	256	154	0.55	0.55	2.91(5)	s	2910	50	50	529090.91	9090.9091	9090.9091	5.7235303	0.0075269559	0.0073987221
No	102	257	257	155	<1.5	1.5	24.5(5)	s	24500	500	500	1633333.3	33333.333	33333.333	6.2130748	0.0089548427	0.0087739243
No	102	258	258	156	<=100	100	1.23+12-11	ms	1.23	11	12	1.23	11	12	0.089905111		1.0316547
No	102	259	259	157	<10	10	58(5)	min	3480000	300000	300000	34800000	3000000	3000000	7.5415792	0.039152124	0.035912556
No	102	260	260	158	100	100	106(8)	ms	106	8	8	106	8	8	2.0253059	0.03407979	0.031598986
No	102	262	262	160	100	100	≈5	ms	5			5			0.69897		
