Element	Z	A_raw	A	N	SF_branch_percent_raw	SF_branch_percent_numeric	SF_branch_limit	T12_raw	T12_unit	T12_s	T12_err_low_s	T12_err_high_s	Tsf_s	Tsf_err_low_s	Tsf_err_high_s	Tsf_limit	Log10_Tsf_s	Log10_Tsf_err_low	Log10_Tsf_err_high
Fm	100	241	241	141	>78	78	lower	0.73(6)	ms	0.00073	6e-05	6e-05	0.00093589744	7.6923077e-05	7.6923077e-05	upper	-3.0287717	0.037248057	0.034304231
Fm	100	242	242	142	100	100		0.8(2)	ms	0.0008	0.0002	0.0002	0.0008	0.0002	0.0002		-3.09691	0.12493874	0.096910013
Fm	100	244	244	144	>97	97	lower	3.21(8)	ms	0.00321	8e-05	8e-05	0.0033092784	8.2474227e-05	8.2474227e-05	upper	-2.4802667	0.010960695	0.010690866
Fm	100	245	245	145	<0.3	0.3	upper	5.4(6)	ms	0.0054	0.0006	0.0006	1.8	0.2	0.2	lower	0.25527251	0.051152522	0.045757491
Fm	100	246	246	146	<=1.3	1.3	upper	1.54(4)	s	1.54	0.04	0.04	118.46154	3.0769231	3.0769231	lower	2.0735774	0.011429462	0.011136366
Fm	100	248	248	148	0.1	0.1		34.5(12)	s	34.5	1.2	1.2	34500	1200	1200		4.5378191	0.015374862	0.014849121
Fm	100	250	250	150	6.9E-3	0.0069		31.0(11)	min	1860	66	66	26956522	956521.74	956521.74		7.4306639	0.015690506	0.015143339
Fm	100	252	252	152	2.3E-3	0.0023		25.38(12)	h	91368	432	432	3.9725217e+09	18782609	18782609		9.5990663	0.0020582715	0.0020485627
Fm	100	254	254	154	0.06	0.06		3.240(2)	h	11664	7.2	7.2	19440000	12000	12000		7.2886963	0.00026816579	0.00026800031
Fm	100	255	255	155	2.4E-5	2.4e-05		27.07(7)	h	97452	252	252	4.0605e+11	1.05e+09	1.05e+09		11.60858	0.0011244916	0.0011215876
Fm	100	256	256	156	8.10	8.1		157.1(12)	min	9426	72	72	116370.37	888.88889	888.88889		5.0658424	0.0033300699	0.0033047298
Fm	100	256m	256	156	2E-5	2e-05		70(5)	ns	7e-08	5e-09	5e-09	0.35	0.025	0.025		-0.45593196	0.032184683	0.029963223
Fm	100	257	257	157	0.21	0.21		100.5(2)	d	8683200	17280	17280	4.1348571e+09	8228571.4	8228571.4		9.6164605	0.00086512874	0.0008634088
Fm	100	258	258	158	100	100		370(140)	us	0.00037	0.00014	0.00014	0.00037	0.00014	0.00014		-3.4317983	0.20647389	0.13936845
Fm	100	259	259	159	100	100		1.5(2)	s	1.5	0.2	0.2	1.5	0.2	0.2		0.17609126	0.062147907	0.054357662
No	102	250	250	148	100	100		4.6(2)	us	4.6e-06	2e-07	2e-07	4.6e-06	2e-07	2e-07		-5.3372422	0.019305155	0.018483406
No	102	250m	250	148	100	100		43.0+22-15	us	4.3e-05	1.5e-05	2.2e-05	4.3e-05	1.5e-05	2.2e-05		-4.3665315	0.18631042	0.1794449
No	102	251	251	149	<1.4E-3	0.0014	upper	0.8(1)	s	0.8	0.1	0.1	57142.857	7142.8571	7142.8571	lower	4.756962	0.057991947	0.051152522
No	102	252	252	150	31	31		2.467(16)	s	2.467	0.016	0.016	7.9580645	0.051612903	0.051612903		0.90080746	0.0028258382	0.0028075701
No	102	254	254	152	0.17	0.17		51.2(4)	s	51.2	0.4	0.4	30117.647	235.29412	235.29412		4.478821	0.0034062487	0.0033797407
No	102	254m1	254	152	0.02	0.02		264.9(14)	ms	0.2649	0.0014	0.0014	1324.5	7	7		3.122052	0.0023013387	0.0022892081
No	102	254m3	254	152	<=0.012	0.012	upper	184(3)	us	0.000184	3e-06	3e-06	1.5333333	0.025	0.025	lower	0.18563658	0.0071392481	0.0070237835
No	102	256	256	154	0.55	0.55		2.91(5)	s	2.91	0.05	0.05	529.09091	9.0909091	9.0909091		2.7235303	0.0075269559	0.0073987221
No	102	257	257	155	<1.5	1.5	upper	24.5(5)	s	24.5	0.5	0.5	1633.3333	33.333333	33.333333	lower	3.2130748	0.0089548427	0.0087739243
No	102	258	258	156	<=100	100	upper	1.23+12-11	ms	0.00123	0.011	0.012	0.00123	0.011	0.012	lower	-2.9100949		1.0316547
No	102	259	259	157	<10	10	upper	58(5)	min	3480	300	300	34800	3000	3000	lower	4.5415792	0.039152124	0.035912556
No	102	260	260	158	100	100		106(8)	ms	0.106	0.008	0.008	0.106	0.008	0.008		-0.97469413	0.03407979	0.031598986
No	102	262	262	160	100	100		≈5	ms	0.005			0.005				-2.30103		
