A	SF_branch_percent	T12_value	T12_unit	T12_numeric	T12_err	unit_factor_to_ms	SF_branch_numeric	T12_ms	T12_err_ms	Tsf_ms	Tsf_err_ms	Log10_Tsf_ms	Log10_Tsf_err
241	>78	0.73(6)	ms	0.73	0.06	1	78	0.73	0.06	0.93589744	0.076923077	-0.028771743	0.035695437
242	100	0.8(2)	ms	0.8	0.2	1	100	0.8	0.2	0.8	0.2	-0.096910013	0.10857362
243	9?	231(9)	ms	231	9	1		231	9				
244	>97	3.21(8)	ms	3.21	0.08	1	97	3.21	0.08	3.3092784	0.082474227	0.5197333	0.010823538
245	<0.3	5.4(6)	ms	5.4	0.6	1	0.3	5.4	0.6	1800	200	3.2552725	0.048254942
246	<=1.3	1.54(4)	s	1.54	0.04	1000	1.3	1540	40	118461.54	3076.9231	5.0735774	0.011280376
247	0	31(1)	s	31	1	1000	0	31000	1000				
248	0.1	34.5(12)	s	34.5	1.2	1000	0.1	34500	1200	34500000	1200000	7.5378191	0.015105895
249	0	1.6(1)	min	1.6	0.1	60000	0	96000	6000				
250	0.0069	31.0(11)	min	31	1.1	60000	0.0069	1860000	66000	2.6956522e+10	9.5652174e+08	10.430664	0.015410449
251	0	5.30(8)	h	5.3	0.08	3600000	0	19080000	288000				
252	0.0023	25.38(12)	h	25.38	0.12	3600000	0.0023	91368000	432000	3.9725217e+12	1.8782609e+10	12.599066	0.0020534018
253	0	3.00(12)	d	3	0.12	86400000	0	2.592e+08	10368000				
254	0.06	3.240(2)	h	3.24	0.002	3600000	0.06	11664000	7200	1.944e+10	12000000	10.288696	0.00026808301
255	2.4e-05	27.07(7)	h	27.07	0.07	3600000	2.4e-05	97452000	252000	4.0605e+14	1.05e+12	14.60858	0.0011230371
256	8.1	157.1(12)	min	157.1	1.2	60000	8.1	9426000	72000	1.1637037e+08	888888.89	8.0658424	0.0033173353
257	0.21	100.5(2)	d	100.5	0.2	86400000	0.21	8.6832e+09	17280000	4.1348571e+12	8.2285714e+09	12.616461	0.00086426763
258	100	370(140)	us	370	140	0.001	100	0.37	0.14	0.37	0.14	-0.43179828	0.16432764
259	100	1.5(2)	s	1.5	0.2	1000	100	1500	200	1500	200	3.1760913	0.057905931
