# A   SF_branch_percent   T12_value   T12_unit
241   >78        0.73(6)    ms
242   100        0.8(2)     ms
243   9?         231(9)     ms
244   >97        3.21(8)    ms
245   <0.3       5.4(6)     ms
246   <=1.3      1.54(4)    s
247   0          31(1)      s
247m  0          5.1(2)     s
248   0.1        34.5(12)   s
249   0          1.6(1)     min
250   6.9E-3     31.0(11)   min
250m  0          1.92(5)    s
251   0          5.30(8)    h
251m  0          21.8(8)    us
252   2.3E-3     25.38(12)  h
253   0          3.00(12)   d
253m  0          0.56(6)    us
254   0.06       3.240(2)   h
255   2.4E-5     27.07(7)   h
256   8.10       157.1(12)  min
256m  2E-5       70(5)      ns
257   0.21       100.5(2)   d
258   100        370(140)   us
259   100        1.5(2)     s
