A    	 Z  	 N  	 T1/2     	 brSF   	 T1/2_SF      	 T1/2_SF_limit
238  	  98	 140	 0.022    	 95     	 0.022        	 upper
240  	  98	 142	 64       	 1.5    	 4.26e3       	 value
242  	  98	 144	 222      	 0.01   	 2.2e6        	 lower
246  	  98	 148	 128520   	 0.00024	 5.36e10      	 value
248  	  98	 150	 28814400 	 0.0029 	 1.00e12      	 value
250  	  98	 152	 412586688	 0.08   	 5.16e11      	 value
252  	  98	 154	 83457720 	 3.09   	 2.80e9       	 value
254  	  98	 156	 5227200  	 99.69  	 5.24e6       	 value
256  	  98	 158	 738      	 100    	 738          	 value
241  	 100	 141	 0.00073  	 78     	 0.00093589744	 upper
242  	 100	 142	 0.0008   	 100    	 0.0008       	 value
244  	 100	 144	 0.00321  	 97     	 0.0033092784 	 upper
245  	 100	 145	 0.0054   	 0.3    	 1.8          	 lower
246  	 100	 146	 1.54     	 1.3    	 118.46154    	 lower
248  	 100	 148	 34.5     	 0.1    	 34500        	 value
250  	 100	 150	 1860     	 0.0069 	 26956522     	 value
252  	 100	 152	 91368    	 0.0023 	 3.9725217e+09	 value
254  	 100	 154	 11664    	 0.06   	 19440000     	 value
255  	 100	 155	 97452    	 2.4e-05	 4.0605e+11   	 value
256  	 100	 156	 9426     	 8.1    	 116370.37    	 value
256m 	 100	 156	 7e-08    	 2e-05  	 0.35         	 value
257  	 100	 157	 8683200  	 0.21   	 4.1348571e+09	 value
258  	 100	 158	 0.00037  	 100    	 0.00037      	 value
259  	 100	 159	 1.5      	 100    	 1.5          	 value
250  	 102	 148	 4.6e-06  	 100    	 4.6e-06      	 value
250m 	 102	 148	 4.3e-05  	 100    	 4.3e-05      	 value
251  	 102	 149	 0.8      	 0.0014 	 57142.857    	 lower
252  	 102	 150	 2.467    	 31     	 7.9580645    	 value
254  	 102	 152	 51.2     	 0.17   	 30117.647    	 value
254m1	 102	 152	 0.2649   	 0.02   	 1324.5       	 value
254m3	 102	 152	 0.000184 	 0.012  	 1.5333333    	 lower
256  	 102	 154	 2.91     	 0.55   	 529.09091    	 value
257  	 102	 155	 24.5     	 1.5    	 1633.3333    	 lower
258  	 102	 156	 0.00123  	 100    	 0.00123      	 lower
259  	 102	 157	 3480     	 10     	 34800        	 lower
260  	 102	 158	 0.106    	 100    	 0.106        	 value
262  	 102	 160	 0.005    	 100    	 0.005        	 value
