Element	Z	A_raw	A	N	SF_branch_percent_raw	SF_branch_percent_numeric	T12_raw	T12_unit	T12_ms	T12_err_low_ms	T12_err_high_ms	Tsf_ms	Tsf_err_low_ms	Tsf_err_high_ms	Log10_Tsf_ms	Log10_Tsf_err_low	Log10_Tsf_err_high
No	102	250	250	148	100	100	4.6(2)	us	0.0046	0.0002	0.0002	0.0046	0.0002	0.0002	-2.3372422	0.019305155	0.018483406
No	102	250m	250	148	100	100	43.0+22-15	us	0.043	0.015	0.022	0.043	0.015	0.022	-1.3665315	0.18631042	0.1794449
No	102	251	251	149	<1.4E-3	0.0014	0.8(1)	s	800	100	100	57142857	7142857.1	7142857.1	7.756962	0.057991947	0.051152522
No	102	252	252	150	31	31	2.467(16)	s	2467	16	16	7958.0645	51.612903	51.612903	3.9008075	0.0028258382	0.0028075701
No	102	254	254	152	0.17	0.17	51.2(4)	s	51200	400	400	30117647	235294.12	235294.12	7.478821	0.0034062487	0.0033797407
No	102	254m1	254	152	0.02	0.02	264.9(14)	ms	264.9	1.4	1.4	1324500	7000	7000	6.122052	0.0023013387	0.0022892081
No	102	254m3	254	152	<=0.012	0.012	184(3)	us	0.184	0.003	0.003	1533.3333	25	25	3.1856366	0.0071392481	0.0070237835
No	102	256	256	154	0.55	0.55	2.91(5)	s	2910	50	50	529090.91	9090.9091	9090.9091	5.7235303	0.0075269559	0.0073987221
No	102	257	257	155	<1.5	1.5	24.5(5)	s	24500	500	500	1633333.3	33333.333	33333.333	6.2130748	0.0089548427	0.0087739243
No	102	258	258	156	<=100	100	1.23+12-11	ms	1.23	11	12	1.23	11	12	0.089905111		1.0316547
No	102	259	259	157	<10	10	58(5)	min	3480000	300000	300000	34800000	3000000	3000000	7.5415792	0.039152124	0.035912556
No	102	260	260	158	100	100	106(8)	ms	106	8	8	106	8	8	2.0253059	0.03407979	0.031598986
No	102	262	262	160	100	100	≈5	ms	5			5			0.69897		
