Element	Z	A_raw	A	N	SF_branch_percent_raw	SF_branch_percent_numeric	SF_branch_limit	T12_raw	T12_unit	T12_s	T12_err_low_s	T12_err_high_s	Tsf_s	Tsf_err_low_s	Tsf_err_high_s	Tsf_limit	Log10_Tsf_s	Log10_Tsf_err_low	Log10_Tsf_err_high
No	102	250	250	148	100	100		4.6(2)	us	4.6e-06	2e-07	2e-07	4.6e-06	2e-07	2e-07		-5.3372422	0.019305155	0.018483406
No	102	250m	250	148	100	100		43.0+22-15	us	4.3e-05	1.5e-05	2.2e-05	4.3e-05	1.5e-05	2.2e-05		-4.3665315	0.18631042	0.1794449
No	102	251	251	149	<1.4E-3	0.0014	upper	0.8(1)	s	0.8	0.1	0.1	57142.857	7142.8571	7142.8571	lower	4.756962	0.057991947	0.051152522
No	102	252	252	150	31	31		2.467(16)	s	2.467	0.016	0.016	7.9580645	0.051612903	0.051612903		0.90080746	0.0028258382	0.0028075701
No	102	254	254	152	0.17	0.17		51.2(4)	s	51.2	0.4	0.4	30117.647	235.29412	235.29412		4.478821	0.0034062487	0.0033797407
No	102	254m1	254	152	0.02	0.02		264.9(14)	ms	0.2649	0.0014	0.0014	1324.5	7	7		3.122052	0.0023013387	0.0022892081
No	102	254m3	254	152	<=0.012	0.012	upper	184(3)	us	0.000184	3e-06	3e-06	1.5333333	0.025	0.025	lower	0.18563658	0.0071392481	0.0070237835
No	102	256	256	154	0.55	0.55		2.91(5)	s	2.91	0.05	0.05	529.09091	9.0909091	9.0909091		2.7235303	0.0075269559	0.0073987221
No	102	257	257	155	<1.5	1.5	upper	24.5(5)	s	24.5	0.5	0.5	1633.3333	33.333333	33.333333	lower	3.2130748	0.0089548427	0.0087739243
No	102	258	258	156	<=100	100	upper	1.23+12-11	ms	0.00123	0.011	0.012	0.00123	0.011	0.012	lower	-2.9100949		1.0316547
No	102	259	259	157	<10	10	upper	58(5)	min	3480	300	300	34800	3000	3000	lower	4.5415792	0.039152124	0.035912556
No	102	260	260	158	100	100		106(8)	ms	0.106	0.008	0.008	0.106	0.008	0.008		-0.97469413	0.03407979	0.031598986
No	102	262	262	160	100	100		≈5	ms	0.005			0.005				-2.30103		
