A Z N T1/2 brSF T1/2_SF T1/2_SF_limit BSkG3_s EBT_s MAA_s
238 98 140 0.022 95 0.022 upper 1.18850e-02 3.10456e+00 3.54813e-03
240 98 142 64 1.5 4.26e3 value 1.99690e+03 3.48337e+04 2.64241e+03
242 98 144 222 0.01 2.2e6 lower 1.97020e+07 1.84077e+06 2.52348e+05
246 98 148 128520 0.00024 5.36e10 value 8.29580e+11 7.63836e+10 5.82103e+10
248 98 150 28814400 0.0029 1.00e12 value 5.95830e+13 1.44877e+11 1.23880e+12
250 98 152 412586688 0.08 5.16e11 value 3.93570e+13 4.16869e+11 2.74157e+11
252 98 154 83457720 3.09 2.80e9 value 1.69450e+12 1.49968e+09 3.03389e+08
254 98 156 5227200 99.69 5.24e6 value 3.77640e+09 6.22300e+07 2.26986e+05
256 98 158 738 100 738 value 5.17240e+02 9.33254e+04 1.53815e+02
241 100 141 0.00073 78 0.00093589744 upper -- 8.51138e-01 6.18016e-05
242 100 142 0.0008 100 0.0008 value 3.01840e-07 6.87068e-03 6.54636e-06
244 100 144 0.00321 97 0.0033092784 upper 6.50260e-06 1.26183e-01 1.59956e-03
245 100 145 0.0054 0.3 1.8 lower 6.78610e-04 2.24388e+02 6.32412e+03
246 100 146 1.54 1.3 118.46154 lower 3.34750e+03 5.48277e+00 1.33045e+01
248 100 148 34.5 0.1 34500 value 1.69990e+07 1.88365e+04 4.97737e+04
250 100 150 1860 0.0069 26956522 value 3.73220e+08 8.77001e+06 1.20226e+07
252 100 152 91368 0.0023 3.9725217e+09 value 2.04300e+10 5.01187e+08 6.01174e+07
254 100 154 11664 0.06 19440000 value 8.99270e+07 2.11836e+07 5.94292e+04
255 100 155 97452 2.4e-05 4.0605e+11 value 8.50090e+08 2.48886e+09 5.52077e+08
256 100 156 9426 8.1 116370.37 value 2.05490e-01 6.08135e+06 1.51008e+03
256m 100 156 7e-08 2e-05 0.35 value -- -- --
257 100 157 8683200 0.21 4.1348571e+09 value 2.78720e+01 2.43220e+08 1.78238e+07
258 100 158 0.00037 100 0.00037 value 3.05950e-02 2.36048e+04 2.71019e+02
259 100 159 1.5 100 1.5 value 3.26840e+00 8.99498e+06 3.83707e+06
250 102 148 4.6e-06 100 4.6e-06 value 9.07830e-04 9.63829e-03 4.53942e-04
250m 102 148 4.3e-05 100 4.3e-05 value -- -- --
251 102 149 0.8 0.0014 57142.857 lower 6.00530e-02 1.87068e+02 1.05196e+03
252 102 150 2.467 31 7.9580645 value 5.06210e-02 4.06443e-01 7.41310e+00
254 102 152 51.2 0.17 30117.647 value 1.30360e+00 9.57194e+01 2.47172e+02
254m1 102 152 0.2649 0.02 1324.5 value -- -- --
254m3 102 152 0.000184 0.012 1.5333333 lower -- -- --
256 102 154 2.91 0.55 529.09091 value 9.06420e-02 7.01455e+01 3.23594e-01
257 102 155 24.5 1.5 1633.3333 lower -- 2.84446e+05 8.26038e+03
258 102 156 0.00123 100 0.00123 lower 1.47930e+00 1.75792e+02 8.72971e-01
259 102 157 3480 10 34800 lower 2.97740e+01 1.47911e+05 3.69828e+04
260 102 158 0.106 100 0.106 value 4.22330e-01 8.91251e+02 3.25087e+00
262 102 160 0.005 100 0.005 value 3.54740e-01 4.22669e+03 8.89201e-01
