#######################################################
# nb20 stands for NUBASE20: G.                        #
# F. Kondev et al 2021 Chinese Phys. C 45 030001.     #
# min/max represent lower/upper limits from exp.      # 
#######################################################
# Z    A      Exp[s]      Err[s]  typ   ref    BSkG3[s]
090  230  5.9485E+25  2.3668E+23  min  nb20  5.1088e+34
090  232  4.0163E+28  2.8688E+26  equ  nb20  3.1834e+34
091  231  3.4344E+23  2.1038E+21  min  nb20  3.7163e+32
092  232  8.0529E+22  4.6751E+20  equ  nb20  5.0230e+24
092  233  8.3726E+24  7.8892E+21  min  nb20  4.9458e+25
092  234  4.7239E+23  1.1545E+21  equ  nb20  5.6889e+24
092  235  3.1737E+26  4.5081E+19  equ  nb20  2.1238e+23
092  236  7.8624E+23  1.3428E+21  equ  nb20  2.0937e+25
092  238  2.5889E+23  1.7403E+20  equ  nb20  8.6489e+24
093  237  3.3829E+25  1.1045E+23  min  nb20  5.9012e+23
094  229  1.3000E+03  3.7143E-02  min  nb20  6.9384e+12
094  236  4.7468E+16  1.3287E+14  equ  nb20  2.5939e+14
094  238  1.4566E+18  1.6609E+15  equ  nb20  1.6008e+18
094  239  2.4543E+23  3.0539E+20  equ  nb20  2.2848e+20
094  240  3.5722E+18  2.7223E+16  equ  nb20  1.6560e+19
094  241  1.8841E+24  3.8131E+21  min  nb20  8.4511e+21
094  242  2.1477E+18  1.1412E+11  equ  nb20  6.5641e+19
094  244  2.0858E+18  7.6968E+15  equ  nb20  5.9388e+20
095  241  3.7921E+21  5.2595E+18  equ  nb20  7.0541e+18
095  243  6.2687E+21  7.6760E+18  equ  nb20  5.7892e+18
096  234  2.6000E+03  4.5000E-02  equ  nb20  1.9916e+04
096  238  1.6500E+07  3.0000E+06  equ  nb20  3.0655e+09
096  240  6.7348E+13  8.1969E+12  equ  nb20  3.9576e+12
096  242  2.2687E+14  2.7871E+11  equ  nb20  4.5267e+14
096  243  1.7327E+19  5.9541E+16  equ  nb20  7.2164e+17
096  244  4.1715E+14  6.9103E+11  equ  nb20  5.2029e+15
096  245  4.2679E+19  3.6213E+17  equ  nb20  2.8706e+17
096  246  5.6790E+14  4.8271E+12  equ  nb20  5.0255e+16
096  248  1.3089E+14  2.2568E+08  equ  nb20  2.5819e+16
096  250  3.5395E+11  0.0000E+00  equ  nb20  1.9991e+15
097  239  1.0000E+06  0.0000E+00  min  nb20  3.3970e+08
097  249  6.0149E+16  5.5149E+13  equ  nb20  7.7680e+16
098  237  2.6667E+00  6.6667E-01  equ  nb20  4.3291e-03
098  238  2.1641E-02  1.3333E-03  equ  nb20  1.1885e-02
098  240  2.6867E+03  6.0000E+01  equ  nb20  1.9969e+03
098  242  1.4957E+06  6.4286E+04  min  nb20  1.9702e+07
098  246  5.3550E+10  7.5000E+08  equ  nb20  8.2958e+11
098  248  9.9360E+11  8.3421E+09  equ  nb20  5.9583e+13
098  249  2.2153E+18  1.2623E+12  equ  nb20  4.4266e+17
098  250  5.3606E+11  3.6885E+09  equ  nb20  3.9357e+13
098  252  2.6901E+09  8.1364E+06  equ  nb20  1.6945e+12
098  254  5.2435E+06  1.7334E+04  equ  nb20  3.7764e+09
098  256  7.3800E+02  7.2000E+01  equ  nb20  5.1724e+02
099  243  2.2100E+03  1.4000E+02  min  nb20  9.5561e+05
099  253  2.0329E+13  2.9793E+10  equ  nb20  1.0091e+13
099  254  7.9402E+14  1.4400E+12  min  nb20  1.2469e+13
099  255  8.3871E+10  2.5288E+09  equ  nb20  1.6141e+08
100  242  8.0000E-04  2.0000E-08  equ  nb20  3.0184e-07
100  243  2.5667E+00  1.0000E-05  equ  nb20  1.0508e-05
100  244  3.2165E-03  8.2474E-05  max  nb20  6.5026e-06
100  245  1.4000E+03  4.3333E+02  min  nb20  6.7861e-04
100  246  2.2647E+01  5.8824E-01  equ  nb20  3.3475e+03
100  248  3.4500E+04  1.2000E+03  equ  nb20  1.6999e+07
100  250  2.6957E+07  9.5652E+05  equ  nb20  3.7322e+08
100  252  3.9741E+09  6.2609E+06  equ  nb20  2.0430e+10
100  254  1.9703E+07  1.2162E+04  equ  nb20  8.9927e+07
100  255  3.0105E+11  1.0500E+09  equ  nb20  8.5009e+08
100  256  1.0257E+04  8.4875E+01  equ  nb20  2.0549e-01
100  257  4.1349E+09  8.2286E+06  equ  nb20  2.7872e+01
100  258  3.7000E-04  1.4000E-09  equ  nb20  3.0595e-02
100  259  1.5000E+00  2.0000E-01  equ  nb20  3.2684e+00
101  247  1.1900E+03  9.0000E+01  min  nb20  4.3437e-04
101  256  1.5540E+05  3.6000E+03  min  nb20  6.0708e+00
101  259  5.7600E+03  2.1600E+02  equ  nb20  5.0439e-01
101  260  2.4019E+06  6.9120E+04  equ  nb20  1.0889e+00
102  250  5.0800E-06  2.7000E-07  equ  nb20  9.0783e-04
102  251  2.6667E+02  3.3333E-04  min  nb20  6.0053e-02
102  252  7.8818E+00  5.1118E-02  equ  nb20  5.0621e-02
102  254  3.0118E+04  2.3529E+02  equ  nb20  1.3036e+00
102  256  5.2909E+02  9.0909E+00  equ  nb20  9.0642e-02
102  258  1.2300E-03  1.2000E-04  equ  nb20  1.4793e+00
102  259  3.4800E+04  3.0000E-01  min  nb20  2.9774e+01
102  260  1.0600E-01  8.0000E-03  equ  nb20  4.2233e-01
102  262  5.0000E-03  8.0000E+00  equ  nb20  3.5474e-01
103  252  1.8450E+01  3.7500E+00  equ  nb20  4.9984e+00
103  253  6.3200E+01  4.6000E-00  equ  nb20  3.0266e-02
