E_ER	X_Pos	Y_Pos	Delta_t1	E_1_DSSD	E_1_SSD
6692	121	7	0.11	157283	2031
7424	62	18	0.12	153022	41787
8643	83	19	0.13	118366	51932
7688	121	35	0.15	149690	0
9229	119	23	0.17	168158	4446
7137	103	36	0.21	120358	33221
10621	110	11	0.23	105726	0
8848	73	11	0.25	174450	0
9790.607143	96.96428571	21.71428571	0.25	138460.1786	1953.607143
10125.13095	96.51190476	22.0952381	0.44	137366.5238	-1318.285714
10459.65476	96.05952381	22.47619048	0.51	136272.869	-4590.178571
10794.17857	95.60714286	22.85714286	0.55	135179.2143	-7862.071429
11128.70238	95.1547619	23.23809524	0.62	134085.5595	-11133.96429
11463.22619	94.70238095	23.61904762	0.86	132991.9048	-14405.85714
11797.75	94.25	24	0.97	131898.25	-17677.75
12132.27381	93.79761905	24.38095238	1.11	130804.5952	-20949.64286
12466.79762	93.3452381	24.76190476	1.11	129710.9405	-24221.53571
12801.32143	92.89285714	25.14285714	1.23	128617.2857	-27493.42857
13135.84524	92.44047619	25.52380952	1.24	127523.631	-30765.32143
13470.36905	91.98809524	25.9047619	1.27	126429.9762	-34037.21429
13804.89286	91.53571429	26.28571429	1.64	125336.3214	-37309.10714
14139.41667	91.08333333	26.66666667	1.86	124242.6667	-40581
14473.94048	90.63095238	27.04761905	1.88	123149.0119	-43852.89286
14808.46429	90.17857143	27.42857143	1.9	122055.3571	-47124.78571
15142.9881	89.72619048	27.80952381	2	120961.7024	-50396.67857
15477.5119	89.27380952	28.19047619	2.04	119868.0476	-53668.57143
15812.03571	88.82142857	28.57142857	2.09	118774.3929	-56940.46429
16146.55952	88.36904762	28.95238095	2.41	117680.7381	-60212.35714
16481.08333	87.91666667	29.33333333	2.57	116587.0833	-63484.25
16815.60714	87.46428571	29.71428571	3.29	115493.4286	-66756.14286
17150.13095	87.01190476	30.0952381	3.32	114399.7738	-70028.03571
17484.65476	86.55952381	30.47619048	4.1	113306.119	-73299.92857
17819.17857	86.10714286	30.85714286	4.4	112212.4643	-76571.82143
18153.70238	85.6547619	31.23809524	4.57	111118.8095	-79843.71429
18488.22619	85.20238095	31.61904762	5.31	110025.1548	-83115.60714
18822.75	84.75	32	6.29	108931.5	-86387.5
19157.27381	84.29761905	32.38095238	7.37	107837.8452	-89659.39286
19491.79762	83.8452381	32.76190476	11.46	106744.1905	-92931.28571
19826.32143	83.39285714	33.14285714	11.9	105650.5357	-96203.17857
20160.84524	82.94047619	33.52380952	12.81	104556.881	-99475.07143
20495.36905	82.48809524	33.9047619	13.8	103463.2262	-102746.9643
20829.89286	82.03571429	34.28571429	14.14	102369.5714	-106018.8571
21164.41667	81.58333333	34.66666667	14.31	101275.9167	-109290.75
21498.94048	81.13095238	35.04761905	15.26	100182.2619	-112562.6429
21833.46429	80.67857143	35.42857143	16.25	99088.60714	-115834.5357
22167.9881	80.22619048	35.80952381	18.92	97994.95238	-119106.4286
22502.5119	79.77380952	36.19047619	21.77	96901.29762	-122378.3214
22837.03571	79.32142857	36.57142857	26.01	95807.64286	-125650.2143
23171.55952	78.86904762	36.95238095	30.99	94713.9881	-128922.1071
23506.08333	78.41666667	37.33333333	35.83	93620.33333	-132194
23840.60714	77.96428571	37.71428571	50.83	92526.67857	-135465.8929
24175.13095	77.51190476	38.0952381	54.68	91433.02381	-138737.7857
24509.65476	77.05952381	38.47619048	56.02	90339.36905	-142009.6786
24844.17857	76.60714286	38.85714286	56.02	89245.71429	-145281.5714
25178.70238	76.1547619	39.23809524	59.87	88152.05952	-148553.4643
25513.22619	75.70238095	39.61904762	64.26	87058.40476	-151825.3571
25847.75	75.25	40	65.5	85964.75	-155097.25
26182.27381	74.79761905	40.38095238	75.59	84871.09524	-158369.1429
26516.79762	74.3452381	40.76190476	78.65	83777.44048	-161641.0357
26851.32143	73.89285714	41.14285714	83.13	82683.78571	-164912.9286
27185.84524	73.44047619	41.52380952	83.94	81590.13095	-168184.8214
27520.36905	72.98809524	41.9047619	100.87	80496.47619	-171456.7143
27854.89286	72.53571429	42.28571429	112.46	79402.82143	-174728.6071
28189.41667	72.08333333	42.66666667	112.8	78309.16667	-178000.5
28523.94048	71.63095238	43.04761905	153.41	77215.5119	-181272.3929
28858.46429	71.17857143	43.42857143	189.74	76121.85714	-184544.2857
29192.9881	70.72619048	43.80952381	270.82	75028.20238	-187816.1786
29527.5119	70.27380952	44.19047619	287.54	73934.54762	-191088.0714
29862.03571	69.82142857	44.57142857	329.72	72840.89286	-194359.9643
30196.55952	69.36904762	44.95238095	577.5	71747.2381	-197631.8571
30531.08333	68.91666667	45.33333333	668	70653.58333	-200903.75
30865.60714	68.46428571	45.71428571	935.84	69559.92857	-204175.6429
31200.13095	68.01190476	46.0952381	985.35	68466.27381	-207447.5357
