E_ER,X_Pos,Y_Pos,Delta_t1,E_1_DSSD,E_1_SSD
6692,121,7,6.37,157283,2031
7424,62,18,4.75,153022,41787
8643,83,19,3.85,118366,51932
7688,121,35,3.64,149690,0
9229,119,23,0.86,168158,4446
7137,103,36,3.6,120358,33221
10621,110,11,4.43,105726,0
10631,80,22,8.55,156431,9324
6634,31,6,9.16,171814,0
8848,73,11,5.15,174450,0
10118,114,31,1.2,160914,0
9440,80,30,8.32,160483,0
5688,73,17,8.97,157503,13533
15139,40,27,1.28,134199,0
9896,117,37,3.26,156419,17967
6832,38,36,11.85,122044,1328
8796,51,23,10.67,201368,0
9986,95,18,4.67,183899,0
9416,50,22,4.08,187596,0
9377,5,21,5.01,91131,66891
8671,27,45,13.1,125013,46347
