    Row   	      SumE 	 DeltaT_ms
393	8301.1354	4412.7548
254	8286.3095	1475.9941
1162	8277.8361	350.93169
978	8275.0177	1192.3828
901	8271.0417	1665.0134
1164	8265.4079	2019.1593
413	8261.6658	619.99825
324	8261.5286	1004.6638
336	8260.8167	288.60536
648	8259.1259	1148.5121
768	8258.4451	3913.3819
1137	8252.7433	670.71539
455	8252.5869	45.13748
627	8252.5011	65.4793
568	8249.9482	131.44698
177	8249.8613	2168.1001
755	8247.8128	4920.9788
1289	8247.6839	253.08746
1176	8246.7089	2449.5404
979	8245.6512	4271.3859
835	8245.5895	1842.7736
417	8245.5066	2801.5868
635	8243.9912	3724.237
1098	8242.8106	1865.7415
1119	8241.8115	1605.7079
744	8241.6879	6009.285
1004	8241.4047	4434.0911
989	8240.7826	3336.8505
593	8240.3062	752.09464
1039	8240.2724	254.03767
795	8238.6388	2541.6872
486	8237.6906	1739.0279
223	8236.8584	9282.3632
757	8235.9294	1649.4812
327	8235.2423	14871.573
1091	8235.1099	1809.5564
423	8233.3297	2102.1405
312	8232.4649	1472.2399
844	8231.6425	9192.1473
1163	8230.8904	4338.1514
1351	8229.922	455.26745
685	8229.8976	1737.1753
1343	8229.4079	10719.469
184	8228.9868	1947.7485
266	8228.8109	103.56068
1417	8228.1783	2890.5757
14	8227.6605	494.63132
694	8223.3239	627.58517
387	8223.157	617.46745
657	8220.1922	1108.4407
319	8219.0877	792.86606
501	8218.4685	162.81602
554	8218.0771	1878.7347
684	8215.5642	3800.8096
728	8215.5355	577.5579
277	8210.0517	4842.9279
272	8208.2483	1924.8044
301	8208.0123	638.46437
68	8205.0912	1517.2615
428	8200.9396	560.22625
182	8195.236	2811.0883
1100	8191.0197	4339.2275
917	8185.6093	1163.6158
157	8185.2425	634.20182
1314	8182.9187	6326.2363
811	8168.1266	3073.2912
478	8168.0403	1277.3626
482	8161.4487	2136.1153
1255	8152.7964	3637.6211
1402	8149.0435	1598.8446
1403	8149.0435	42.16
1403	8149.0435	2182
1403	8149.0435	3087
1403	8149.0435	4117
