Isotope, T1/2                , alpha_branching_percent, Talpha_1/2_s        , Talpha_1/2_err_plus_s, Talpha_1/2_err_minus_s, Qalpha_MeV, resolution/keV
270Ds  , 0.20^+0.07_-0.04 ms , 100                    , 0.0002              , 7e-05                , 4e-05                 ,     11.117,             28
271Ds  , 1.63^+0.44_-0.02 ms , 100                    , 0.00163             , 0.00044              , 2e-05                 ,     10.87 ,             18
273Ds  , 5.76^+27.62_-2.64 ms, 100                    , 0.00576             , 0.032                , 0.0031                ,     11.09 ,             20
273Ds^m, 0.16^+0.08_-0.05 ms , 100                    , 0.00016             , 8e-05                , 5e-05                 ,     11.33 ,             20
275Ds  , 0.43^+0.29_-0.12 ms , 100                    , 0.00043             , 0.00029              , 0.00012               ,     11.37 ,             20
276Ds  , 0.15^+0.10_-0.04 ms , 43                     , 0.000348837209302326, 0.000232558139534884 , 9.30232558139535e-05  ,     10.904,             28
277Ds  , 3.5^+2.1_-0.9 ms    , 100                    , 0.0035              , 0.0021               , 0.0009                ,     10.71 ,             40
279Ds  , 186^+21_-17 ms      , 13                     , 1.43076923076923    , 0.161538461538462    , 0.130769230769231     ,      9.827,             15
281Ds  , 13.0^+4.5_-2.7 s    , 10                     , 130                 , 45                   , 27                    ,      9.47 ,            210
263Hs  , 0.74^+0.48_-0.21 ms , 100                    , 0.00074             , 0.00048              , 0.00021               ,     10.73 ,             80
264Hs  , 0.63^+0.34_-0.16 ms , 70                     , 0.0009              , 0.000485714285714286 , 0.000228571428571429  ,     10.591,             20
265Hs  , 1.9^+0.2_-0.1 ms    , 100                    , 0.0019              , 0.0002               , 0.0001                ,     10.47 ,             15
266Hs  , 0.74^+0.48_-0.21 ms , 76                     , 0.000973684210526316, 0.000631578947368421 , 0.000276315789473684  ,     10.346,             16
267Hs  , 53^+12_-8 ms        , >80                    , 0.06625             , 0.015                , 0.01                  ,     10.038,             13
268Hs  , 0.4^+1.8_-0.2 s     , approx 100             , 0.4                 , 1.8                  , 0.2                   ,      9.623,             16
269Hs  , 13^+10_-4 s         , 100                    , 13                  , 10                   , 4                     ,      9.34 ,             40
270Hs  , 7.6^+4.9_-2.2 s     , 100                    , 7.6                 , 4.9                  , 2.2                   ,      9.07 ,             40
272Hs  , 0.16^+0.19_-0.06 s  , 100                    , 0.16                , 0.19                 , 0.06                  ,      9.772,             21
273Hs  , 0.51^+0.30_-0.13 s  , 100                    , 0.51                , 0.3                  , 0.13                  ,      9.65 ,             60
275Hs  , 0.60^+0.23_-0.13 s  , >89                    , 0.674157303370787   , 0.258426966292135    , 0.146067415730337     ,      9.461,             15
257Sg  , 12.6^+3.7_-2.3 ms   , approx 10              , 0.126               , 0.037                , 0.023                 ,      9.45 ,             70
259Sg  , 402(56) ms          , 100                    , 0.402               , 0.056                , 0.056                 ,      9.765,              8
260Sg  , 4.95(33) ms         , 71                     , 0.00697183098591549 , 0.000464788732394366 , 0.000464788732394366  ,      9.901,             10
261Sg  , 183(5) ms           , 98.1                   , 0.186544342507645   , 0.00509683995922528  , 0.00509683995922528   ,      9.714,             15
262Sg  , 8.5^+2.3_-1.5 ms    , 6                      , 0.141666666666667   , 0.0383333333333333   , 0.025                 ,      9.6  ,             15
263Sg  , 0.94(14) s          , 87                     , 1.08045977011494    , 0.160919540229885    , 0.160919540229885     ,      9.4  ,             60
265Sga , 8.5^+2.6_-1.6 s     , 100                    , 8.5                 , 2.6                  , 1.6                   ,      8.975,             50
267Sg  , 9.8^+11.3_-4.5 min  , 17                     , 3458.82352941176    , 3988.23529411765     , 1588.23529411765      ,      8.4  ,             20
269Sg  , 3.1^+3.7_-1.1 min   , 100                    , 186                 , 222                  , 66                    ,      8.58 ,             70
271Sg  , 31^+13_-7 s         , 73                     , 42.4657534246575    , 17.8082191780822     , 9.58904109589041      ,      8.629,             16
