====== Si(300um) + Si(300um)                 =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.=  H(5 MeV) ==> Si_Top    +Si_Bottom (  600 um) =============
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 5000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Si_Top    
Layer Width = 30000.E+02 A ;
  Layer # 1- Density = 4.975E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
Layer 2 : Si_Bottom 
Layer Width = 30000.E+02 A ;
  Layer # 2- Density = 4.975E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =001000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
600000.E-01  1365.20E-03  3020.17E-08
120000.E+00  1377.63E-03  5733.74E-08
180000.E+00  1392.41E-03  7858.73E-08
240000.E+00  1416.08E-03  1387.31E-07
300000.E+00  1435.04E-03  1269.74E-07
360000.E+00  1460.64E-03  1078.44E-07
420000.E+00  1474.89E-03  6625.45E-08
480000.E+00  1496.80E-03  9243.78E-08
540000.E+00  1515.77E-03  8655.73E-08
600000.E+00  1543.84E-03  6870.09E-08
660000.E+00  1567.17E-03  1289.68E-07
720000.E+00  1596.90E-03  5089.46E-08
780000.E+00  1631.19E-03  5680.03E-08
840000.E+00  1662.89E-03  1538.02E-07
900000.E+00  1682.73E-03  2562.46E-07
960000.E+00  1730.14E-03  7487.67E-08
102000.E+01  1765.41E-03  6457.07E-08
108000.E+01  1798.76E-03  2982.58E-07
114000.E+01  1843.28E-03  2253.22E-07
120000.E+01  1898.10E-03  1404.53E-07
126000.E+01  1954.33E-03  1718.25E-07
132000.E+01  1997.53E-03  2858.58E-07
138000.E+01  2062.62E-03  7192.48E-08
144000.E+01  2123.76E-03  1183.00E-07
150000.E+01  2196.05E-03  9073.31E-07
156000.E+01  2282.90E-03  2714.99E-07
162000.E+01  2384.60E-03  1083.52E-07
168000.E+01  2498.03E-03  4647.49E-07
174000.E+01  2644.35E-03  5402.90E-07
180000.E+01  2764.90E-03  2021.46E-07
186000.E+01  2978.90E-03  1523.38E-07
192000.E+01  3219.31E-03  1146.99E-06
198000.E+01  3550.67E-03  6991.03E-07
204000.E+01  4026.54E-03  3898.48E-07
210000.E+01  4811.11E-03  1051.48E-06
216000.E+01  5969.15E-03  1195.97E-06
222000.E+01  3718.61E-03  1296.20E-06
228000.E+01  4366.82E-04  2545.66E-07
234000.E+01  5236.33E-06  3480.79E-09
240000.E+01  0000.00E+00  0000.00E+00
246000.E+01  0000.00E+00  0000.00E+00
252000.E+01  0000.00E+00  0000.00E+00
258000.E+01  0000.00E+00  0000.00E+00
264000.E+01  0000.00E+00  0000.00E+00
270000.E+01  0000.00E+00  0000.00E+00
276000.E+01  0000.00E+00  0000.00E+00
282000.E+01  0000.00E+00  0000.00E+00
288000.E+01  0000.00E+00  0000.00E+00
294000.E+01  0000.00E+00  0000.00E+00
300000.E+01  0000.00E+00  0000.00E+00
306000.E+01  0000.00E+00  0000.00E+00
312000.E+01  0000.00E+00  0000.00E+00
318000.E+01  0000.00E+00  0000.00E+00
324000.E+01  0000.00E+00  0000.00E+00
330000.E+01  0000.00E+00  0000.00E+00
336000.E+01  0000.00E+00  0000.00E+00
342000.E+01  0000.00E+00  0000.00E+00
348000.E+01  0000.00E+00  0000.00E+00
354000.E+01  0000.00E+00  0000.00E+00
360000.E+01  0000.00E+00  0000.00E+00
366000.E+01  0000.00E+00  0000.00E+00
372000.E+01  0000.00E+00  0000.00E+00
378000.E+01  0000.00E+00  0000.00E+00
384000.E+01  0000.00E+00  0000.00E+00
390000.E+01  0000.00E+00  0000.00E+00
396000.E+01  0000.00E+00  0000.00E+00
402000.E+01  0000.00E+00  0000.00E+00
408000.E+01  0000.00E+00  0000.00E+00
414000.E+01  0000.00E+00  0000.00E+00
420000.E+01  0000.00E+00  0000.00E+00
426000.E+01  0000.00E+00  0000.00E+00
432000.E+01  0000.00E+00  0000.00E+00
438000.E+01  0000.00E+00  0000.00E+00
444000.E+01  0000.00E+00  0000.00E+00
450000.E+01  0000.00E+00  0000.00E+00
456000.E+01  0000.00E+00  0000.00E+00
462000.E+01  0000.00E+00  0000.00E+00
468000.E+01  0000.00E+00  0000.00E+00
474000.E+01  0000.00E+00  0000.00E+00
480000.E+01  0000.00E+00  0000.00E+00
486000.E+01  0000.00E+00  0000.00E+00
492000.E+01  0000.00E+00  0000.00E+00
498000.E+01  0000.00E+00  0000.00E+00
504000.E+01  0000.00E+00  0000.00E+00
510000.E+01  0000.00E+00  0000.00E+00
516000.E+01  0000.00E+00  0000.00E+00
522000.E+01  0000.00E+00  0000.00E+00
528000.E+01  0000.00E+00  0000.00E+00
534000.E+01  0000.00E+00  0000.00E+00
540000.E+01  0000.00E+00  0000.00E+00
546000.E+01  0000.00E+00  0000.00E+00
552000.E+01  0000.00E+00  0000.00E+00
558000.E+01  0000.00E+00  0000.00E+00
564000.E+01  0000.00E+00  0000.00E+00
570000.E+01  0000.00E+00  0000.00E+00
576000.E+01  0000.00E+00  0000.00E+00
582000.E+01  0000.00E+00  0000.00E+00
588000.E+01  0000.00E+00  0000.00E+00
594000.E+01  0000.00E+00  0000.00E+00
600000.E+01  0000.00E+00  0000.00E+00
