============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(1 keV) ==> Si_Top    +Si_Bottom (  600 um) =============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B   29  1 .1000000E+01 -  5506756E-03 -.4166E+04 -.1836E+04  -.7736087 -.5797643 -.2557400
B   45  1 .1000000E+01 -  4108855E-02 -.7623E+05 -.1264E+05  -.4687553 -.8714629 -.1442943
B   57  1 .1000000E+01 -  3551285E-02 -.4086E+05  .6106E+05  -.4363041 -.5012903  .7472260
B   75  1 .1000000E+01 -  4677424E-02  .3615E+05  .1980E+05  -.7517186  .5774159  .3186063
B   97  1 .1000000E+01 -  4743023E-02 -.5627E+05 -.1284E+05  -.6357446 -.7534715 -.1676589
B  121  1 .1000000E+01 -  5117091E-02 -.2619E+05 -.2223E+04  -.8890624 -.4563603 -.0361012
B  124  1 .1000000E+01 -  4294195E-02 -.5032E+04 -.1160E+05  -.9593574 -.1123404 -.2588687
B  126  1 .1000000E+01 -  5213807E-02 -.2070E+05  .4432E+05  -.7314749 -.2891100  .6175435
B  130  1 .1000000E+01 -  4789189E-02 -.9594E+05 -.2686E+05  -.4337662 -.8672492 -.2443884
B  153  1 .1000000E+01 -  3818930E-03  .1469E+04 -.1258E+04  -.8854283  .3224347 -.3347425
B  160  1 .1000000E+01 -  3395558E-02  .7971E+05 -.7877E+04  -.3908512  .9160178 -.0902594
B  182  1 .1000000E+01 -  4908817E-02 -.4245E+05  .2734E+05  -.6983910 -.6019594  .3871626
B  183  1 .1000000E+01 -  4544357E-02 -.1584E+05 -.2084E+05  -.8667451 -.3018411 -.3970450
B  192  1 .1000000E+01 -  3042564E-02 -.9985E+04  .1098E+04  -.9523060 -.3042314  .0235895
B  200  1 .1000000E+01 -  5641668E-02  .9855E+04 -.6447E+05  -.6546841  .1141051 -.7472408
B  206  1 .1000000E+01 -  5164946E-04 -.1863E+03  .1186E+03  -.7844942 -.5792580  .2214250
B  207  1 .1000000E+01 -  2633442E-02 -.1728E+04  .2439E+05  -.7332490 -.0507888  .6780608
B  216  1 .1000000E+01 -  5070042E-02 -.7214E+05  .2070E+05  -.5601806 -.7963164  .2282058
B  223  1 .1000000E+01 -  4883331E-02 -.1465E+05  .7362E+05  -.5459127 -.1624502  .8219424
B  236  1 .1000000E+01 -  2081056E-02  .1855E+04  .2631E+04  -.9879304  .0887289  .1269677
B  274  1 .1000000E+01 -  2030936E-02  .4257E+04  .9886E+04  -.8831881  .1907485  .4284785
