idx	impl	1H_DSSD_E	1H_Veto_E	2H_DSSD_E	2H_Veto_E	3H_DSSD_E	3H_Veto_E	3He_DSSD_E	3He_Veto_E	4He_DSSD_E	4He_Veto_E
1	100000	100000	0	100000	0	100000	0	100000	0	100000	0
2	200000	200000	0	200000	0	200000	0	200000	0	200000	0
3	300000	300000	0	300000	0	300000	0	300000	0	300000	0
4	400000	400000	0	400000	0	400000	0	400000	0	400000	0
5	500000	500000	0	500000	0	500000	0	500000	0	500000	0
6	600000	600000	0	600000	0	600000	0	600000	0	600000	0
7	700000	700000	0	700000	0	700000	0	700000	0	700000	0
8	800000	800000	0	800000	0	800000	0	800000	0	800000	0
9	900000	900000	0	900000	0	900000	0	900000	0	900000	0
10	1000000	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0
11	1100000	1100000	0	1100000	0	1100000	0	1100000	0	1100000	0
12	1200000	1200000	0	1200000	0	1200000	0	1200000	0	1200000	0
13	1300000	1300000	0	1300000	0	1300000	0	1300000	0	1300000	0
14	1400000	1400000	0	1400000	0	1400000	0	1400000	0	1400000	0
15	1500000	1500000	0	1500000	0	1500000	0	1500000	0	1500000	0
16	1600000	1600000	0	1600000	0	1600000	0	1600000	0	1600000	0
17	1700000	1700000	0	1700000	0	1700000	0	1700000	0	1700000	0
18	1800000	1800000	0	1800000	0	1800000	0	1800000	0	1800000	0
19	1900000	1900000	0	1900000	0	1900000	0	1900000	0	1900000	0
20	2000000	2000000	0	2000000	0	2000000	0	2000000	0	2000000	0
21	2100000	2100000	0	2100000	0	2100000	0	2100000	0	2100000	0
22	2200000	2200000	0	2200000	0	2200000	0	2200000	0	2200000	0
23	2300000	2300000	0	2300000	0	2300000	0	2300000	0	2300000	0
24	2400000	2400000	0	2400000	0	2400000	0	2400000	0	2400000	0
25	2500000	2500000	0	2500000	0	2500000	0	2500000	0	2500000	0
26	2600000	2600000	0	2600000	0	2600000	0	2600000	0	2600000	0
27	2700000	2700000	0	2700000	0	2700000	0	2700000	0	2700000	0
28	2800000	2800000	0	2800000	0	2800000	0	2800000	0	2800000	0
29	2900000	2900000	0	2900000	0	2900000	0	2900000	0	2900000	0
30	3000000	3000000	0	3000000	0	3000000	0	3000000	0	3000000	0
31	3100000	3100000	0	3100000	0	3100000	0	3100000	0	3100000	0
32	3200000	3200000	0	3200000	0	3200000	0	3200000	0	3200000	0
33	3300000	3300000	0	3300000	0	3300000	0	3300000	0	3300000	0
34	3400000	3400000	0	3400000	0	3400000	0	3400000	0	3400000	0
35	3500000	3500000	0	3500000	0	3500000	0	3500000	0	3500000	0
36	3600000	3600000	0	3600000	0	3600000	0	3600000	0	3600000	0
37	3700000	3700000	0	3700000	0	3700000	0	3700000	0	3700000	0
38	3800000	3800000	0	3800000	0	3800000	0	3800000	0	3800000	0
39	3900000	3900000	0	3900000	0	3900000	0	3900000	0	3900000	0
40	4000000	4000000	0	4000000	0	4000000	0	4000000	0	4000000	0
41	4100000	4100000	0	4100000	0	4100000	0	4100000	0	4100000	0
42	4200000	4200000	0	4200000	0	4200000	0	4200000	0	4200000	0
43	4300000	4300000	0	4300000	0	4300000	0	4300000	0	4300000	0
44	4400000	4400000	0	4400000	0	4400000	0	4400000	0	4400000	0
45	4500000	4500000	0	4500000	0	4500000	0	4500000	0	4500000	0
46	4600000	4600000	0	4600000	0	4600000	0	4600000	0	4600000	0
47	4700000	4700000	0	4700000	0	4700000	0	4700000	0	4700000	0
48	4800000	4800000	0	4800000	0	4800000	0	4800000	0	4800000	0
49	4900000	4900000	0	4900000	0	4900000	0	4900000	0	4900000	0
50	5000000	5000000	0	5000000	0	5000000	0	5000000	0	5000000	0
51	5100000	5100000	0	5100000	0	5100000	0	5100000	0	5100000	0
52	5200000	5200000	0	5200000	0	5200000	0	5200000	0	5200000	0
53	5300000	5300000	0	5300000	0	5300000	0	5300000	0	5300000	0
54	5400000	5400000	0	5400000	0	5400000	0	5400000	0	5400000	0
55	5500000	5500000	0	5500000	0	5500000	0	5500000	0	5500000	0
56	5600000	5600000	0	5600000	0	5600000	0	5600000	0	5600000	0
57	5700000	5700000	0	5700000	0	5700000	0	5700000	0	5700000	0
58	5800000	5800000	0	5800000	0	5800000	0	5800000	0	5800000	0
59	5900000	5900000	0	5900000	0	5900000	0	5900000	0	5900000	0
60	6000000	5845757	154243	6000000	0	6000000	0	6000000	0	6000000	0
61	6100000	5705109.6	394890.4	6100000	0	6100000	0	6100000	0	6100000	0
62	6200000	5491369.8	708630.2	6200000	0	6200000	0	6200000	0	6200000	0
63	6300000	4901159	1398841	6300000	0	6300000	0	6300000	0	6300000	0
64	6400000	4896427	1503573	6400000	0	6400000	0	6400000	0	6400000	0
65	6500000	4543522	1956478	6500000	0	6500000	0	6500000	0	6500000	0
66	6600000	4515590	2084410	6600000	0	6600000	0	6600000	0	6600000	0
67	6700000	4505105	2194895	6700000	0	6700000	0	6700000	0	6700000	0
68	6800000	4469950	2330050	6800000	0	6800000	0	6800000	0	6800000	0
69	6900000	4065471	2834529	6900000	0	6900000	0	6900000	0	6900000	0
70	7000000	4023518	2976482	7000000	0	7000000	0	7000000	0	7000000	0
71	7100000	3889972	3210028	7100000	0	7100000	0	7100000	0	7100000	0
72	7200000	3998762	3201238	7200000	0	7200000	0	7200000	0	7200000	0
73	7300000	3887436	3412564	7300000	0	7300000	0	7300000	0	7300000	0
74	7400000	3769014	3630986	7400000	0	7400000	0	7400000	0	7400000	0
75	7500000	3697538	3802462	7500000	0	7500000	0	7500000	0	7500000	0
76	7600000	3581992	4018008	7600000	0	7600000	0	7600000	0	7600000	0
77	7700000	3644252	4055748	7700000	0	7700000	0	7700000	0	7700000	0
78	7800000	3647473	4152527	7800000	0	7800000	0	7800000	0	7800000	0
79	7900000	3579220	4320780	7900000	0	7900000	0	7900000	0	7900000	0
80	8000000	3469719	4530281	7534847.8	465152.2	8000000	0	8000000	0	8000000	0
81	8100000	3500176	4599824	7247659.6	852340.4	8100000	0	8100000	0	8100000	0
82	8200000	3453909	4746091	7621600	578400	8200000	0	8200000	0	8200000	0
83	8300000	3495437	4804563	7213089	1086911	8300000	0	8300000	0	8300000	0
84	8400000	3429147	4970853	6768224	1631776	8400000	0	8400000	0	8400000	0
85	8500000	3236441	5263559	6593628	1906372	8500000	0	8500000	0	8500000	0
86	8600000	3004695	5595305	6505702	2094298	8600000	0	8600000	0	8600000	0
87	8700000	3009715	5690285	6209695	2490305	8700000	0	8700000	0	8700000	0
88	8800000	3248567	5551433	6201231	2598769	8800000	0	8800000	0	8800000	0
89	8900000	2959811	5940189	5961679	2938321	8900000	0	8900000	0	8900000	0
90	9000000	3117905	5882095	5807210	3192790	9000000	0	9000000	0	9000000	0
91	9100000	2955633	5677899.3	5875209	3224791	9100000	0	9100000	0	9100000	0
92	9200000	2778407	4878247	5598207	3601793	9200000	0	9200000	0	9200000	0
93	9300000	2858709	5262717	5685699	3614301	9300000	0	9300000	0	9300000	0
94	9400000	2900976	4984442	5567843	3832157	8898247.7	501752.3	9400000	0	9400000	0
95	9500000	2780508	4305037	5275182	4224818	9500000	0	9500000	0	9500000	0
96	9600000	2771141	4400470	5174511	4425489	8744885.9	855114.1	9600000	0	9600000	0
97	9700000	2865133	4222260	5138200	4561800	8375670	1324330	9700000	0	9700000	0
98	9800000	2863582	4233511	5196472	4603528	8318705	1481295	9800000	0	9800000	0
99	9900000	2709706	4021366	5136080	4763920	7977167	1922833	9900000	0	9900000	0
100	10000000	2690208	3897401	4941179	5058821	7690220	2309780	10000000	0	10000000	0
101	10100000	2626276	3857293	5079247	5020753	7548709	2551291	10100000	0	10100000	0
102	10200000	2796275	3786076	4802166	5397834	7375139	2824861	10200000	0	10200000	0
103	10300000	2735712	3633692	4812995	5487005	7347085	2952915	10300000	0	10300000	0
104	10400000	2615717	3526661	4757997	5642003	7310666	3089334	10400000	0	10400000	0
105	10500000	2715869	3547520	4640174	5859826	7101580	3398420	10500000	0	10500000	0
106	10600000	2586432	3333871	4772027	5827973	6928235	3671765	10600000	0	10600000	0
107	10700000	2502596	3437030	5001250	5698750	6934198	3765802	10700000	0	10700000	0
108	10800000	2411199	3286936	4729511	6070489	6565251	4234749	10800000	0	10800000	0
109	10900000	2471454	3153470	4506181	6393819	6812432	4087568	10900000	0	10900000	0
110	11000000	2407186	3246444	4322203	6677797	6516474	4483526	11000000	0	11000000	0
111	11100000	2408870	3051823	4530685	6569315	6478050	4621950	11100000	0	11100000	0
112	11200000	2324542	3138136	4519872	6680128	6490292	4709708	11200000	0	11200000	0
