Z  , N  , A  , symbol, nuclide, state, Qalpha_keV, unc_Qalpha_keV, Qalpha_MeV       , T12_total_s, unc_T12_total_s, alpha_branch        , alpha_branch_unc      , alpha_branch_percent, alpha_branch_flag, T12_alpha_s                 , log10_T12_alpha_s    , T12_alpha_limit, decay_summary                , half_life_operator, source                      , ENSDFpublicationcut-off, ENSDFauthors                                                , Extraction_date, note
100, 148, 248, Fm    , 248Fm  , g.s. ,  7994.7808,         8.2669, 7.9947808        , 34.5       , 1.2            , 0.95                , 0.05                  ,  95.0               , exact            ,      36.31578947368421      , 1.5600954897844264   ,                , A:95.0%; EC:5.0%; SF:0.1%    ,                   , IAEA LiveChart ground_states, 1-Sep-2014             , M. J. MARTIN                                                , 2023-10-18     , 
100, 149, 249, Fm    , 249Fm  , g.s. ,  7709.0754,         5.929 , 7.7090754        , 156.0      , 42.0           , 0.33                , 0.09                  ,  33.0               , exact            ,     472.7272727272727       , 2.674610658476574    ,                , EC+B+:67.0%; A:33.0%         ,                   , IAEA LiveChart ground_states, 31-Dec-2010            , KHALIFEH ABUSALEEM                                          , 2023-10-18     , 
100, 150, 250, Fm    , 250Fm  , g.s. ,  7557.0492,         7.8003, 7.557049200000001, 1800.0     , 180.0          , 0.9                 ,                       ,  90.0               , exact            ,    2000.0                   , 3.3010299956639813   ,                , A:90.0%; EC:10.0%; SF:0.0069%,                   , IAEA LiveChart ground_states, 1-Aug-2001             , Y. Akovali                                                  , 2023-10-18     , 
100, 151, 251, Fm    , 251Fm  , g.s. ,  7424.4999,         1.0   , 7.4244999        , 19080.0    , 288.0          , 0.018000000000000002, 0.0013                ,   1.8000000000000003, exact            , 1059999.9999999998          , 6.02530586526477     ,                , EC+B+:98.2%; A:1.8%          ,                   , IAEA LiveChart ground_states, 1-Jan-2012             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
100, 152, 252, Fm    , 252Fm  , g.s. ,  7153.7437,         1.0162, 7.1537437        , 91404.0    , 144.0          , 0.9999769999999999  , 2e-06                 ,  99.9977            , exact            ,   91406.10234035384         , 4.960975190528966    ,                , A:99.9977%; SF:0.0023%       ,                   , IAEA LiveChart ground_states, 1-Jan-2021             , A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN, 2023-10-18     , 
100, 153, 253, Fm    , 253Fm  , g.s. ,  7197.8999,         1.0   , 7.1978999        , 259200.0   , 10368.0        , 0.12                , 0.01                  ,  12.0               , exact            , 2160000.0                   , 6.334453751150931    ,                , EC:88.0%; A:12.0%            ,                   , IAEA LiveChart ground_states, 1-Mar-2012             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
100, 154, 254, Fm    , 254Fm  , g.s. ,  7307.2696,         1.016 , 7.3072696        , 11664.0    , 7.2            , 0.999408            , 2.9999999999999997e-06,  99.9408            , exact            ,   11670.909178233514        , 4.0671046894395255   ,                , A:99.9408%; SF:0.0592%       ,                   , IAEA LiveChart ground_states, 31-Jan-2019            , BALRAJ SINGH                                                , 2023-10-18     , 
100, 155, 255, Fm    , 255Fm  , g.s. ,  7240.5682,         0.508 , 7.240568199999999, 72252.0    , 252.0          , 1.0                 ,                       , 100.0               , exact            ,   72252.0                   , 4.858849873254773    ,                , A:100.0%; SF:2.4e-05%        ,                   , IAEA LiveChart ground_states, 1-Nov-2011             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
100, 156, 256, Fm    , 256Fm  , g.s. ,  7025.2702,         1.8865, 7.0252702        , 9426.0     , 78.0           , 0.081               , 0.003                 ,   8.1               , exact            ,  116370.37037037036         , 5.065842416544967    ,                , SF:91.9%; A:8.1%             ,                   , IAEA LiveChart ground_states, 22-Mar-2017            , BALRAJ SINGH                                                , 2023-10-18     , 
101, 148, 249, Md    , 249Md  , g.s. ,  8441.0   ,        18.0   , 8.441            , 21.7       , 2.0            , 0.6                 ,                       ,  60.0               , exact            ,      36.166666666666664     , 1.558308483464886    ,                , A:60.0%; EC+B+:40.0%         ,                   , IAEA LiveChart ground_states, 31-Dec-2010            , KHALIFEH ABUSALEEM                                          , 2023-10-18     , 
