A	Z	nucl	N	Q	Q+	T0.5	T+	T-
282	111	Rg111	171	9140	60	510	470	200
281	111	Rg111	170	9450	60	11000	3000	1000
280	111	Rg111	169	10149	10	3900	300	300
279	111	Rg111	168	10530	170	90	60	25
278	111	Rg111	167	10850	100	4.6	5.5	1.6
274	111	Rg111	163	11480	90	12	17	5
272	111	Rg111	161	11197	13	3.8	1.4	0.8
								
281	110	Ds110	171	8853	30	13000	4500	2700
279	110	Ds110	169	9840	60	186	21	17
277	110	Ds110	167	10710	40	3.5	2.1	0.9
276	110	Ds110	166	10900	28	0.15	0.1	0.04
275	110	Ds110	165	11370	20	0.43	0.29	0.12
273	110	Ds110	163	11020	20	0.17	0.17	0.06
271	110	Ds110	161	10870	18	1.63	0.44	0.32
270	110	Ds110	160	11117	28	0.2	0.07	0.04
269	110	Ds110	159	11510	30	0.17	0.16	0.06
267	110	Ds110	157	11780	5	0.003	0.013	0.001
								
278	109	Mt109	169	9580	30	4500	3500	1300
276	109	Mt109	167	10100	10	620	60	40
275	109	Mt109	166	10480	50	20	13	6
274	109	Mt109	165	10600	20	640	760	230
270	109	Mt109	161	10180	50	480	660	180
268	109	Mt109	159	10770	150	21	8	5
266	109	Mt109	157	10996	25	1.7	0.6	0.4
								
								
								
								
275	108	Hs108	167	9450	50	150	270	60
273	108	Hs108	165	9650	60	510	30	130
272	108	Hs108	164	9772	21	160	190	60
271	108	Hs108	163	9480	20	7100	8400	2500
270	108	Hs108	162	9070	40	7600	4900	2200
269	108	Hs108	161	9085	50	9660	4410	2740
268	108	Hs108	160	9623	16	380	180	130
267	108	Hs108	159	10038	13	53	12	8
266	108	Hs108	158	10346	16	2.97	0.78	0.51
265	108	Hs108	157	10470	15	1.9	0.2	0.1
264	108	Hs108	156	10590	20	0.63	0.34	0.16
263	108	Hs108	155	10730	80	0.74	0.48	0.21
								
274	107	Bh107	167	8940	60	44000	34000	13000
272	107	Bh107	165	9300	50	8800	700	700
271	107	Bh107	164	9420	90	2900	2200	900
270	107	Bh107	163	9060	100	2.4min	4.4min	0.9min
267	107	Bh107	160	9230	50	14000	6000	3000
266	107	Bh107	159	9220	40	10000	2600	1700
265	107	Bh107	158	9680	60	940	420	210
264	107	Bh107	157	9960	60	440	600	160
262	107	Bh107	155	10320	40	102	26	15
261	107	Bh107	154	10500	40	11.8	5.3	2.8
260	107	Bh107	153	10400	60	35	19	9
								
271	106	Sg106	165	8629	16	31+13_-7s	13000	7000
269	106	Sg106	163	8580	70	3.1+3.7_-1.1min	100000	40000
267	106	Sg106	161	8400	20	9.8+11.3_-4.5min	55000	24000
265	106	Sg106	159	8820	50			
263	106	Sg106	157	9400	60	940	140	140
262	106	Sg106	156	9600	15	8.5+2.3_-1.5ms	3.8	1.8
261	106	Sg106	155	9714	15	183	5	5
260	106	Sg106	154	9901	10	4.95	0.33	0.33
259	106	Sg106	153	9765	80	402	56	56
257	106	Sg106	151	9450	70	12.6	3.7	2.3
