ChainNum	DsE	HsE	SgE	RfE
1	11.2	9.18		SF
2	11.165	9.103	8.66	SF
3	11.15	9.25	8.7	SF
4	11.14	9.17	8.71	SF
5	11.08	9.23		8.52
6	11.03	9.15	8.66	SF
7	11.017		8.397	SF
8	10.929		8.509	SF
9	10.857	8.915	8.671	SF
10		9.12	8.65	
11		9.18	8.69	8.5
12		9.16	8.66	SF
13		9.1	8.68	SF
14		8.97	8.64	SF
15		8.88	8.9	8.5
16		8.72		SF
17		9.18	8.62	8.51
18		9.13	8.68	SF
19		9.11	8.68	SF
20		9.11	8.63	
21		9.08	8.71	SF
22		9.06	8.68	SF
23		9.03	8.6	SF
24		8.93	8.69	8.29
25		8.92	8.72	SF
26		8.91	8.65	SF
