Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l
273Ds_GSI_cal,273,110,10.929,0.0289,1.0,0
265Hs_GSI_cal,265,108,10.538,0.0003,1.0,0
259Rf_GSI_cal,259,104,8.89,02.25,1.0,0
273Ds_JINR,273,110,10.929,0.0289,1.0,0
273Ds_a,273,110,10.858,0.00576,1.0,0
273Ds_a_upper,273,110,10.858,0.03339,1.0,0
273Ds_a_lower,273,110,10.858,0.00313,1.0,0
273Ds_b,273,110,10.894,0.017,1.0,0
273Ds_b_upper,273,110,10.894,0.049,1.0,0
273Ds_b_lower,273,110,10.894,0.010,1.0,0
273Ds_c,273,110,11.165,0.00016,1.0,0
273Ds_c_upper,273,110,11.165,0.00024,1.0,0
273Ds_c_lower,273,110,11.165,0.00011,1.0,0
269Hs_a,269,108,9.13,9.6,1.0,0
269Hs_a_upper,269,108,9.13,14.05,1.0,0
269Hs_a_lower,269,108,9.13,6.92,1.0,0
269Hs_b,269,108,8.95,6.49,1.0,0
269Hs_b_upper,269,108,8.95,37.58,1.0,0
269Hs_b_lower,269,108,8.95,3.52,1.0,0
