name,method,Ealpha,Texp,Tcal,HF
271Ds,Poenaru,10.44,0.032,2.0082713221578807e-05,1593.4101954718005
267Hs,Poenaru,9.73,0.803,0.0004949251039798835,1622.4677098469394
263Sg,Poenaru,9.31,4.1,0.002803364665266273,1462.5282435778179
277Cn,Poenaru,11.31,0.00061,5.291711694882657e-07,1152.7460964849988
277Cn_up,Poenaru,11.31,0.00107,5.291711694882657e-07,2022.0300380966373
277Cn_low,Poenaru,11.31,0.00043,5.291711694882657e-07,812.5915106369664
271Ds,DZR,10.44,0.032,0.006040065999235622,5.2979553541384545
267Hs,DZR,9.73,0.803,0.11108557014632078,7.22866164293253
263Sg,DZR,9.31,4.1,0.37628476707557323,10.896003130460377
277Cn,DZR,11.31,0.00061,0.00016837271078361116,3.6229148842531753
277Cn_up,DZR,11.31,0.00107,0.00016837271078361116,6.354949059263767
277Cn_low,DZR,11.31,0.00043,0.00016837271078361116,2.5538580331620744
271Ds,Ismail2022_FormulaE,10.44,0.032,0.0055151462763787795,5.802203313637414
267Hs,Ismail2022_FormulaE,9.73,0.803,0.10387044568201519,7.73078419686647
263Sg,Ismail2022_FormulaE,9.31,4.1,0.3622543130151893,11.318015694206757
277Cn,Ismail2022_FormulaE,11.31,0.00061,0.00015833710875927018,3.852539715926108
277Cn_up,Ismail2022_FormulaE,11.31,0.00107,0.00015833710875927018,6.757733600067107
277Cn_low,Ismail2022_FormulaE,11.31,0.00043,0.00015833710875927018,2.7157247177839774
271Ds,E. Rurarz,10.44,0.032,0.002247668906085674,14.236972319792487
267Hs,E. Rurarz,9.73,0.803,0.03771530639431061,21.291090455548662
263Sg,E. Rurarz,9.31,4.1,0.1222415166490171,33.54015977871104
277Cn,E. Rurarz,11.31,0.00061,7.647233598839026e-05,7.976740766655904
277Cn_up,E. Rurarz,11.31,0.00107,7.647233598839026e-05,13.991987902166914
277Cn_low,E. Rurarz,11.31,0.00043,7.647233598839026e-05,5.6229484092820305
271Ds,Qi2009_UDL,10.44,0.032,0.001328774910398709,24.082333094623348
267Hs,Qi2009_UDL,9.73,0.803,0.02570062544744247,31.244375808757155
263Sg,Qi2009_UDL,9.31,4.1,0.09351749951083024,43.84206187554426
277Cn,Qi2009_UDL,11.31,0.00061,3.5568756174518634e-05,17.149882807456798
277Cn_up,Qi2009_UDL,11.31,0.00107,3.5568756174518634e-05,30.08258131799799
277Cn_low,Qi2009_UDL,11.31,0.00043,3.5568756174518634e-05,12.089261651158072
271Ds,Viola-Seaborg,10.44,0.032,0.0022550962804937704,14.190081495320172
267Hs,Viola-Seaborg,9.73,0.803,0.04449676793153494,18.046254533262683
263Sg,Viola-Seaborg,9.31,4.1,0.16114673696904255,25.44264983030739
277Cn,Viola-Seaborg,11.31,0.00061,6.247028792297789e-05,9.764642044744429
277Cn_up,Viola-Seaborg,11.31,0.00107,6.247028792297789e-05,17.12814260307629
277Cn_low,Viola-Seaborg,11.31,0.00043,6.247028792297789e-05,6.883272261049351
271Ds,Xu2022_Unified,10.44,0.032,0.0017076142385949488,18.739595440671714
267Hs,Xu2022_Unified,9.73,0.803,0.030039098780342537,26.731827271911364
263Sg,Xu2022_Unified,9.31,4.1,0.10531604258002641,38.93044117076974
277Cn,Xu2022_Unified,11.31,0.00061,5.325356002655658e-05,11.45463326199796
277Cn_up,Xu2022_Unified,11.31,0.00107,5.325356002655658e-05,20.092553426783308
277Cn_low,Xu2022_Unified,11.31,0.00043,5.325356002655658e-05,8.074577545342825
