record_id,source_csv_line,isotope,state_label,symbol,A,Z,N,is_parenthesized,mass_number_uncertain,Qalpha_MeV,Ealpha_MeV,Qalpha_err_MeV,Qalpha_estimated,Qalpha_is_experimental,qalpha_estimated_used,Qalpha_qualifier,T_alpha_half_s,T_alpha_half_err_plus_s,T_alpha_half_err_minus_s,T_alpha_half_qualifier,T_half_s,b_alpha_percent,b_SF_percent,T_SF_half_s,decay_modes_raw,alpha_daughter,alpha_daughter_population_raw,partial_half_life_reconstructed_s,partial_half_life_consistent,nonexperimental_fields,eligible_for_hf,calculation_status,cell_record_index,cell_record_count,duplicate_nz_cell,l_assumed
source-row-0012,12,250Es,,Es,250,99,151,False,False,6.83,,0.12,True,False,True,,,,,,516,,,,"alpha, EC",,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0018,18,256Es,,Es,256,99,157,False,False,6.23,,0.22,True,False,True,,,,,,1524,,,,beta^-,,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0019,19,257Es,,Es,257,99,158,False,False,6.05,,0.2,True,False,True,,,,,,665280,,,,"beta^-, SF",,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0021,21,242Fm,,Fm,242,100,142,True,False,8.7,,0.5,True,False,True,,,,,,0.0008,,100,0.0008,SF,,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0037,37,258Fm,,Fm,258,100,158,False,False,6.66,,0.2,True,False,True,,,,,,0.00037,,100,0.00037,SF,,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0038,38,259Fm,,Fm,259,100,159,False,False,6.47,,0.2,True,False,True,,,,,,1.5,,100,1.5,SF,,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
source-row-0040,40,245Md,,Md,245,101,144,False,False,9.01,,0.012,False,True,False,,,,,,0.33,,,,"alpha, SF",,,,,,False,missing_T_alpha_half_s,1,1,False,0
source-row-0046,46,252Md,,Md,252,101,151,False,False,7.74,,0.11,True,False,True,,,,,,138,,,,EC,,,,,Qalpha;Jpi,False,missing_T_alpha_half_s,1,1,False,0
source-row-0048,48,254Md,,Md,254,101,153,False,False,7.8,,0.14,True,False,True,,,,,,600,,,,EC,,,,,Qalpha;Jpi,False,missing_T_alpha_half_s,1,1,False,0
source-row-0064,64,258No,,No,258,102,156,False,False,8.15,,0.1,True,False,True,,,,,,0.00123,,100,0.00123,SF,,,,,Qalpha,False,missing_T_alpha_half_s,1,1,False,0
