record_id,source_csv_line,isotope,state_label,symbol,A,Z,N,method,method_slug,Qalpha_MeV,Ealpha_MeV,Qalpha_err_MeV,qalpha_estimated,Qalpha_qualifier,Talpha_partial_exp_s,Talpha_err_plus_s,Talpha_err_minus_s,Talpha_qualifier,decay_modes_raw,b_alpha_percent,b_SF_percent,alpha_daughter,alpha_daughter_population_raw,log10_Tcalc_s,Tcalc_s,log10_HF,HF,l_used,l_assumed,calculation_status,model_status,diagnostics_json,cell_record_index,cell_record_count,HF_definition,Qalpha_source_column,Talpha_source_column
source-row-0002,2,240Es,,Es,240,99,141,Poenaru,poenaru,8.26,,0.06,False,,8.57142857143,2.42857142857,2.42857142857,,"alpha, EC, SF",70,,,,-0.563149967284,0.273432436707,1.49620317765,31.3475192434,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2812970633936152}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0003,3,241Es,,Es,241,99,142,Poenaru,poenaru,8.259,,0.017,False,,4.3,2.4,1.2,,"alpha, EC",100,,,,-0.566926713529,0.271064901081,1.20039516911,15.8633595971,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2815786364945462}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0004,4,242Es,,Es,242,99,143,Poenaru,poenaru,8.16,,0.02,False,,31.2280701754,2.80701754386,2.80701754386,,"alpha, EC",57,,,,-0.260316005668,0.549141156904,1.7548611523,56.867109272,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.27851434400967495}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0005,5,243Es,,Es,243,99,144,Poenaru,poenaru,8.072,,0.01,False,,36.0655737705,1.6393442623,1.6393442623,,"alpha, EC, SF",61,1,,,0.0173583596853,1.0407786139,1.53973448613,34.6524931325,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2758175129429678}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0006,6,244Es,,Es,244,99,145,Poenaru,poenaru,7.94,,0.1,True,,925,100,100,,"alpha, EC",4,,,,0.447093700253,2.79958527286,2.51904803249,330.406081561,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2716080157231026}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0007,7,245Es,,Es,245,99,146,Poenaru,poenaru,7.909,,0.003,False,,124.444444444,6.66666666667,6.66666666667,,"alpha, EC",54,,,,0.54616922766,3.51697456645,1.54880628557,35.3839477918,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2708464733855199}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0008,8,246Es,,Es,246,99,147,Poenaru,poenaru,7.64,,0.1,True,,4545.45454545,303.03030303,303.03030303,,"alpha, EC",9.9,,,,1.47269489632,29.6957908873,2.18488242286,153.067300437,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2619224027400532}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0009,9,247Es,,Es,247,99,148,Poenaru,poenaru,7.464,,0.02,False,,3900,222.857142857,222.857142857,,"alpha, EC",7,,,,2.10761081272,128.118195374,1.48345379431,30.4406410707,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2561691099755204}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0010,10,248Es,,Es,248,99,149,Poenaru,poenaru,7.16,,0.05,True,,480000,40000,40000,,"alpha, EC",0.3,,,,3.26702577898,1849.37839167,2.41421545839,259.546668308,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.24600400057498245}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0011,11,249Es,,Es,249,99,150,Poenaru,poenaru,6.94,,0.03,True,,1075789.47368,6315.78947368,6315.78947368,,"alpha, EC",0.57,,,,4.15721409007,14361.9724754,1.87451320044,74.9054125768,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2387046222091936}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
