isotope, symbol, Z  , N  , A  , is_parenthesized, mass_number_uncertain, T_half_raw          , T_half_s              , T_half_err_plus_s     , T_half_err_minus_s    , T_half_err_s          , T_half_unit, T_half_qualifier, T_half_estimated, Jpi_raw       , Jpi_estimated, decay_modes_raw                 , branching_raw                  , b_alpha_percent, b_alpha_err_plus_percent, b_alpha_err_minus_percent, b_alpha_err_percent, b_alpha_qualifier, b_alpha_estimated, T_alpha_half_s        , T_alpha_half_err_plus_s, T_alpha_half_err_minus_s, T_alpha_half_err_s    , T_alpha_half_qualifier, T_alpha_half_estimated, b_SF_percent, b_SF_err_plus_percent, b_SF_err_minus_percent, b_SF_err_percent, b_SF_qualifier, b_SF_estimated, T_SF_half_s           , T_SF_half_err_plus_s  , T_SF_half_err_minus_s , T_SF_half_err_s       , T_SF_half_qualifier, T_SF_half_estimated, Qalpha_raw  , Qalpha_keV, Qalpha_MeV         , Qalpha_err_keV      , Qalpha_err_MeV       , Qalpha_estimated, Qalpha_is_experimental, Qalpha_qualifier, has_estimated_marker, nonexperimental_fields, discovery_year
240Es  , Es    ,  99, 141, 240, False           , False                , 6.0(17) s           , 6.0                   , 1.7000000000000002    , 1.7000000000000002    , 1.7000000000000002    , s          ,                 , False           , 4^-#          , True         , "alpha, EC, SF"                 , 70/30/?                        ,           70.0 ,                         ,                          ,                    ,                  , False            , 8.571428571428571     , 2.428571428571429      , 2.428571428571429       , 2.428571428571429     ,                       , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , 8260(60)    ,    8260.0 ,  8.26              ,  60.0               , 0.06                 , False           , True                  ,                 , True                , Jpi                   ,         2017.0
241Es  , Es    ,  99, 142, 241, False           , False                , 4.3^+2.4_-1.2 s     , 4.3                   , 2.4                   , 1.2                   , 1.7999999999999998    , s          ,                 , False           , 3/2^-#        , True         , "alpha, EC"                     , 100/?                          ,          100.0 ,                         ,                          ,                    ,                  , False            , 4.3                   , 2.4                    , 1.2                     , 1.7999999999999998    ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 8259(17)    ,    8259.0 ,  8.259             ,  17.0               , 0.017                , False           , True                  ,                 , True                , Jpi                   ,         1996.0
242Es  , Es    ,  99, 143, 242, False           , False                , 17.8(16) s          , 17.8                  , 1.6                   , 1.6                   , 1.6                   , s          ,                 , False           , 4^-#          , True         , "alpha, EC"                     , 57/43                          ,           57.0 ,                         ,                          ,                    ,                  , False            , 31.2280701754386      , 2.8070175438596494     , 2.8070175438596494      , 2.8070175438596494    ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 8160(20)    ,    8160.0 ,  8.16              ,  20.0               , 0.02                 , False           , True                  ,                 , True                , Jpi                   ,         1994.0
243Es  , Es    ,  99, 144, 243, False           , False                , 22(1) s             , 22.0                  , 1.0                   , 1.0                   , 1.0                   , s          ,                 , False           , (3/2^-)       , False        , "alpha, EC, SF"                 , 61/39/<1                       ,           61.0 ,                         ,                          ,                    ,                  , False            , 36.0655737704918      , 1.639344262295082      , 1.639344262295082       , 1.639344262295082     ,                       , False                 , 1.0         ,                      ,                       ,                 , <             , False         , 2200.0                , 100.0                 , 100.0                 , 100.0                 , >                  , False              , 8072(10)    ,    8072.0 ,  8.072             ,  10.0               , 0.01                 , False           , True                  ,                 , False               ,                       ,         1973.0
244Es  , Es    ,  99, 145, 244, False           , False                , 37(4) s             , 37.0                  , 4.0                   , 4.0                   , 4.0                   , s          ,                 , False           , 6^+#          , True         , "alpha, EC"                     , 4/96                           ,            4.0 ,                         ,                          ,                    ,                  , False            , 925.0                 , 100.0                  , 100.0                   , 100.0                 ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 7940(100)#  ,    7940.0 ,  7.94              , 100.0               , 0.1                  , True            , False                 ,                 , True                , Qalpha;Jpi            ,         1973.0
245Es  , Es    ,  99, 146, 245, False           , False                , 1.12(6) min         , 67.2                  , 3.5999999999999996    , 3.5999999999999996    , 3.5999999999999996    , min        ,                 , False           , (3/2^-)       , False        , "alpha, EC"                     , 54/46                          ,           54.0 ,                         ,                          ,                    ,                  , False            , 124.44444444444444    , 6.666666666666665      , 6.666666666666665       , 6.666666666666665     ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 7909(3)     ,    7909.0 ,  7.909             ,   3.0               , 0.003                , False           , True                  ,                 , False               ,                       ,         1967.0
246Es  , Es    ,  99, 147, 246, False           , False                , 7.5(5) min          , 450.0                 , 30.0                  , 30.0                  , 30.0                  , min        ,                 , False           , 4^-#          , True         , "alpha, EC"                     , 9.9/90.1                       ,            9.9 ,                         ,                          ,                    ,                  , False            , 4545.454545454545     , 303.030303030303       , 303.030303030303        , 303.030303030303      ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 7640(100)#  ,    7640.0 ,  7.64              , 100.0               , 0.1                  , True            , False                 ,                 , True                , Qalpha;Jpi            ,         1954.0
247Es  , Es    ,  99, 148, 247, False           , False                , 4.55(26) min        , 273.0                 , 15.600000000000001    , 15.600000000000001    , 15.600000000000001    , min        ,                 , False           , (7/2^+)       , False        , "alpha, EC"                     , 7/93                           ,            7.0 ,                         ,                          ,                    ,                  , False            , 3899.9999999999995    , 222.85714285714286     , 222.85714285714286      , 222.85714285714286    ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 7464(20)    ,    7464.0 ,  7.464             ,  20.0               , 0.02                 , False           , True                  ,                 , False               ,                       ,         1967.0
248Es  , Es    ,  99, 149, 248, False           , False                , 24(2) min           , 1440.0                , 120.0                 , 120.0                 , 120.0                 , min        ,                 , False           , "(2^-,0^+)"   , False        , "alpha, EC"                     , 0.3/99.7                       ,            0.3 ,                         ,                          ,                    ,                  , False            , 480000.0              , 40000.0                , 40000.0                 , 40000.0               ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 7160(50)#   ,    7160.0 ,  7.16              ,  50.0               , 0.05                 , True            , False                 ,                 , True                , Qalpha                ,         1956.0
249Es  , Es    ,  99, 150, 249, False           , False                , 102.2(6) min        , 6132.0                , 36.00000000000001     , 36.00000000000001     , 36.00000000000001     , min        ,                 , False           , 7/2^+         , False        , "alpha, EC"                     , 0.57/99.43                     ,            0.57,                         ,                          ,                    ,                  , False            , 1075789.4736842106    , 6315.789473684213      , 6315.789473684213       , 6315.789473684213     ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 6940(30)#   ,    6940.0 ,  6.94              ,  30.0               , 0.03                 , True            , False                 ,                 , True                , Qalpha                ,         1956.0
