runnum, date, Tsatrt, Tsustain/s, Teff/10s, ACCT_avg, beam_duty_ratio, target_duty_ratio, BeamDose   , Counts, crossSection/ub, TargetThickness(mg/cm2), DetectEff, BranchingRatio, Target, TranEff
    52, 5.11, 13:16 ,        600,       60, 5.84242 ,           0.975,               0.9, 9.60061E+14,  87712,             545,                     0.5,      0.55,          0.985,    169, 17.83%
    53, 5.11, 13:34 ,        600,       60, 5.792027,           0.975,               0.9, 9.5178E+14 ,  86229,             545,                     0.5,      0.55,          0.985,    169, 17.68%
    54, 5.11, 13:48 ,        600,       60, 5.698355,           0.975,               0.9, 9.36387E+14,  89390,             545,                     0.5,      0.55,          0.985,    169, 18.63%
    55, 5.11, 14:03 ,        600,       60, 5.749047,           0.975,               0.9, 9.44717E+14,  80099,             545,                     0.5,      0.55,          0.985,    169, 16.54%
    56, 5.11, 14:17 ,        600,       60, 5.783144,           0.975,               0.9, 9.5032E+14 ,  82837,             545,                     0.5,      0.55,          0.985,    169, 17.01%
    57, 5.11, 14:33 ,        600,       60, 5.733601,           0.975,               0.9, 9.42179E+14,  82290,             545,                     0.5,      0.55,          0.985,    169, 17.04%
    58, 5.11, 14:46 ,        600,       60, 5.716467,           0.975,               0.9, 9.39363E+14,  75370,             545,                     0.5,      0.55,          0.985,    169, 15.66%
    59, 5.11, 14:58 ,        600,       60, 5.799514,           0.975,               0.9, 9.5301E+14 ,  63309,             545,                     0.5,      0.55,          0.985,    169, 12.96%
    60, 5.11, 15:12 ,        600,       60, 5.744516,           0.975,               0.9, 9.43972E+14,  60972,             545,                     0.5,      0.55,          0.985,    169, 12.60%
    61, 5.11, 15:30 ,        600,       60, 5.752653,           0.975,               0.9, 9.4531E+14 ,  85735,             545,                     0.5,      0.55,          0.985,    169, 17.70%
    62, 5.11, 15:52 ,        600,       60, 5.724659,           0.975,               0.9, 9.40709E+14,  70465,             545,                     0.5,      0.55,          0.985,    169, 14.62%
    63, 5.11, 16:07 ,        600,       60, 5.756335,           0.975,               0.9, 9.45915E+14,  68712,             545,                     0.5,      0.55,          0.985,    169, 14.17%
    64, 5.11, 16:21 ,        600,       30, 5.395572,           0.975,               0.9, 4.43316E+14,  23685,             545,                     0.5,      0.55,          0.985,    169, 10.43%
    65, 5.11, 16:43 ,        600,       60, 5.755703,           0.975,               0.9, 9.45811E+14,  57499,             545,                     0.5,      0.55,          0.985,    169, 11.86%
    66, 5.11, 16:58 ,        600,       60, 5.809184,           0.975,               0.9, 9.54599E+14,  52404,             545,                     0.5,      0.55,          0.985,    169, 10.71%
    67, 5.11, 17:13 ,        600,       60, 5.658693,           0.975,               0.9, 9.29869E+14, 102634,             545,                     0.5,      0.55,          0.985,    169, 21.54%
    68, 5.11, 17:28 ,        600,       60, 5.587359,           0.975,               0.9, 9.18147E+14, 109027,             545,                     0.5,      0.55,          0.985,    169, 23.17%
    69, 5.11, 17:41 ,        600,       60, 5.546952,           0.975,               0.9, 9.11508E+14, 101340,             545,                     0.5,      0.55,          0.985,    169, 21.69%
    70, 5.11, 17:55 ,        600,       60, 5.544805,           0.975,               0.9, 9.11155E+14,  60001,             545,                     0.5,      0.55,          0.985,    169, 12.85%
    71, 5.11, 18:11 ,        600,       60, 5.550519,           0.975,               0.9, 9.12094E+14,  57757,             545,                     0.5,      0.55,          0.985,    169, 12.36%
    72, 5.11, 18:29 ,        600,       60, 5.52481 ,           0.975,               0.9, 9.07869E+14,  46991,             545,                     0.5,      0.55,          0.985,    169, 10.10%
