runnum, date, Tsatrt, Tsustain/s, Teff/10s, ACCT_avg, beam_duty_ratio, target_duty_ratio, BeamDose   , Counts, crossSection/ub, TargetThickness(mg/cm2), DetectEff, BranchingRatio, Target, TranEff, Counts_stat_rel_unc_pct, ACCT_avg_rel_unc_pct, crossSection_rel_unc_pct, TargetThickness_rel_unc_pct, TranEff_total_rel_unc_pct, TranEff_abs_unc_pp, TranEff_lower_pct, TranEff_upper_pct
    52, 5.11, 13:16 ,        600,       60, 5.84242 ,           0.975,               0.9, 9.60061E+14,  87712,             545,                     0.5,      0.55,          0.985,    169, 17.83% ,                0.337653,            10.000000,                 1.200000,                   10.000000,                 14.196972,             2.5313,           15.2987,           20.3613
    53, 5.11, 13:34 ,        600,       60, 5.792027,           0.975,               0.9, 9.5178E+14 ,  86229,             545,                     0.5,      0.55,          0.985,    169, 17.68% ,                0.340544,            10.000000,                 1.200000,                   10.000000,                 14.197041,             2.5100,           15.1700,           20.1900
    54, 5.11, 13:48 ,        600,       60, 5.698355,           0.975,               0.9, 9.36387E+14,  89390,             545,                     0.5,      0.55,          0.985,    169, 18.63% ,                0.334469,            10.000000,                 1.200000,                   10.000000,                 14.196896,             2.6449,           15.9851,           21.2749
    55, 5.11, 14:03 ,        600,       60, 5.749047,           0.975,               0.9, 9.44717E+14,  80099,             545,                     0.5,      0.55,          0.985,    169, 16.54% ,                0.353335,            10.000000,                 1.200000,                   10.000000,                 14.197353,             2.3482,           14.1918,           18.8882
    56, 5.11, 14:17 ,        600,       60, 5.783144,           0.975,               0.9, 9.5032E+14 ,  82837,             545,                     0.5,      0.55,          0.985,    169, 17.01% ,                0.347446,            10.000000,                 1.200000,                   10.000000,                 14.197208,             2.4149,           14.5951,           19.4249
    57, 5.11, 14:33 ,        600,       60, 5.733601,           0.975,               0.9, 9.42179E+14,  82290,             545,                     0.5,      0.55,          0.985,    169, 17.04% ,                0.348599,            10.000000,                 1.200000,                   10.000000,                 14.197236,             2.4192,           14.6208,           19.4592
    58, 5.11, 14:46 ,        600,       60, 5.716467,           0.975,               0.9, 9.39363E+14,  75370,             545,                     0.5,      0.55,          0.985,    169, 15.66% ,                0.364251,            10.000000,                 1.200000,                   10.000000,                 14.197629,             2.2233,           13.4367,           17.8833
    59, 5.11, 14:58 ,        600,       60, 5.799514,           0.975,               0.9, 9.5301E+14 ,  63309,             545,                     0.5,      0.55,          0.985,    169, 12.96% ,                0.397436,            10.000000,                 1.200000,                   10.000000,                 14.198519,             1.8401,           11.1199,           14.8001
    60, 5.11, 15:12 ,        600,       60, 5.744516,           0.975,               0.9, 9.43972E+14,  60972,             545,                     0.5,      0.55,          0.985,    169, 12.60% ,                0.404981,            10.000000,                 1.200000,                   10.000000,                 14.198733,             1.7890,           10.8110,           14.3890
    61, 5.11, 15:30 ,        600,       60, 5.752653,           0.975,               0.9, 9.4531E+14 ,  85735,             545,                     0.5,      0.55,          0.985,    169, 17.70% ,                0.341524,            10.000000,                 1.200000,                   10.000000,                 14.197064,             2.5129,           15.1871,           20.2129
