初态_K,初态_宇称,初态_量子数,末态_K,末态_宇称,末态_量子数,能级差_E(MeV)
4.5,+,615,4.5,+,615,0.0
4.5,+,615,3.5,+,613,1.571
4.5,+,615,3.5,-,743,1.501
4.5,+,615,4.5,-,734,0.83
4.5,+,615,2.5,-,752,0.747
4.5,+,615,1.5,-,761,-0.001
4.5,+,615,0.5,-,770,0.0
4.5,+,615,5.5,-,725,1.624
4.5,+,615,6.5,-,716,1.359
4.5,+,615,0.5,+,631,1.876
4.5,+,615,1.5,+,622,1.726
4.5,+,615,4.5,+,604,0.581
4.5,+,615,5.5,+,606,0.292
4.5,+,615,0.5,+,620,1.625
4.5,+,615,1.5,+,611,0.816
4.5,+,615,2.5,+,602,0.576
4.5,+,615,7.5,-,707,-0.641
4.5,+,615,0.5,+,611,0.169
4.5,+,615,2.5,+,602,-1.748
4.5,+,615,3.5,+,604,-1.744
4.5,+,615,2.5,-,743,-0.453
3.5,+,613,4.5,+,615,-1.571
3.5,+,613,3.5,+,613,0.0
3.5,+,613,3.5,-,743,-0.07
3.5,+,613,4.5,-,734,-0.741
3.5,+,613,2.5,-,752,-0.824
3.5,+,613,1.5,-,761,-1.572
3.5,+,613,0.5,-,770,-1.571
3.5,+,613,5.5,-,725,0.053
3.5,+,613,6.5,-,716,-0.212
3.5,+,613,0.5,+,631,0.305
3.5,+,613,1.5,+,622,0.155
3.5,+,613,4.5,+,604,-0.99
3.5,+,613,5.5,+,606,-1.279
3.5,+,613,0.5,+,620,0.054
3.5,+,613,1.5,+,611,-0.755
3.5,+,613,2.5,+,602,-0.995
3.5,+,613,7.5,-,707,-2.212
3.5,+,613,0.5,+,611,-1.402
3.5,+,613,2.5,+,602,-3.319
3.5,+,613,3.5,+,604,-3.315
3.5,+,613,2.5,-,743,-2.024
3.5,-,743,4.5,+,615,-1.501
3.5,-,743,3.5,+,613,0.07
3.5,-,743,3.5,-,743,0.0
3.5,-,743,4.5,-,734,-0.671
3.5,-,743,2.5,-,752,-0.754
3.5,-,743,1.5,-,761,-1.502
3.5,-,743,0.5,-,770,-1.501
3.5,-,743,5.5,-,725,0.123
3.5,-,743,6.5,-,716,-0.142
3.5,-,743,0.5,+,631,0.375
3.5,-,743,1.5,+,622,0.225
3.5,-,743,4.5,+,604,-0.92
3.5,-,743,5.5,+,606,-1.209
3.5,-,743,0.5,+,620,0.124
3.5,-,743,1.5,+,611,-0.685
3.5,-,743,2.5,+,602,-0.925
3.5,-,743,7.5,-,707,-2.142
3.5,-,743,0.5,+,611,-1.332
3.5,-,743,2.5,+,602,-3.249
3.5,-,743,3.5,+,604,-3.245
3.5,-,743,2.5,-,743,-1.954
4.5,-,734,4.5,+,615,-0.83
4.5,-,734,3.5,+,613,0.741
4.5,-,734,3.5,-,743,0.671
4.5,-,734,4.5,-,734,0.0
4.5,-,734,2.5,-,752,-0.083
4.5,-,734,1.5,-,761,-0.831
4.5,-,734,0.5,-,770,-0.83
4.5,-,734,5.5,-,725,0.794
4.5,-,734,6.5,-,716,0.529
4.5,-,734,0.5,+,631,1.046
4.5,-,734,1.5,+,622,0.896
4.5,-,734,4.5,+,604,-0.249
4.5,-,734,5.5,+,606,-0.538
4.5,-,734,0.5,+,620,0.795
4.5,-,734,1.5,+,611,-0.014
4.5,-,734,2.5,+,602,-0.254
4.5,-,734,7.5,-,707,-1.471
4.5,-,734,0.5,+,611,-0.661
4.5,-,734,2.5,+,602,-2.578
4.5,-,734,3.5,+,604,-2.574
4.5,-,734,2.5,-,743,-1.283
2.5,-,752,4.5,+,615,-0.747
2.5,-,752,3.5,+,613,0.824
2.5,-,752,3.5,-,743,0.754
2.5,-,752,4.5,-,734,0.083
2.5,-,752,2.5,-,752,0.0
2.5,-,752,1.5,-,761,-0.748
2.5,-,752,0.5,-,770,-0.747
2.5,-,752,5.5,-,725,0.877
2.5,-,752,6.5,-,716,0.612
2.5,-,752,0.5,+,631,1.129
2.5,-,752,1.5,+,622,0.979
2.5,-,752,4.5,+,604,-0.166
2.5,-,752,5.5,+,606,-0.455
2.5,-,752,0.5,+,620,0.878
2.5,-,752,1.5,+,611,0.069
2.5,-,752,2.5,+,602,-0.171
2.5,-,752,7.5,-,707,-1.388
2.5,-,752,0.5,+,611,-0.578
2.5,-,752,2.5,+,602,-2.495
2.5,-,752,3.5,+,604,-2.491
2.5,-,752,2.5,-,743,-1.2
1.5,-,761,4.5,+,615,0.001
1.5,-,761,3.5,+,613,1.572
1.5,-,761,3.5,-,743,1.502
1.5,-,761,4.5,-,734,0.831
1.5,-,761,2.5,-,752,0.748
1.5,-,761,1.5,-,761,0.0
1.5,-,761,0.5,-,770,0.001
1.5,-,761,5.5,-,725,1.625
1.5,-,761,6.5,-,716,1.36
1.5,-,761,0.5,+,631,1.877
1.5,-,761,1.5,+,622,1.727
1.5,-,761,4.5,+,604,0.582
1.5,-,761,5.5,+,606,0.293
1.5,-,761,0.5,+,620,1.626
1.5,-,761,1.5,+,611,0.817
1.5,-,761,2.5,+,602,0.577
1.5,-,761,7.5,-,707,-0.64
1.5,-,761,0.5,+,611,0.17
1.5,-,761,2.5,+,602,-1.747
1.5,-,761,3.5,+,604,-1.743
1.5,-,761,2.5,-,743,-0.452
0.5,-,770,4.5,+,615,0.0
0.5,-,770,3.5,+,613,1.571
0.5,-,770,3.5,-,743,1.501
0.5,-,770,4.5,-,734,0.83
0.5,-,770,2.5,-,752,0.747
0.5,-,770,1.5,-,761,-0.001
0.5,-,770,0.5,-,770,0.0
0.5,-,770,5.5,-,725,1.624
0.5,-,770,6.5,-,716,1.359
0.5,-,770,0.5,+,631,1.876
0.5,-,770,1.5,+,622,1.726
0.5,-,770,4.5,+,604,0.581
0.5,-,770,5.5,+,606,0.292
0.5,-,770,0.5,+,620,1.625
0.5,-,770,1.5,+,611,0.816
0.5,-,770,2.5,+,602,0.576
0.5,-,770,7.5,-,707,-0.641
0.5,-,770,0.5,+,611,0.169
0.5,-,770,2.5,+,602,-1.748
0.5,-,770,3.5,+,604,-1.744
0.5,-,770,2.5,-,743,-0.453
5.5,-,725,4.5,+,615,-1.624
5.5,-,725,3.5,+,613,-0.053
5.5,-,725,3.5,-,743,-0.123
5.5,-,725,4.5,-,734,-0.794
5.5,-,725,2.5,-,752,-0.877
5.5,-,725,1.5,-,761,-1.625
5.5,-,725,0.5,-,770,-1.624
5.5,-,725,5.5,-,725,0.0
5.5,-,725,6.5,-,716,-0.265
5.5,-,725,0.5,+,631,0.252
5.5,-,725,1.5,+,622,0.102
5.5,-,725,4.5,+,604,-1.043
5.5,-,725,5.5,+,606,-1.332
5.5,-,725,0.5,+,620,0.001
5.5,-,725,1.5,+,611,-0.808
5.5,-,725,2.5,+,602,-1.048
5.5,-,725,7.5,-,707,-2.265
5.5,-,725,0.5,+,611,-1.455
5.5,-,725,2.5,+,602,-3.372
5.5,-,725,3.5,+,604,-3.368
5.5,-,725,2.5,-,743,-2.077
6.5,-,716,4.5,+,615,-1.359
6.5,-,716,3.5,+,613,0.212
