初态_K,初态_宇称,初态_量子数,末态_K,末态_宇称,末态_量子数,能级差_E(MeV)
4.5,+,615,4.5,+,615,0.0
4.5,+,615,3.5,+,613,0.004
4.5,+,615,1.5,+,611,0.605
4.5,+,615,2.5,+,613,0.543
4.5,+,615,4.5,+,604,0.641
4.5,+,615,3.5,-,743,-1.231
4.5,+,615,6.5,-,716,1.171
4.5,+,615,4.5,-,734,-0.675
4.5,+,615,5.5,-,725,0.145
4.5,+,615,1.5,+,622,0.354
4.5,+,615,0.5,+,620,0.343
4.5,+,615,5.5,+,606,0.044
4.5,+,615,0.5,+,631,-0.854
4.5,+,615,2.5,-,752,-1.21
4.5,+,615,1.5,-,761,-1.218
4.5,+,615,0.5,-,770,-1.213
4.5,+,615,0.5,+,611,0.031
3.5,+,613,4.5,+,615,-0.004
3.5,+,613,3.5,+,613,0.0
3.5,+,613,1.5,+,611,0.601
3.5,+,613,2.5,+,613,0.539
3.5,+,613,4.5,+,604,0.637
3.5,+,613,3.5,-,743,-1.235
3.5,+,613,6.5,-,716,1.167
3.5,+,613,4.5,-,734,-0.679
3.5,+,613,5.5,-,725,0.141
3.5,+,613,1.5,+,622,0.35
3.5,+,613,0.5,+,620,0.339
3.5,+,613,5.5,+,606,0.04
3.5,+,613,0.5,+,631,-0.858
3.5,+,613,2.5,-,752,-1.214
3.5,+,613,1.5,-,761,-1.222
3.5,+,613,0.5,-,770,-1.217
3.5,+,613,0.5,+,611,0.027
1.5,+,611,4.5,+,615,-0.605
1.5,+,611,3.5,+,613,-0.601
1.5,+,611,1.5,+,611,0.0
1.5,+,611,2.5,+,613,-0.062
1.5,+,611,4.5,+,604,0.036
1.5,+,611,3.5,-,743,-1.836
1.5,+,611,6.5,-,716,0.566
1.5,+,611,4.5,-,734,-1.28
1.5,+,611,5.5,-,725,-0.46
1.5,+,611,1.5,+,622,-0.251
1.5,+,611,0.5,+,620,-0.262
1.5,+,611,5.5,+,606,-0.561
1.5,+,611,0.5,+,631,-1.459
1.5,+,611,2.5,-,752,-1.815
1.5,+,611,1.5,-,761,-1.823
1.5,+,611,0.5,-,770,-1.818
1.5,+,611,0.5,+,611,-0.574
2.5,+,613,4.5,+,615,-0.543
2.5,+,613,3.5,+,613,-0.539
2.5,+,613,1.5,+,611,0.062
2.5,+,613,2.5,+,613,0.0
2.5,+,613,4.5,+,604,0.098
2.5,+,613,3.5,-,743,-1.774
2.5,+,613,6.5,-,716,0.628
2.5,+,613,4.5,-,734,-1.218
2.5,+,613,5.5,-,725,-0.398
2.5,+,613,1.5,+,622,-0.189
2.5,+,613,0.5,+,620,-0.2
2.5,+,613,5.5,+,606,-0.499
2.5,+,613,0.5,+,631,-1.397
2.5,+,613,2.5,-,752,-1.753
2.5,+,613,1.5,-,761,-1.761
2.5,+,613,0.5,-,770,-1.756
2.5,+,613,0.5,+,611,-0.512
4.5,+,604,4.5,+,615,-0.641
4.5,+,604,3.5,+,613,-0.637
4.5,+,604,1.5,+,611,-0.036
4.5,+,604,2.5,+,613,-0.098
4.5,+,604,4.5,+,604,0.0
4.5,+,604,3.5,-,743,-1.872
4.5,+,604,6.5,-,716,0.53
