273Ds_K,273Ds_宇称,273Ds_量子数,273Ds_Ex(MeV),269Hs_K,269Hs_宇称,269Hs_量子数,269Hs_Ex(MeV),Q值(MeV),Alpha动能(MeV)
3.5,-,743,2.402,1.5,+,622,0.0,12.909,12.7199
1.5,-,761,2.389,1.5,+,622,0.0,12.896,12.707
0.5,-,770,2.384,1.5,+,622,0.0,12.891,12.7021
2.5,-,752,2.381,1.5,+,622,0.0,12.888,12.6992
3.5,-,743,2.402,0.5,+,620,0.041,12.868,12.6795
1.5,-,761,2.389,0.5,+,620,0.041,12.855,12.6666
0.5,-,770,2.384,0.5,+,620,0.041,12.85,12.6617
2.5,-,752,2.381,0.5,+,620,0.041,12.847,12.6588
3.5,-,743,2.402,3.5,+,613,0.085,12.824,12.6361
1.5,-,761,2.389,3.5,+,613,0.085,12.811,12.6233
0.5,-,770,2.384,3.5,+,613,0.085,12.806,12.6184
2.5,-,752,2.381,3.5,+,613,0.085,12.803,12.6154
3.5,-,743,2.402,5.5,-,725,0.118,12.791,12.6036
1.5,-,761,2.389,5.5,-,725,0.118,12.778,12.5908
0.5,-,770,2.384,5.5,-,725,0.118,12.773,12.5858
2.5,-,752,2.381,5.5,-,725,0.118,12.77,12.5829
3.5,-,743,2.402,0.5,+,631,0.171,12.738,12.5514
1.5,-,761,2.389,0.5,+,631,0.171,12.725,12.5386
0.5,-,770,2.384,0.5,+,631,0.171,12.72,12.5336
2.5,-,752,2.381,0.5,+,631,0.171,12.717,12.5307
0.5,+,631,2.025,1.5,+,622,0.0,12.532,12.3484
3.5,-,743,2.402,6.5,-,716,0.385,12.524,12.3405
1.5,-,761,2.389,6.5,-,716,0.385,12.511,12.3277
0.5,-,770,2.384,6.5,-,716,0.385,12.506,12.3228
2.5,-,752,2.381,6.5,-,716,0.385,12.503,12.3198
0.5,+,631,2.025,0.5,+,620,0.041,12.491,12.308
0.5,+,631,2.025,3.5,+,613,0.085,12.447,12.2646
0.5,+,631,2.025,5.5,-,725,0.118,12.414,12.2321
0.5,+,631,2.025,0.5,+,631,0.171,12.361,12.1799
4.5,-,734,1.846,1.5,+,622,0.0,12.353,12.172
4.5,-,734,1.846,0.5,+,620,0.041,12.312,12.1316
4.5,-,734,1.846,3.5,+,613,0.085,12.268,12.0882
4.5,-,734,1.846,5.5,-,725,0.118,12.235,12.0557
4.5,-,734,1.846,0.5,+,631,0.171,12.182,12.0035
0.5,+,631,2.025,6.5,-,716,0.385,12.147,11.969
4.5,-,734,1.846,6.5,-,716,0.385,11.968,11.7926
3.5,-,743,2.402,4.5,+,604,0.983,11.926,11.7513
3.5,-,743,2.402,2.5,+,613,0.987,11.922,11.7473
1.5,-,761,2.389,4.5,+,604,0.983,11.913,11.7385
3.5,-,743,2.402,4.5,-,734,0.997,11.912,11.7375
1.5,-,761,2.389,2.5,+,613,0.987,11.909,11.7345
0.5,-,770,2.384,4.5,+,604,0.983,11.908,11.7335
2.5,-,752,2.381,4.5,+,604,0.983,11.905,11.7306
0.5,-,770,2.384,2.5,+,613,0.987,11.904,11.7296
2.5,-,752,2.381,2.5,+,613,0.987,11.901,11.7266
1.5,-,761,2.389,4.5,-,734,0.997,11.899,11.7247
