K	宇称	量子数[N,nz,Λ]	β2	γ	β4	E	Ex
0.5	-	750	0.213	0.094	-0.045	-1967.173	2.384
1.5	-	761	0.221	0.7	-0.065	-1967.732	1.825
2.5	-	752	0.22	0.721	-0.066	-1967.806	1.751
0.5	-	501	0.22	0.742	-0.066	-1967.806	1.751
2.5	-	743	0.236	-1.078	-0.045	-1967.818	1.739
1.5	-	741	0.238	-0.72	-0.054	-1967.855	1.702
0.5	-	741	0.234	-0.029	-0.047	-1967.915	1.642
0.5	+	611	0.222	-0.084	-0.051	-1967.92	1.637
3.5	-	743	0.221	0.144	-0.053	-1967.938	1.619
5.5	+	606	0.222	-0.027	-0.048	-1968.376	1.181
1.5	+	611	0.218	0.097	-0.051	-1968.394	1.163
4.5	+	615	0.221	0.144	-0.026	-1968.546	1.011
4.5	-	734	0.226	-0.105	-0.058	-1968.56	0.997
2.5	+	613	0.228	-0.243	-0.066	-1968.57	0.987
4.5	+	604	0.224	-0.287	-0.052	-1968.574	0.983
6.5	-	716	0.222	-0.077	-0.055	-1969.172	0.385
0.5	+	631	0.232	-0.292	-0.058	-1969.386	0.171
5.5	-	725	0.228	0.032	-0.058	-1969.439	0.118
3.5	+	613	0.23	-0.095	-0.057	-1969.472	0.085
0.5	+	620	0.22	-1.116	-0.055	-1969.516	0.041
1.5	+	622	0.225	0.161	-0.056	-1969.557	0
