K	宇称	量子数[N,nz,Λ]	β2	 γ	β4	 E	Ex
3.5	-	743	0.215	-2	-0.079	-1984.948	2.402
1.5	-	761	0.204	-2	-0.078	-1984.961	2.389
0.5	-	770	0.204	-2	-0.078	-1984.966	2.384
2.5	-	752	0.212	-1	-0.075	-1984.969	2.381
0.5	+	631	0.213	0	-0.079	-1985.325	2.025
4.5	-	734	0.206	0	-0.057	-1985.504	1.846
4.5	+	615	0.216	0	-0.066	-1986.179	1.171
3.5	+	613	0.215	0	-0.066	-1986.183	1.167
0.5	+	611	0.217	0	-0.07	-1986.21	1.14
5.5	+	606	0.203	0	-0.056	-1986.223	1.127
5.5	-	725	0.213	0	-0.065	-1986.324	1.026
0.5	+	620	0.206	0	-0.055	-1986.522	0.828
1.5	+	622	0.207	0	-0.062	-1986.533	0.817
2.5	+	613	0.217	0	-0.07	-1986.722	0.628
1.5	+	611	0.212	0	-0.059	-1986.784	0.566
4.5	+	604	0.22	0	-0.08	-1986.82	0.53
6.5	-	716	0.215	0	-0.068	-1987.35	0

