Z	N	A	UNEDF	WS4+RBF	EXP	error
110	158	268	11.79933	11.725		
110	159	269	11.47838	11.452	11510	30
110	160	270	11.12842	11.191	11117	28
110	161	271	11.05157	10.652	10870	18
110	162	272	10.95773	10.51		
110	163	273	11.2035	10.601	11270	70
110	164	274	11.44124	10.896		
110	165	275	11.32962	10.933	11370	20
110	166	276	11.21556	10.872	10900	28
110	167	277	10.8998	10.547	10710	40
110	168	278	10.58338	10.231		
110	169	279	10.31326	9.838	9840	60
110	170	280	10.0284	9.415		
110	171	281	9.61187	8.96	8853	30
110	172	282	9.15004	8.515		
