A	Z	nuclide	N	EnergyQ	T0.5	+	-	URF			
281	110	Ds110	171	8853	13000	4500	2700	503316.6204
279	110	Ds110	169	9840	186	21	17	480.7952057
277	110	Ds110	167	10710	3.5	2.1	0.9	2.413922697
276	110	Ds110	166	10900	0.15	0.1	0.04	0.368065528
275	110	Ds110	165	11370	0.43	0.29	0.12	0.067489537
273	110	Ds110	163	11020	0.17	0.17	0.06	0.491089409
271	110	Ds110	161	10870	1.63	0.44	0.32	1.241186055
270	110	Ds110	160	11117	0.2	0.07	0.04	0.141692453
269	110	Ds110	159	11510	0.17	0.16	0.06	0.041702932

								
								
								
								
