A	Z	nuclide	N	T0.5	+	-	URF	idx
281	110	Ds110	171	13000	4500	2700	503316.6204	1
280	110	Ds110	170				3616.560549	
279	110	Ds110	169	186	21	17	480.7952057	1
278	110	Ds110	168				17.82752592	
277	110	Ds110	167	3.5	2.1	0.9	2.413922697	1
276	110	Ds110	166	0.15	0.1	0.04	0.368065528	1
275	110	Ds110	165	0.43	0.29	0.12	0.067489537	1
274	110	Ds110	164				0.409479057	
273	110	Ds110	163	0.17	0.17	0.06	0.491089409	1
272	110	Ds110	162				4.194546026	
271	110	Ds110	161	1.63	0.44	0.32	1.241186055	1
270	110	Ds110	160	0.2	0.07	0.04	0.141692453	1
269	110	Ds110	159	0.17	0.16	0.06	0.041702932	1
