Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l
277Cn_l_upper,277,112,11.11,0.00107,1.0,0
277Cn_l_mean,277,112,11.11,0.00061,1.0,0
277Cn_l_lower,277,112,11.11,0.00043,1.0,0
277Cn_h_upper,277,112,11.39,0.00107,1.0,0
277Cn_h_mean,277,112,11.39,0.00061,1.0,0
277Cn_h_lower,277,112,11.39,0.00043,1.0,0
273Ds_a,273,110,10.858,0.00576,1.0,0
273Ds_a_upper,273,110,10.858,0.03339,1.0,0
273Ds_a_lower,273,110,10.858,0.00313,1.0,0
273Ds_b,273,110,10.894,0.017,1.0,0
273Ds_b_upper,273,110,10.894,0.049,1.0,0
273Ds_b_lower,273,110,10.894,0.010,1.0,0
273Ds_c,273,110,11.165,0.00016,1.0,0
273Ds_c_upper,273,110,11.165,0.00024,1.0,0
273Ds_c_lower,273,110,11.165,0.00011,1.0,0
269Hs_a,269,108,9.13,9.6,1.0,0
269Hs_a_upper,269,108,9.13,14.05,1.0,0
269Hs_a_lower,269,108,9.13,6.92,1.0,0
269Hs_b,269,108,8.95,6.49,1.0,0
269Hs_b_upper,269,108,8.95,37.58,1.0,0
269Hs_b_lower,269,108,8.95,3.52,1.0,0
265Sga->261Rfa_upper,265,106,8.84,11.1,0.91,NA
265Sga->261Rfa_center,265,106,8.84,8.5,0.91,NA
265Sga->261Rfa_lower,265,106,8.84,6.9,0.91,NA

265Sga->261Rfb_upper,265,106,8.84,11.1,0.09,NA
265Sga->261Rfb_center,265,106,8.84,8.5,0.09,NA
265Sga->261Rfb_lower,265,106,8.84,6.9,0.09,NA

265Sgb->261Rfa_upper,265,106,8.69,18.1,0.20,NA
265Sgb->261Rfa_center,265,106,8.69,14.4,0.20,NA
265Sgb->261Rfa_lower,265,106,8.69,11.9,0.20,NA

265Sgb->261Rfb_upper,265,106,8.69,18.1,0.80,NA
265Sgb->261Rfb_center,265,106,8.69,14.4,0.80,NA
265Sgb->261Rfb_lower,265,106,8.69,11.9,0.80,NA

261Rfa->257No_upper,261,104,8.28,71.0,1.00,NA
261Rfa->257No_center,261,104,8.28,68.0,1.00,NA
261Rfa->257No_lower,261,104,8.28,65.0,1.00,NA

261Rfb->257No_upper,261,104,8.51,3.3,0.18,NA
261Rfb->257No_center,261,104,8.51,2.6,0.18,NA
261Rfb->257No_lower,261,104,8.51,2.1,0.18,NA

257No->253Fm_1_upper,257,102,8.222,25.0,0.83,NA
257No->253Fm_1_center,257,102,8.222,24.5,0.83,NA
257No->253Fm_1_lower,257,102,8.222,24.0,0.83,NA

257No->253Fm_2_upper,257,102,8.323,25.0,0.17,NA
257No->253Fm_2_center,257,102,8.323,24.5,0.17,NA
257No->253Fm_2_lower,257,102,8.323,24.0,0.17,NA
