name         , method             , Ealpha, Texp  , Tcal                  , HF
273Ds_GSI_cal, Poenaru            , 10.929, 0.0289, 1.784695909587367e-06 , 16193.234850121811
257Rf8286    , Poenaru            ,  8.286, 4.37  , 1.1176273595097934    ,   177.7304053503918
257Rf8965    , Poenaru            ,  8.965, 4.37  , 0.010437302697708567  ,   581.5146518436172
257Rf9023    , Poenaru            ,  9.023, 4.37  , 0.007191474875664299  , 10476.964584993708
257Rf8497    , Poenaru            ,  8.497, 6.12  , 0.24512103824050857   ,   416.120952865414
257Rf8785    , Poenaru            ,  8.785, 6.12  , 0.03401881813475563   ,   449.75107422584495
259Sg9040    , Poenaru            ,  9.04 , 0.402 , 0.0153271325112688    ,   238.43634494962205
259Sg9614    , Poenaru            ,  9.614, 0.402 , 0.0004616981167880382 ,   978.3132675539849
259Sg9200    , Poenaru            ,  9.2  , 0.226 , 0.005569754621614001  ,    94.36347398667527
259Sg9550    , Poenaru            ,  9.55 , 0.226 , 0.0006706466842874021 ,   624.0521698295083
259Sg9614    , Poenaru            ,  9.614, 0.226 , 0.0004616981167880382 , 16316.5779963357
273Ds_GSI_cal, DZR                , 10.929, 0.0289, 0.0003306411869016125 ,    87.40592867699706
257Rf8286    , DZR                ,  8.286, 4.37  , 147.395393388742      ,     1.3476429559265684
257Rf8965    , DZR                ,  8.965, 4.37  , 0.8826949778320792    ,     6.876038265620533
257Rf9023    , DZR                ,  9.023, 4.37  , 0.5856930132871454    ,   128.6421826399146
257Rf8497    , DZR                ,  8.497, 6.12  , 28.139785429041815    ,     3.6247611147286984
257Rf8785    , DZR                ,  8.785, 6.12  , 3.2348184138804013    ,     4.729786356584551
259Sg9040    , DZR                ,  9.04 , 0.402 , 2.912263418565731     ,     1.2548814888267534
259Sg9614    , DZR                ,  9.614, 0.402 , 0.057758425220595946  ,     7.820251184711344
259Sg9200    , DZR                ,  9.2  , 0.226 , 0.9411340643303634    ,     0.5584553946868339
259Sg9550    , DZR                ,  9.55 , 0.226 , 0.08786580688081809   ,     4.7631556958920385
259Sg9614    , DZR                ,  9.614, 0.226 , 0.057758425220595946  ,   130.4283020972504
273Ds_GSI_cal, Ismail2022_FormulaE, 10.929, 0.0289, 0.0003206082013078645 ,    90.1411750607363
257Rf8286    , Ismail2022_FormulaE,  8.286, 4.37  , 136.02501698978136    ,     1.4602928787083764
257Rf8965    , Ismail2022_FormulaE,  8.965, 4.37  , 0.8322020476652782    ,     7.293234210937257
257Rf9023    , Ismail2022_FormulaE,  9.023, 4.37  , 0.5531363406053995    ,   136.2138446802159
257Rf8497    , Ismail2022_FormulaE,  8.497, 6.12  , 26.149255344960505    ,     3.900684690803537
257Rf8785    , Ismail2022_FormulaE,  8.785, 6.12  , 3.033278294085129     ,     5.044047567226156
259Sg9040    , Ismail2022_FormulaE,  9.04 , 0.402 , 2.5047692384679965    ,     1.459034787883574
259Sg9614    , Ismail2022_FormulaE,  9.614, 0.402 , 0.05041186595587624   ,     8.95990229073789
259Sg9200    , Ismail2022_FormulaE,  9.2  , 0.226 , 0.8128809581778614    ,     0.6465662531042312
259Sg9550    , Ismail2022_FormulaE,  9.55 , 0.226 , 0.07656927573880684   ,     5.465880596104489
259Sg9614    , Ismail2022_FormulaE,  9.614, 0.226 , 0.05041186595587624   ,   149.4357169783598
273Ds_GSI_cal, E. Rurarz          , 10.929, 0.0289, 0.00014462817133857573,   199.82275743737964
257Rf8286    , E. Rurarz          ,  8.286, 4.37  , 39.48237495361351     ,     5.031013556548579
257Rf8965    , E. Rurarz          ,  8.965, 4.37  , 0.25904402985869723   ,    23.430165318827044
257Rf9023    , E. Rurarz          ,  9.023, 4.37  , 0.17353353234260666   ,   434.18022193805086
257Rf8497    , E. Rurarz          ,  8.497, 6.12  , 7.721707440734632     ,    13.209513670760863
257Rf8785    , E. Rurarz          ,  8.785, 6.12  , 0.9231358488665828    ,    16.573941981329387
