name                 , method             , Ealpha, Texp    , Tcal                  , HF
277Cn_l_upper        , Poenaru            , 11.11 ,  0.00107, 1.3244857011561644e-06,   807.8607410151579
277Cn_l_mean         , Poenaru            , 11.11 ,  0.00061, 1.3244857011561644e-06,   460.5561233824732
277Cn_l_lower        , Poenaru            , 11.11 ,  0.00043, 1.3244857011561644e-06,   324.65431648272704
277Cn_h_upper        , Poenaru            , 11.39 ,  0.00107, 3.694276651806463e-07 ,  2896.372147648393
277Cn_h_mean         , Poenaru            , 11.39 ,  0.00061, 3.694276651806463e-07 ,  1651.2028131453455
277Cn_h_lower        , Poenaru            , 11.39 ,  0.00043, 3.694276651806463e-07 ,  1163.962638774588
273Ds_a              , Poenaru            , 10.858,  0.00576, 2.508497017585703e-06 ,  2296.195673991153
273Ds_a_upper        , Poenaru            , 10.858,  0.03339, 2.508497017585703e-06 , 13310.759297667466
273Ds_a_lower        , Poenaru            , 10.858,  0.00313, 2.508497017585703e-06 ,  1247.7591075681091
273Ds_b              , Poenaru            , 10.894,  0.017  , 2.109818992974211e-06 ,  8057.563258559497
273Ds_b_upper        , Poenaru            , 10.894,  0.049  , 2.109818992974211e-06 , 23224.741157024433
273Ds_b_lower        , Poenaru            , 10.894,  0.01   , 2.109818992974211e-06 ,  4739.743093270292
273Ds_c              , Poenaru            , 11.165,  0.00016, 5.909257412637387e-07 ,   270.76160137791277
273Ds_c_upper        , Poenaru            , 11.165,  0.00024, 5.909257412637387e-07 ,   406.1424020668691
273Ds_c_lower        , Poenaru            , 11.165,  0.00011, 5.909257412637387e-07 ,   186.148600947315
269Hs_a              , Poenaru            ,  9.13 ,  9.6    , 0.01886451555313984   ,   508.89194439992707
269Hs_a_upper        , Poenaru            ,  9.13 , 14.05   , 0.01886451555313984   ,   744.78456446031
269Hs_a_lower        , Poenaru            ,  9.13 ,  6.92   , 0.01886451555313984   ,   366.8262765882808
269Hs_b              , Poenaru            ,  8.95 ,  6.49   , 0.06070186969416852   ,   106.91598187499451
269Hs_b_upper        , Poenaru            ,  8.95 , 37.58   , 0.06070186969416852   ,   619.0913095319404
269Hs_b_lower        , Poenaru            ,  8.95 ,  3.52   , 0.06070186969416852   ,    57.98832915253939
265Sga->261Rfa_upper , Poenaru            ,  8.84 , 11.1    , 0.05702533860985186   ,   213.90144267718333
265Sga->261Rfa_center, Poenaru            ,  8.84 ,  8.5    , 0.05702533860985186   ,   163.79840205009538
265Sga->261Rfa_lower , Poenaru            ,  8.84 ,  6.9    , 0.05702533860985186   ,   132.96576166419504
265Sga->261Rfb_upper , Poenaru            ,  8.84 , 11.1    , 0.05702533860985186   ,  2162.781253735965
265Sga->261Rfb_center, Poenaru            ,  8.84 ,  8.5    , 0.05702533860985186   ,  1656.1838429509642
265Sga->261Rfb_lower , Poenaru            ,  8.84 ,  6.9    , 0.05702533860985186   ,  1344.4315901601944
265Sgb->261Rfa_upper , Poenaru            ,  8.69 , 18.1    , 0.15764288013823302   ,   574.0823811430167
265Sgb->261Rfa_center, Poenaru            ,  8.69 , 14.4    , 0.15764288013823302   ,   456.72852422427854
265Sgb->261Rfa_lower , Poenaru            ,  8.69 , 11.9    , 0.15764288013823302   ,   377.43537765756355
265Sgb->261Rfb_upper , Poenaru            ,  8.69 , 18.1    , 0.15764288013823302   ,   143.52059528575418
265Sgb->261Rfb_center, Poenaru            ,  8.69 , 14.4    , 0.15764288013823302   ,   114.18213105606964
265Sgb->261Rfb_lower , Poenaru            ,  8.69 , 11.9    , 0.15764288013823302   ,    94.35884441439089
261Rfa->257No_upper  , Poenaru            ,  8.28 , 71.0    , 1.176181101993177     ,    60.36485357542488
261Rfa->257No_center , Poenaru            ,  8.28 , 68.0    , 1.176181101993177     ,    57.81422595956185
261Rfa->257No_lower  , Poenaru            ,  8.28 , 65.0    , 1.176181101993177     ,    55.26359834369883
261Rfb->257No_upper  , Poenaru            ,  8.51 ,  3.3    , 0.2242303889691396    ,    81.76114494390193
261Rfb->257No_center , Poenaru            ,  8.51 ,  2.6    , 0.2242303889691396    ,    64.41787177398335
261Rfb->257No_lower  , Poenaru            ,  8.51 ,  2.1    , 0.2242303889691396    ,    52.02981950975578
257No->253Fm_1_upper , Poenaru            ,  8.222, 25.0    , 0.654058573018004     ,    46.05165832278103
257No->253Fm_1_center, Poenaru            ,  8.222, 24.5    , 0.654058573018004     ,    45.13062515632541
257No->253Fm_1_lower , Poenaru            ,  8.222, 24.0    , 0.654058573018004     ,    44.209591989869786
257No->253Fm_2_upper , Poenaru            ,  8.323, 25.0    , 0.3129408515346091    ,   469.9252999672626
257No->253Fm_2_center, Poenaru            ,  8.323, 24.5    , 0.3129408515346091    ,   460.5267939679173
257No->253Fm_2_lower , Poenaru            ,  8.323, 24.0    , 0.3129408515346091    ,   451.128287968572
277Cn_l_upper        , DZR                , 11.11 ,  0.00107, 0.0005034727565057756 ,     2.1252391240115203
277Cn_l_mean         , DZR                , 11.11 ,  0.00061, 0.0005034727565057756 ,     1.2115849211654461
277Cn_l_lower        , DZR                , 11.11 ,  0.00043, 0.0005034727565057756 ,     0.8540680591821997
277Cn_h_upper        , DZR                , 11.39 ,  0.00107, 0.0001095235688277532 ,     9.769586687617712
277Cn_h_mean         , DZR                , 11.39 ,  0.00061, 0.0001095235688277532 ,     5.56957745742692
277Cn_h_lower        , DZR                , 11.39 ,  0.00043, 0.0001095235688277532 ,     3.926095584743567
273Ds_a              , DZR                , 10.858,  0.00576, 0.000492573303488954  ,    11.693690988125525
273Ds_a_upper        , DZR                , 10.858,  0.03339, 0.000492573303488954  ,    67.78686494679016
273Ds_a_lower        , DZR                , 10.858,  0.00313, 0.000492573303488954  ,     6.354384165422377
273Ds_b              , DZR                , 10.894,  0.017  , 0.0004022381819168442 ,    42.263516404602434
273Ds_b_upper        , DZR                , 10.894,  0.049  , 0.0004022381819168442 ,   121.81837081326583
273Ds_b_lower        , DZR                , 10.894,  0.01   , 0.0004022381819168442 ,    24.86089200270731
273Ds_c              , DZR                , 11.165,  0.00016, 9.033399034676905e-05 ,     1.771204829829846
273Ds_c_upper        , DZR                , 11.165,  0.00024, 9.033399034676905e-05 ,     2.6568072447447686
273Ds_c_lower        , DZR                , 11.165,  0.00011, 9.033399034676905e-05 ,     1.217703320508019
269Hs_a              , DZR                ,  9.13 ,  9.6    , 6.25345092186605      ,     1.5351523694592821
269Hs_a_upper        , DZR                ,  9.13 , 14.05   , 6.25345092186605      ,     2.2467594573857204
269Hs_a_lower        , DZR                ,  9.13 ,  6.92   , 6.25345092186605      ,     1.1065889996518994
269Hs_b              , DZR                ,  8.95 ,  6.49   , 23.232149452648336    ,     0.27935426350574616
269Hs_b_upper        , DZR                ,  8.95 , 37.58   , 23.232149452648336    ,     1.617586012718943
269Hs_b_lower        , DZR                ,  8.95 ,  3.52   , 23.232149452648336    ,     0.1515141768166759
265Sga->261Rfa_upper , DZR                ,  8.84 , 11.1    , 9.869391052654725     ,     1.2359224731014344
265Sga->261Rfa_center, DZR                ,  8.84 ,  8.5    , 9.869391052654725     ,     0.9464271190416391
265Sga->261Rfa_lower , DZR                ,  8.84 ,  6.9    , 9.869391052654725     ,     0.7682761319279187
265Sga->261Rfb_upper , DZR                ,  8.84 , 11.1    , 9.869391052654725     ,    12.496549450247837
265Sga->261Rfb_center, DZR                ,  8.84 ,  8.5    , 9.869391052654725     ,     9.569429759198794
265Sga->261Rfb_lower , DZR                ,  8.84 ,  6.9    , 9.869391052654725     ,     7.768125333937846
265Sgb->261Rfa_upper , DZR                ,  8.69 , 18.1    , 30.37500046385655     ,     2.9794238228139833
265Sgb->261Rfa_center, DZR                ,  8.69 , 14.4    , 30.37500046385655     ,     2.370370334172451
265Sgb->261Rfa_lower , DZR                ,  8.69 , 11.9    , 30.37500046385655     ,     1.9588477067119558
265Sgb->261Rfb_upper , DZR                ,  8.69 , 18.1    , 30.37500046385655     ,     0.7448559557034958
265Sgb->261Rfb_center, DZR                ,  8.69 , 14.4    , 30.37500046385655     ,     0.5925925835431127
265Sgb->261Rfb_lower , DZR                ,  8.69 , 11.9    , 30.37500046385655     ,     0.48971192667798896
261Rfa->257No_upper  , DZR                ,  8.28 , 71.0    , 132.3482837606866     ,     0.5364633222474033
261Rfa->257No_center , DZR                ,  8.28 , 68.0    , 132.3482837606866     ,     0.5137958579270906
261Rfa->257No_lower  , DZR                ,  8.28 , 65.0    , 132.3482837606866     ,     0.49112839360677774
261Rfb->257No_upper  , DZR                ,  8.51 ,  3.3    , 21.785985488746984    ,     0.8415195788504938
261Rfb->257No_center , DZR                ,  8.51 ,  2.6    , 21.785985488746984    ,     0.6630154257609951
261Rfb->257No_lower  , DZR                ,  8.51 ,  2.1    , 21.785985488746984    ,     0.5355124592684961
257No->253Fm_1_upper , DZR                ,  8.222, 25.0    , 36.3484791628096      ,     0.8286586570182829
257No->253Fm_1_center, DZR                ,  8.222, 24.5    , 36.3484791628096      ,     0.8120854838779172
257No->253Fm_1_lower , DZR                ,  8.222, 24.0    , 36.3484791628096      ,     0.7955123107375516
257No->253Fm_2_upper , DZR                ,  8.323, 25.0    , 16.427715774978374    ,     8.951872892359276
257No->253Fm_2_center, DZR                ,  8.323, 24.5    , 16.427715774978374    ,     8.77283543451209
257No->253Fm_2_lower , DZR                ,  8.323, 24.0    , 16.427715774978374    ,     8.593797976664904
277Cn_l_upper        , Ismail2022_FormulaE, 11.11 ,  0.00107, 0.00047231778936670794,     2.265423882159245
277Cn_l_mean         , Ismail2022_FormulaE, 11.11 ,  0.00061, 0.00047231778936670794,     1.2915033346889153
277Cn_l_lower        , Ismail2022_FormulaE, 11.11 ,  0.00043, 0.00047231778936670794,     0.9104039900266124
277Cn_h_upper        , Ismail2022_FormulaE, 11.39 ,  0.00107, 0.00010309364162050137,    10.378913608841014
277Cn_h_mean         , Ismail2022_FormulaE, 11.39 ,  0.00061, 0.00010309364162050137,     5.916950748965437
277Cn_h_lower        , Ismail2022_FormulaE, 11.39 ,  0.00043, 0.00010309364162050137,     4.170965282057604
273Ds_a              , Ismail2022_FormulaE, 10.858,  0.00576, 0.0004771224242798615 ,    12.07237326707874
273Ds_a_upper        , Ismail2022_FormulaE, 10.858,  0.03339, 0.0004771224242798615 ,    69.98203878259707
273Ds_a_lower        , Ismail2022_FormulaE, 10.858,  0.00313, 0.0004771224242798615 ,     6.560161167700773
273Ds_b              , Ismail2022_FormulaE, 10.894,  0.017  , 0.00038983012860722933,    43.608738146374094
273Ds_b_upper        , Ismail2022_FormulaE, 10.894,  0.049  , 0.00038983012860722933,   125.69577465719591
273Ds_b_lower        , Ismail2022_FormulaE, 10.894,  0.01   , 0.00038983012860722933,    25.65219890963182
273Ds_c              , Ismail2022_FormulaE, 11.165,  0.00016, 8.789457117213587e-05 ,     1.820362712580397
273Ds_c_upper        , Ismail2022_FormulaE, 11.165,  0.00024, 8.789457117213587e-05 ,     2.730544068870595
273Ds_c_lower        , Ismail2022_FormulaE, 11.165,  0.00011, 8.789457117213587e-05 ,     1.251499364899023
269Hs_a              , Ismail2022_FormulaE,  9.13 ,  9.6    , 6.0854368962694005    ,     1.577536693525679
