Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Qalpha_DZR_MeV,l_used,parity_case,log10T_Royer_s,T_Royer_s,log10T_DZR_s,T_DZR_s,Talpha_exp_s,HF_Royer,HF_DZR
273Ds_a,273,110,10.858,0.00576,1.0,0,163,11.019457249070632,0.0,evenZ-oddN,-3.142254750140438,0.0007206846131981934,-3.3075291297718197,0.000492573303488954,0.00576,7.992400412766909,11.693690988125525
273Ds_a_upper,273,110,10.858,0.03339,1.0,0,163,11.019457249070632,0.0,evenZ-oddN,-3.142254750140438,0.0007206846131981934,-3.3075291297718197,0.000492573303488954,0.03339,46.33094614275817,67.78686494679016
273Ds_a_lower,273,110,10.858,0.00313,1.0,0,163,11.019457249070632,0.0,evenZ-oddN,-3.142254750140438,0.0007206846131981934,-3.3075291297718197,0.000492573303488954,0.00313,4.343092585409796,6.354384165422377
273Ds_b,273,110,10.894,0.017,1.0,0,163,11.055992565055762,0.0,evenZ-oddN,-3.2290970695869277,0.0005900691784890366,-3.395516706964668,0.0004022381819168442,0.017,28.810181279983357,42.263516404602434
273Ds_b_upper,273,110,10.894,0.049,1.0,0,163,11.055992565055762,0.0,evenZ-oddN,-3.2290970695869277,0.0005900691784890366,-3.395516706964668,0.0004022381819168442,0.049,83.04111074818732,121.81837081326583
273Ds_b_lower,273,110,10.894,0.01,1.0,0,163,11.055992565055762,0.0,evenZ-oddN,-3.2290970695869277,0.0005900691784890366,-3.395516706964668,0.0004022381819168442,0.01,16.94716545881374,24.86089200270731
273Ds_c,273,110,11.165,0.00016,1.0,0,163,11.331022304832713,0.0,evenZ-oddN,-3.8692864880275266,0.00013511809449839965,-4.0441488051411385,9.033399034676905e-05,0.00016,1.1841493220724413,1.771204829829846
273Ds_c_upper,273,110,11.165,0.00024,1.0,0,163,11.331022304832713,0.0,evenZ-oddN,-3.8692864880275266,0.00013511809449839965,-4.0441488051411385,9.033399034676905e-05,0.00024,1.776223983108662,2.6568072447447686
273Ds_c_lower,273,110,11.165,0.00011,1.0,0,163,11.331022304832713,0.0,evenZ-oddN,-3.8692864880275266,0.00013511809449839965,-4.0441488051411385,9.033399034676905e-05,0.00011,0.8141026589248034,1.217703320508019
269Hs_a,269,108,9.13,9.6,1.0,0,161,9.267811320754719,0.0,evenZ-oddN,0.9002709497115831,7.948239586310163,0.7961197457792608,6.25345092186605,9.6,1.2078146230688347,1.5351523694592821
269Hs_a_upper,269,108,9.13,14.05,1.0,0,161,9.267811320754719,0.0,evenZ-oddN,0.9002709497115831,7.948239586310163,0.7961197457792608,6.25345092186605,14.05,1.7676870264705342,2.2467594573857204
269Hs_a_lower,269,108,9.13,6.92,1.0,0,161,9.267811320754719,0.0,evenZ-oddN,0.9002709497115831,7.948239586310163,0.7961197457792608,6.25345092186605,6.92,0.8706330407954517,1.1065889996518994
269Hs_b,269,108,8.95,6.49,1.0,0,161,9.085094339622641,0.0,evenZ-oddN,1.462821797738762,29.02831303279312,1.3660893928497047,23.232149452648336,6.49,0.2235748247811812,0.27935426350574616
269Hs_b_upper,269,108,8.95,37.58,1.0,0,161,9.085094339622641,0.0,evenZ-oddN,1.462821797738762,29.02831303279312,1.3660893928497047,23.232149452648336,37.58,1.294598137947117,1.617586012718943
269Hs_b_lower,269,108,8.95,3.52,1.0,0,161,9.085094339622641,0.0,evenZ-oddN,1.462821797738762,29.02831303279312,1.3660893928497047,23.232149452648336,3.52,0.12126092191521692,0.1515141768166759
