Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Ad_calc,Zd_calc,Qalpha_calc_MeV,x_calc,Ks_calc,y_calc,z_calc,N_interval,Z_interval,F_yz_calc,log10_T12a_Poenaru_s,T12a_Poenaru_s,energy_source,Ealpha_used_MeV,param_set,B1,B2,B3,B4,B5,B6,Texp_s_used,Br_alpha_used,T12a_exp_s,HF_Poenaru,log10_HF_Poenaru
273Ds_GSI_cal,273,110,10.929,0.0289,1.0,0,163,269,108,11.091513011152417,0.35128943565056336,37.3766119149338,0.6206896551724138,0.84375,"(127,185]","(83,115]",1.0230277279733486,-3.839747104930474,0.00014462817133857573,Ealpha,10.929,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.0289,1.0,0.0289,199.82275743737964,2.300644947687022
257Rf8286,257,104,8.286,4.37,0.022,0,153,253,102,8.41700395256917,0.2776800661884672,50.11347714894183,0.4482758620689655,0.65625,"(127,185]","(83,115]",1.012791609513182,1.5964032685727538,39.48237495361351,Ealpha,8.286,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,4.37,0.022,198.63636363636365,5.031013556548579,0.7016554875754618
257Rf8965,257,104,8.965,4.37,0.72,0,153,253,102,9.106739130434782,0.30043468421187647,45.15035190808881,0.4482758620689655,0.65625,"(127,185]","(83,115]",1.012791609513182,-0.5866264123685667,0.25904402985869723,Ealpha,8.965,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,4.37,0.72,6.069444444444445,23.430165318827044,1.3697753529077201
257Rf9023,257,104,9.023,4.37,0.058,0,153,253,102,9.165656126482213,0.302378377651284,44.75478465393335,0.4482758620689655,0.65625,"(127,185]","(83,115]",1.012791609513182,-0.7606165928946993,0.17353353234260666,Ealpha,9.023,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,4.37,0.058,75.34482758620689,434.18022193805086,2.637670036302184
257Rf8497,257,104,8.497,6.12,0.06,0,153,253,102,8.631339920948616,0.2847510888732085,48.502268246110006,0.4482758620689655,0.65625,"(127,185]","(83,115]",1.012791609513182,0.8877133430946209,7.721707440734632,Ealpha,8.497,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,6.12,0.06,102.0,13.209513670760863,1.1208868286672966
257Rf8785,257,104,8.785,6.12,0.4,0,153,253,102,8.923893280632411,0.2944025321585426,46.40508027165455,0.4482758620689655,0.65625,"(127,185]","(83,115]",1.012791609513182,-0.03473438340333246,0.9231358488665828,Ealpha,8.785,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,6.12,0.4,15.299999999999999,16.573941981329387,1.219425814220931
259Sg9040,259,106,9.04,0.402,0.11,0,153,255,104,9.181803921568626,0.2977100195259562,46.20921897246027,0.4482758620689655,0.71875,"(127,185]","(83,115]",1.0137230472825787,-0.1021914641773023,0.790330124222132,Ealpha,9.04,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.402,0.11,3.6545454545454548,4.624074601916983,0.6650248321035473
259Sg9614,259,106,9.614,0.402,0.89,0,153,255,104,9.764807843137255,0.3166132884648831,42.43662308679323,0.4482758620689655,0.71875,"(127,185]","(83,115]",1.0137230472825787,-1.7630931216319183,0.017254678766692778,Ealpha,9.614,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.402,0.89,0.451685393258427,26.177560264426877,1.4179291680714756
259Sg9200,259,106,9.2,0.226,0.43,0,153,255,104,9.344313725490196,0.3029792234113714,45.11887393529113,0.4482758620689655,0.71875,"(127,185]","(83,115]",1.0137230472825787,-0.5822205832016571,0.2616853540374039,Ealpha,9.2,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.226,0.43,0.5255813953488372,2.008447883077604,0.3028605667694715
259Sg9550,259,106,9.55,0.226,0.54,0,153,255,104,9.699803921568629,0.3145056069107171,42.83874738142794,0.4482758620689655,0.71875,"(127,185]","(83,115]",1.0137230472825787,-1.586056161484926,0.0259384391335914,Ealpha,9.55,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.226,0.54,0.4185185185185185,16.135069514515195,1.2077708408093584
259Sg9614,259,106,9.614,0.226,0.03,0,153,255,104,9.764807843137255,0.3166132884648831,42.43662308679323,0.4482758620689655,0.71875,"(127,185]","(83,115]",1.0137230472825787,-1.7630931216319183,0.017254678766692778,Ealpha,9.614,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.226,0.03,7.533333333333334,436.5965565163202,2.640080306059657
