Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Ad,Zd,Ac_used,Zc_used,Qc_Ismail_MeV,Q_source,parity_case,param_set_used,l_used,log10T_Ismail2022_FE_s,T_Ismail2022_FE_s,Talpha_exp_s,HF_Ismail2022_FE,log10HF_Ismail2022_FE
273Ds_a,273,110,10.858,0.00576,1.0,0,163,269,108,4,2,11.019457249070632,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-3.3213701715522763,0.0004771224242798615,0.00576,12.07237326707874,1.0817926549754884
273Ds_a_upper,273,110,10.858,0.03339,1.0,0,163,269,108,4,2,11.019457249070632,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-3.3213701715522763,0.0004771224242798615,0.03339,69.98203878259707,1.8449865906066472
273Ds_a_lower,273,110,10.858,0.00313,1.0,0,163,269,108,4,2,11.019457249070632,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-3.3213701715522763,0.0004771224242798615,0.00313,6.560161167700773,0.8169145090987248
273Ds_b,273,110,10.894,0.017,1.0,0,163,269,108,4,2,11.055992565055762,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-3.409124598819682,0.00038983012860722933,0.017,43.608738146374094,1.639573520197956
273Ds_b_upper,273,110,10.894,0.049,1.0,0,163,269,108,4,2,11.055992565055762,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-3.409124598819682,0.00038983012860722933,0.049,125.69577465719591,2.099320678848196
273Ds_b_lower,273,110,10.894,0.01,1.0,0,163,269,108,4,2,11.055992565055762,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-3.409124598819682,0.00038983012860722933,0.01,25.65219890963182,1.409124598819682
273Ds_c,273,110,11.165,0.00016,1.0,0,163,269,108,4,2,11.331022304832713,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-4.056037948393752,8.789457117213587e-05,0.00016,1.820362712580397,0.26015793104967666
273Ds_c_upper,273,110,11.165,0.00024,1.0,0,163,269,108,4,2,11.331022304832713,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-4.056037948393752,8.789457117213587e-05,0.00024,2.730544068870595,0.43624919010535784
273Ds_c_lower,273,110,11.165,0.00011,1.0,0,163,269,108,4,2,11.331022304832713,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-4.056037948393752,8.789457117213587e-05,0.00011,1.251499364899023,0.09743063355197694
269Hs_a,269,108,9.13,9.6,1.0,0,161,265,106,4,2,9.267811320754719,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,0.7842917633101546,6.0854368962694005,9.6,1.577536693525679,0.19797946972941383
269Hs_a_upper,269,108,9.13,14.05,1.0,0,161,265,106,4,2,9.267811320754719,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,0.7842917633101546,6.0854368962694005,14.05,2.308790681670395,0.3633845609309441
269Hs_a_lower,269,108,9.13,6.92,1.0,0,161,265,106,4,2,9.267811320754719,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,0.7842917633101546,6.0854368962694005,6.92,1.1371410332497602,0.055814331146603204
269Hs_b,269,108,8.95,6.49,1.0,0,161,265,106,4,2,9.085094339622641,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,1.352493328072587,22.516108257009563,6.49,0.28823808830194164,-0.5402486312722178
269Hs_b_upper,269,108,8.95,37.58,1.0,0,161,265,106,4,2,9.085094339622641,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,1.352493328072587,22.516108257009563,37.58,1.6690273279486851,0.22246344769191972
269Hs_b_lower,269,108,8.95,3.52,1.0,0,161,265,106,4,2,9.085094339622641,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,1.352493328072587,22.516108257009563,3.52,0.1563325224688497,-0.8059506645944561
