Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N,Ad,Zd,Qalpha_MeV,x,Ks,y,z,N_interval,Z_interval,F_yz,log10_Tcalc_s,Tcalc_s,Br_alpha,Talpha_exp_s,HF,log10_HF
273Ds_GSI_cal,273,110,10.929,0.0289,1.0,0,163,269,108,11.091513011152417,0.35128943565056336,37.3766119149338,0.6206896551724138,0.84375,"(127,185]","(83,115]",0.9054430180124111,-5.748435771730321,1.784695909587367e-06,1.0,0.0289,16193.234850121811,4.209333614486869
257Rf8286,257,104,8.286,4.37,0.022,0,153,253,102,8.41700395256917,0.2776800661884672,50.11347714894183,0.4482758620689655,0.65625,"(127,185]","(83,115]",0.9416601183022445,0.04829702476207842,1.1176273595097934,0.022,198.63636363636365,177.7304053503918,2.2497617313861373
257Rf8965,257,104,8.965,4.37,0.72,0,153,253,102,9.106739130434782,0.30043468421187647,45.15035190808881,0.4482758620689655,0.65625,"(127,185]","(83,115]",0.9416601183022445,-1.9814117211472713,0.010437302697708567,0.72,6.069444444444445,581.5146518436172,2.7645606616864247
257Rf9023,257,104,9.023,4.37,0.058,0,153,253,102,9.165656126482213,0.302378377651284,44.75478465393335,0.4482758620689655,0.65625,"(127,185]","(83,115]",0.9416601183022445,-2.1431820324716533,0.007191474875664299,0.058,75.34482758620689,10476.964584993708,4.020235475879137
257Rf8497,257,104,8.497,6.12,0.06,0,153,253,102,8.631339920948616,0.2847510888732085,48.502268246110006,0.4482758620689655,0.65625,"(127,185]","(83,115]",0.9416601183022445,-0.6106194125355415,0.24512103824050857,0.06,102.0,416.120952865414,2.619219584297459
257Rf8785,257,104,8.785,6.12,0.4,0,153,253,102,8.923893280632411,0.2944025321585426,46.40508027165455,0.4482758620689655,0.65625,"(127,185]","(83,115]",0.9416601183022445,-1.4682807785091612,0.03401881813475563,0.4,15.299999999999999,449.75107422584495,2.65297220932676
259Sg9040,259,106,9.04,0.402,0.11,0,153,255,104,9.181803921568626,0.2977100195259562,46.20921897246027,0.4482758620689655,0.71875,"(127,185]","(83,115]",0.9283975170091411,-1.8145390878734666,0.0153271325112688,0.11,3.6545454545454548,238.43634494962205,2.3773724557997116
259Sg9614,259,106,9.614,0.402,0.89,0,153,255,104,9.764807843137255,0.3166132884648831,42.43662308679323,0.4482758620689655,0.71875,"(127,185]","(83,115]",0.9283975170091411,-3.3356418968810253,0.0004616981167880382,0.89,0.451685393258427,978.3132675539849,2.990477943320583
259Sg9200,259,106,9.2,0.226,0.43,0,153,255,104,9.344313725490196,0.3029792234113714,45.11887393529113,0.4482758620689655,0.71875,"(127,185]","(83,115]",0.9283975170091411,-2.2541639374701496,0.005569754621614001,0.43,0.5255813953488372,94.36347398667527,1.974803921037964
259Sg9550,259,106,9.55,0.226,0.54,0,153,255,104,9.699803921568629,0.3145056069107171,42.83874738142794,0.4482758620689655,0.71875,"(127,185]","(83,115]",0.9283975170091411,-3.173506218245816,0.0006706466842874021,0.54,0.4185185185185185,624.0521698295083,2.7952208975702484
259Sg9614,259,106,9.614,0.226,0.03,0,153,255,104,9.764807843137255,0.3166132884648831,42.43662308679323,0.4482758620689655,0.71875,"(127,185]","(83,115]",0.9283975170091411,-3.3356418968810253,0.0004616981167880382,0.03,7.533333333333334,16316.5779963357,4.212629081308764
