Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Ad,Zd,Qalpha_Xu_MeV,Q_source,l_used,X_Xu,bracket_Xu,F_Z_Xu,C_ZN_Xu,C_status,h_blocking_Xu,parity_case,log10T_Xu2022_s,T_Xu2022_s,Talpha_exp_s,HF_Xu2022,log10HF_Xu2022
273Ds_a,273,110,10.858,0.00576,1.0,0,163,269,108,11.019457249070632,Ealpha_MeV converted by A/(A-4),0.0,0.34902331525400415,0.462107316819699,119.00282282253778,0.0,outside_defined_region,0.2018,odd-A,-3.799921530322662,0.0001585179581763096,0.00576,36.33657704317333,1.5603440137458742
273Ds_a_upper,273,110,10.858,0.03339,1.0,0,163,269,108,11.019457249070632,Ealpha_MeV converted by A/(A-4),0.0,0.34902331525400415,0.462107316819699,119.00282282253778,0.0,outside_defined_region,0.2018,odd-A,-3.799921530322662,0.0001585179581763096,0.03339,210.63859504714537,2.323537949377033
273Ds_a_lower,273,110,10.858,0.00313,1.0,0,163,269,108,11.019457249070632,Ealpha_MeV converted by A/(A-4),0.0,0.34902331525400415,0.462107316819699,119.00282282253778,0.0,outside_defined_region,0.2018,odd-A,-3.799921530322662,0.0001585179581763096,0.00313,19.745396900196614,1.2954658678691107
273Ds_b,273,110,10.894,0.017,1.0,0,163,269,108,11.055992565055762,Ealpha_MeV converted by A/(A-4),0.0,0.35018051173117715,0.4605289424594044,119.00282282253778,0.0,outside_defined_region,0.2018,odd-A,-3.8831888781789012,0.00013086126729987285,0.017,129.90856921050556,2.1136377995571753
273Ds_b_upper,273,110,10.894,0.049,1.0,0,163,269,108,11.055992565055762,Ealpha_MeV converted by A/(A-4),0.0,0.35018051173117715,0.4605289424594044,119.00282282253778,0.0,outside_defined_region,0.2018,odd-A,-3.8831888781789012,0.00013086126729987285,0.049,374.4423465479278,2.573384958207415
273Ds_b_lower,273,110,10.894,0.01,1.0,0,163,269,108,11.055992565055762,Ealpha_MeV converted by A/(A-4),0.0,0.35018051173117715,0.4605289424594044,119.00282282253778,0.0,outside_defined_region,0.2018,odd-A,-3.8831888781789012,0.00013086126729987285,0.01,76.41680541794445,1.8831888781789012
273Ds_c,273,110,11.165,0.00016,1.0,0,163,269,108,11.331022304832713,Ealpha_MeV converted by A/(A-4),0.0,0.3588916296565625,0.44877482467541585,119.00282282253778,0.0,outside_defined_region,0.2018,odd-A,-4.495452556693884,3.195563436279156e-05,0.00016,5.006941755044629,0.6995725393498089
273Ds_c_upper,273,110,11.165,0.00024,1.0,0,163,269,108,11.331022304832713,Ealpha_MeV converted by A/(A-4),0.0,0.3588916296565625,0.44877482467541585,119.00282282253778,0.0,outside_defined_region,0.2018,odd-A,-4.495452556693884,3.195563436279156e-05,0.00024,7.5104126325669425,0.8756637984054901
273Ds_c_lower,273,110,11.165,0.00011,1.0,0,163,269,108,11.331022304832713,Ealpha_MeV converted by A/(A-4),0.0,0.3588916296565625,0.44877482467541585,119.00282282253778,0.0,outside_defined_region,0.2018,odd-A,-4.495452556693884,3.195563436279156e-05,0.00011,3.442272456593182,0.5368452418521091
269Hs_a,269,108,9.13,9.6,1.0,0,161,265,106,9.267811320754719,Ealpha_MeV converted by A/(A-4),0.0,0.29788554182825056,0.5361370601265562,116.78627719921462,0.0,outside_defined_region,0.2018,odd-A,0.1696936729480583,1.4780654756376905,9.6,6.494976141607133,0.8125775600915102
269Hs_a_upper,269,108,9.13,14.05,1.0,0,161,265,106,9.267811320754719,Ealpha_MeV converted by A/(A-4),0.0,0.29788554182825056,0.5361370601265562,116.78627719921462,0.0,outside_defined_region,0.2018,odd-A,0.1696936729480583,1.4780654756376905,14.05,9.505668207247941,0.9779826512930405
269Hs_a_lower,269,108,9.13,6.92,1.0,0,161,265,106,9.267811320754719,Ealpha_MeV converted by A/(A-4),0.0,0.29788554182825056,0.5361370601265562,116.78627719921462,0.0,outside_defined_region,0.2018,odd-A,0.1696936729480583,1.4780654756376905,6.92,4.681795302075142,0.6704124215086995
269Hs_b,269,108,8.95,6.49,1.0,0,161,265,106,9.085094339622641,Ealpha_MeV converted by A/(A-4),0.0,0.2920126614855248,0.5452172392606451,116.78627719921462,0.0,outside_defined_region,0.2018,odd-A,0.7231464037921262,5.28623424498675,6.49,1.2277170664835468,0.089098293008243
269Hs_b_upper,269,108,8.95,37.58,1.0,0,161,265,106,9.085094339622641,Ealpha_MeV converted by A/(A-4),0.0,0.2920126614855248,0.5452172392606451,116.78627719921462,0.0,outside_defined_region,0.2018,odd-A,0.7231464037921262,5.28623424498675,37.58,7.109030409622756,0.8518103719723805
269Hs_b_lower,269,108,8.95,3.52,1.0,0,161,265,106,9.085094339622641,Ealpha_MeV converted by A/(A-4),0.0,0.2920126614855248,0.5452172392606451,116.78627719921462,0.0,outside_defined_region,0.2018,odd-A,0.7231464037921262,5.28623424498675,3.52,0.6658804428385339,-0.17660374031399523
