Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l
246Fm,246,100,8.24276,1.54,0.936,0
248Fm,248,100,7.86605,34.5,0.0099,0
250Fm,250,100,7.43609,1860,1,0
252Fm,252,100,7.02243,91368,1,0
254Fm,254,100,7.19222,11664,0.9994,0
256Fm,256,100,6.91553,9426,0.919,0
252No,252,102,8.4133,2.467,0.676,0
254No,254,102,8.09646,51.2,0.9,0
256No,256,102,8.44791,2.91,0.9945,0
256Rf,256,104,8.78653,0.0066,0.0031,0
258Rf,258,104,9.05343,0.0125,0.951,0
260Sg,260,106,9.74868,0.00495,0.71,0
262Sg,262,106,9.45344,0.0085,0.06,0
264Hs,264,108,10.4305,0.00063,0.7,0
266Hs,266,108,10.1904,0.00074,0.76,0
268Hs,268,108,9.47937,0.4,1,0
270Hs,270,108,8.93563,7.6,1,0
272Hs,272,108,9.62829,0.16,1,0
270Ds,270,110,10.9523,0.0002,1,0
276Ds,276,110,10.746,0.00015,0.43,0
284Cn,284,112,9.32676,0.098,0.02,0
284Fl,284,114,10.57,0.0025,0.24,0
286Fl,286,114,10.1905,105,0.4,0
288Fl,288,114,9.93606,0.64,1,0
290Fl,290,114,9.724,0.46,1,0
288Lv,288,116,11.0839,0.002,1,0
290Lv,290,116,10.8483,0.0083,1,0
292Lv,292,116,10.6432,0.013,1,0
294Og,294,118,11.7085,0.00058,1,0
