name,method,Ealpha,Texp,Tcal,HF
246Fm,Poenaru,8.24276,1.54,0.19363815352948444,8.49677150556294
250Fm,Poenaru,7.43609,1860.0,107.09480761604127,17.367788797646607
252Fm,Poenaru,7.02243,91368.0,4347.597894261531,21.015742996977295
254Fm,Poenaru,7.19222,11664.0,918.9358773675852,12.700562562639393
256Fm,Poenaru,6.91553,9426.0,12290.562481755293,0.834526563429226
252No,Poenaru,8.4133,2.467,0.16569940874483902,22.02426859376066
254No,Poenaru,8.09646,51.2,1.6685743813599028,34.09430800593016
256No,Poenaru,8.44791,2.91,0.12836468703045253,22.795159494562846
256Rf,Poenaru,8.78653,0.0066,0.03376520756392072,63.05402547975034
258Rf,Poenaru,9.05343,0.0125,0.005906028412771801,2.225532619680554
260Sg,Poenaru,9.74868,0.00495,0.0002122768308804457,32.84310848715293
262Sg,Poenaru,9.45344,0.0085,0.0011774419578475597,120.31732496236378
264Hs,Poenaru,10.4305,0.00063,1.1187600994821739e-05,80.44620114862619
266Hs,Poenaru,10.1904,0.00074,3.8867195862463576e-05,25.051568267796288
268Hs,Poenaru,9.47937,0.4,0.0021599792026760676,185.18696823766967
270Hs,Poenaru,8.93563,7.6,0.06718521500555091,113.12012619699259
272Hs,Poenaru,9.62829,0.16,0.000906010759839694,176.59834418336243
270Ds,Poenaru,10.9523,0.0002,1.6027198967705064e-06,124.78786867437138
276Ds,Poenaru,10.746,0.00015,4.346179178198296e-06,80.262960867374
284Cn,Poenaru,9.32676,0.098,0.021427871209810868,228.67413902303596
284Fl,Poenaru,10.57,0.0025,3.0067925765205098e-05,346.43782042062037
288Fl,Poenaru,9.93606,0.64,0.0009459552929587428,676.5647433487252
290Fl,Poenaru,9.724,0.46,0.003322007531180422,138.47048680125852
288Lv,Poenaru,11.0839,0.002,0.002147909949140354,0.9311377326598115
290Lv,Poenaru,10.8483,0.0083,0.008288546884061757,1.0013818002236636
292Lv,Poenaru,10.6432,0.013,0.028213137609772013,0.4607782438028895
294Og,Poenaru,11.7085,0.00058,8.862582987025688e-05,6.544367492514165
246Fm,DZR,8.24276,1.54,3.059706427504285,0.5377310484787812
250Fm,DZR,7.43609,1860.0,2232.9875792450302,0.832964776556824
252Fm,DZR,7.02243,91368.0,102554.63389439831,0.8909202493383447
254Fm,DZR,7.19222,11664.0,18351.64725179419,0.6359648505351417
256Fm,DZR,6.91553,9426.0,255301.03550210316,0.04017532028547894
252No,DZR,8.4133,2.467,4.314123639787007,0.8459211160215714
254No,DZR,8.09646,51.2,48.569639096283815,1.171284982705206
256No,DZR,8.44791,2.91,2.8313460345967263,1.033463758429505
256Rf,DZR,8.78653,0.0066,1.443961951806638,1.4744379208889407
258Rf,DZR,9.05343,0.0125,0.19739764948820235,0.06658670414497198
260Sg,DZR,9.74868,0.00495,0.010101870202596678,0.6901525010807791
262Sg,DZR,9.45344,0.0085,0.06433384191747703,2.2020551306167415
264Hs,DZR,10.4305,0.00063,0.000706975615281864,1.2730283485678346
266Hs,DZR,10.1904,0.00074,0.00275002349016196,0.3540639612750986
268Hs,DZR,9.47937,0.4,0.24598378982481006,1.6261234135992477
270Hs,DZR,8.93563,7.6,10.790916294160905,0.7042960757755531
272Hs,DZR,9.62829,0.16,0.0775632424110925,2.0628327932964035
270Ds,DZR,10.9523,0.0002,0.00014169537579662532,1.4114786659450271
276Ds,DZR,10.746,0.00015,0.0003597819883947707,0.9695794135185111
284Cn,DZR,9.32676,0.098,13.182180994862646,0.37171390697105633
284Fl,DZR,10.57,0.0025,0.019193192594007057,0.5427271474324288
288Fl,DZR,9.93606,0.64,0.9393330213216111,0.681334505945017
290Fl,DZR,9.724,0.46,3.6763317406931355,0.12512472552688395
288Lv,DZR,11.0839,0.002,0.003921396070986616,0.5100224419556793
290Lv,DZR,10.8483,0.0083,0.014463125747928034,0.5738731823713173
292Lv,DZR,10.6432,0.013,0.04631966733638634,0.2806583196202679
294Og,DZR,11.7085,0.00058,0.00045247322923114796,1.2818437921411356
246Fm,Ismail2022_FormulaE,8.24276,1.54,2.810605348664235,0.5853896015963566
250Fm,Ismail2022_FormulaE,7.43609,1860.0,1691.876063991305,1.099371307146502
252Fm,Ismail2022_FormulaE,7.02243,91368.0,69524.47028724183,1.3141847700890228
254Fm,Ismail2022_FormulaE,7.19222,11664.0,11342.756805164885,1.0289388022712949
256Fm,Ismail2022_FormulaE,6.91553,9426.0,139851.9808899323,0.0733404046567194
252No,Ismail2022_FormulaE,8.4133,2.467,3.778408557437944,0.9658585694338603
254No,Ismail2022_FormulaE,8.09646,51.2,38.945252222695956,1.4607400297111441
256No,Ismail2022_FormulaE,8.44791,2.91,2.1088851682304046,1.3875072756019877
256Rf,Ismail2022_FormulaE,8.78653,0.0066,1.3053669234288376,1.6309837639153115
258Rf,Ismail2022_FormulaE,9.05343,0.0125,0.16747677605135286,0.07848287503070568
260Sg,Ismail2022_FormulaE,9.74868,0.00495,0.0095219470263326,0.7321854413425266
262Sg,Ismail2022_FormulaE,9.45344,0.0085,0.05646655998862246,2.5088595213735587
264Hs,Ismail2022_FormulaE,10.4305,0.00063,0.0006856594462198926,1.3126049746150044
266Hs,Ismail2022_FormulaE,10.1904,0.00074,0.002503966304113047,0.38885675455253915
268Hs,Ismail2022_FormulaE,9.47937,0.4,0.20677010704889143,1.934515611124672
270Hs,Ismail2022_FormulaE,8.93563,7.6,8.330447448325014,0.9123159406675228
272Hs,Ismail2022_FormulaE,9.62829,0.16,0.05592487639366995,2.8609808428313337
270Ds,Ismail2022_FormulaE,10.9523,0.0002,0.00013315733273808872,1.5019826237687277
276Ds,Ismail2022_FormulaE,10.746,0.00015,0.00027435887212264666,1.2714631992887944
284Cn,Ismail2022_FormulaE,9.32676,0.098,8.738341522899896,0.5607471380191481
284Fl,Ismail2022_FormulaE,10.57,0.0025,0.01570592521561326,0.6632316481624057
288Fl,Ismail2022_FormulaE,9.93606,0.64,0.6587343501320944,0.9715600831680667
290Fl,Ismail2022_FormulaE,9.724,0.46,2.366872058580614,0.19434933051508357
288Lv,Ismail2022_FormulaE,11.0839,0.002,0.003334717339318125,0.5997509823153273
290Lv,Ismail2022_FormulaE,10.8483,0.0083,0.01149867813104385,0.7218221003675077
292Lv,Ismail2022_FormulaE,10.6432,0.013,0.0342188583918586,0.37990747239811423
294Og,Ismail2022_FormulaE,11.7085,0.00058,0.00037524281789819624,1.5456658257943117
246Fm,E. Rurarz,8.24276,1.54,1.7591576989684576,0.9352766646582752
250Fm,E. Rurarz,7.43609,1860.0,1313.8693366509506,1.4156658870973693
252Fm,E. Rurarz,7.02243,91368.0,63587.87133232256,1.4368777895157567
254Fm,E. Rurarz,7.19222,11664.0,12420.817379028382,0.9396324126998719
256Fm,E. Rurarz,6.91553,9426.0,187536.08476042852,0.05469241230888534
252No,E. Rurarz,8.4133,2.467,2.6459435836200567,1.3792464459996983
254No,E. Rurarz,8.09646,51.2,30.567260633317463,1.8611052384223659
256No,E. Rurarz,8.44791,2.91,2.002565673219189,1.461172311829863
256Rf,E. Rurarz,8.78653,0.0066,0.9178900862713092,2.319484968742999
258Rf,E. Rurarz,9.05343,0.0125,0.14008715232482202,0.09382772557833495
260Sg,E. Rurarz,9.74868,0.00495,0.007367218404554087,0.9463315193161395
262Sg,E. Rurarz,9.45344,0.0085,0.047557985633817725,2.9788197455934675
264Hs,E. Rurarz,10.4305,0.00063,0.0005677662799773602,1.5851593018801464
266Hs,E. Rurarz,10.1904,0.00074,0.0022475256579534623,0.43322495878108325
268Hs,E. Rurarz,9.47937,0.4,0.19276668763814359,2.075047327424483
270Hs,E. Rurarz,8.93563,7.6,8.668216943362298,0.8767662426607484
272Hs,E. Rurarz,9.62829,0.16,0.07236440217123218,2.2110318775438813
270Ds,E. Rurarz,10.9523,0.0002,0.00012959746719519146,1.5432400364643912
276Ds,E. Rurarz,10.746,0.00015,0.00039033228887823374,0.893692936100265
284Cn,E. Rurarz,9.32676,0.098,14.87955920057622,0.32931083064680067
284Fl,E. Rurarz,10.57,0.0025,0.019782963049758334,0.5265473448272915
288Fl,E. Rurarz,9.93606,0.64,1.1102794545970895,0.5764314536760029
290Fl,E. Rurarz,9.724,0.46,4.783080677675268,0.09617232720890982
288Lv,E. Rurarz,11.0839,0.002,0.0025838116981269674,0.7740502148240219
290Lv,E. Rurarz,10.8483,0.0083,0.010027710025373067,0.8277064234006118
292Lv,E. Rurarz,10.6432,0.013,0.03430779469426499,0.3789226359738338
294Og,E. Rurarz,11.7085,0.00058,0.0004283925167099659,1.3538985331825408
246Fm,Qi2009_UDL,8.24276,1.54,2.154063792362275,0.763811708424295
250Fm,Qi2009_UDL,7.43609,1860.0,1433.0802443135865,1.2979035942895847
252Fm,Qi2009_UDL,7.02243,91368.0,62357.439213563775,1.4652301497994475
254Fm,Qi2009_UDL,7.19222,11664.0,11523.033025663626,1.0128412003651954
256Fm,Qi2009_UDL,6.91553,9426.0,154764.04909319585,0.06627379504871303
252No,Qi2009_UDL,8.4133,2.467,2.7850895579199135,1.3103378574114093
254No,Qi2009_UDL,8.09646,51.2,30.38246781624524,1.8724248877002316
256No,Qi2009_UDL,8.44791,2.91,1.8575801027785466,1.5752179461612406
256Rf,Qi2009_UDL,8.78653,0.0066,0.8687693603233381,2.4506300006622403
258Rf,Qi2009_UDL,9.05343,0.0125,0.12284068937330347,0.10700085576237704
260Sg,Qi2009_UDL,9.74868,0.00495,0.005976240285268973,1.1665914777725026
262Sg,Qi2009_UDL,9.45344,0.0085,0.03724259101764093,3.8038885801356455
264Hs,Qi2009_UDL,10.4305,0.00063,0.0003966724585133122,2.2688744345223966
266Hs,Qi2009_UDL,10.1904,0.00074,0.0015209619295057295,0.640176582751638
268Hs,Qi2009_UDL,9.47937,0.4,0.12853647271310792,3.111957186601782
270Hs,Qi2009_UDL,8.93563,7.6,5.3812583915526115,1.4123090636068178
272Hs,Qi2009_UDL,9.62829,0.16,0.041518096007426425,3.8537412691415445
270Ds,Qi2009_UDL,10.9523,0.0002,7.448428429218537e-05,2.6851301841801183
276Ds,Qi2009_UDL,10.746,0.00015,0.00018900067173384147,1.845692960253456
284Cn,Qi2009_UDL,9.32676,0.098,5.587767216153408,0.8769155568676564
284Fl,Qi2009_UDL,10.57,0.0025,0.008012995340848495,1.29997163651959
288Fl,Qi2009_UDL,9.93606,0.64,0.3770310508363132,1.6974729231992458
290Fl,Qi2009_UDL,9.724,0.46,1.4572859584253062,0.3156552750271885
288Lv,Qi2009_UDL,11.0839,0.002,0.0015263300603521848,1.3103325761261104
290Lv,Qi2009_UDL,10.8483,0.0083,0.005564419494271174,1.4916201067416346
292Lv,Qi2009_UDL,10.6432,0.013,0.017644951072633617,0.7367546640671795
294Og,Qi2009_UDL,11.7085,0.00058,0.00016566729778388524,3.5009926989731928
246Fm,Viola-Seaborg,8.24276,1.54,2.701549430924395,0.6090205592633445
250Fm,Viola-Seaborg,7.43609,1860.0,2045.5196569574616,0.9093043880920673
252Fm,Viola-Seaborg,7.02243,91368.0,94580.25797895266,0.9660366967949326
254Fm,Viola-Seaborg,7.19222,11664.0,19066.543250774725,0.6121194832255035
256Fm,Viola-Seaborg,6.91553,9426.0,273312.2524675083,0.03752777556773004
252No,Viola-Seaborg,8.4133,2.467,3.991811476548627,0.9142236063660489
254No,Viola-Seaborg,8.09646,51.2,46.87833838271193,1.2135432025011517
256No,Viola-Seaborg,8.44791,2.91,3.127993673739272,0.9354537826896856
256Rf,Viola-Seaborg,8.78653,0.0066,1.2976508633086992,1.640681880052076
258Rf,Viola-Seaborg,9.05343,0.0125,0.19910366763182558,0.0660161565164599
260Sg,Viola-Seaborg,9.74868,0.00495,0.009094772064719595,0.7665756696597812
262Sg,Viola-Seaborg,9.45344,0.0085,0.06158193113766988,2.3004583333049893
264Hs,Viola-Seaborg,10.4305,0.00063,0.0006005624488019628,1.498595194880021
266Hs,Viola-Seaborg,10.1904,0.00074,0.002507244301840389,0.38834835911745963
268Hs,Viola-Seaborg,9.47937,0.4,0.2327852773923053,1.7183217275630935
270Hs,Viola-Seaborg,8.93563,7.6,10.67371089962304,0.7120297777850069
272Hs,Viola-Seaborg,9.62829,0.16,0.08782489697718204,1.8218068623703585
270Ds,Viola-Seaborg,10.9523,0.0002,0.00011969841544314777,1.6708658945864865
276Ds,Viola-Seaborg,10.746,0.00015,0.0003878456789467512,0.8994227040240371
284Cn,Viola-Seaborg,9.32676,0.098,13.99229394511116,0.3501927574721968
284Fl,Viola-Seaborg,10.57,0.0025,0.015959705024490747,0.6526854130876425
288Fl,Viola-Seaborg,9.93606,0.64,0.9068943067520844,0.7057051689871897
290Fl,Viola-Seaborg,9.724,0.46,3.830712538977465,0.12008209838757261
288Lv,Viola-Seaborg,11.0839,0.002,0.0028741354574217484,0.6958614267241621
290Lv,Viola-Seaborg,10.8483,0.0083,0.011483770668011635,0.7227591215418366
292Lv,Viola-Seaborg,10.6432,0.013,0.039834515086983255,0.3263501506573634
294Og,Viola-Seaborg,11.7085,0.00058,0.00031233447394330316,1.8569836133595843
246Fm,Xu2022_Unified,8.24276,1.54,1.409829607708819,1.1670198556639755
250Fm,Xu2022_Unified,7.43609,1860.0,897.8213168091766,2.071681709017971
252Fm,Xu2022_Unified,7.02243,91368.0,39254.91151240598,2.3275558772084963
254Fm,Xu2022_Unified,7.19222,11664.0,7204.220228335017,1.6200230186825157
256Fm,Xu2022_Unified,6.91553,9426.0,97518.37594214488,0.1051781345968735
252No,Xu2022_Unified,8.4133,2.467,1.833235054758792,1.9906930508176648
254No,Xu2022_Unified,8.09646,51.2,19.494183249900285,2.9182494162293198
256No,Xu2022_Unified,8.44791,2.91,1.2276193786652085,2.3835510950554983
256Rf,Xu2022_Unified,8.78653,0.0066,0.5858718259392147,3.6339556944071365
258Rf,Xu2022_Unified,9.05343,0.0125,0.08574570287239984,0.15329116731299977
260Sg,Xu2022_Unified,9.74868,0.00495,0.004525378293763954,1.5406073334295152
262Sg,Xu2022_Unified,9.45344,0.0085,0.026908549812244015,5.264745504873141
264Hs,Xu2022_Unified,10.4305,0.00063,0.00033079199166238923,2.720743012782946
266Hs,Xu2022_Unified,10.1904,0.00074,0.001212029388695613,0.8033503309471691
268Hs,Xu2022_Unified,9.47937,0.4,0.09086249752690978,4.402256276100448
270Hs,Xu2022_Unified,8.93563,7.6,3.555092908775882,2.1377781664268496
272Hs,Xu2022_Unified,9.62829,0.16,0.030127640697656673,5.310737790777119
270Ds,Xu2022_Unified,10.9523,0.0002,6.704996639404767e-05,2.982850115458893
276Ds,Xu2022_Unified,10.746,0.00015,0.0001641581927092076,2.1250063950220337
284Cn,Xu2022_Unified,9.32676,0.098,3.6755841594783507,1.333121427070091
284Fl,Xu2022_Unified,10.57,0.0025,0.006162540431904263,1.6903202148156702
288Fl,Xu2022_Unified,9.93606,0.64,0.26085163357145424,2.4535019820939206
290Fl,Xu2022_Unified,9.724,0.46,0.9787301027249208,0.46999678330041755
288Lv,Xu2022_Unified,11.0839,0.002,0.0012457540192549025,1.6054533793085566
290Lv,Xu2022_Unified,10.8483,0.0083,0.004337776027267393,1.9134229033094254
