Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Qalpha_DZR_MeV,l_used,parity_case,log10T_Royer_s,T_Royer_s,log10T_DZR_s,T_DZR_s,Talpha_exp_s,HF_Royer,HF_DZR
246Fm,246,100,8.24276,1.54,0.936,0,146,8.379003966942149,0.0,even-even,0.3852496184122387,2.428005232929363,0.48567975882430403,3.059706427504285,1.6452991452991452,0.6776341018483345,0.5377310484787812
248Fm,248,100,7.86605,34.5,0.0099,0,148,7.995001639344263,0.0,even-even,1.6466431092500784,44.324424881551515,1.76416176267535,58.09807764854663,3484.8484848484845,78.62140330440994,59.98216508865265
250Fm,250,100,7.43609,1860.0,1.0,0,150,7.557002032520326,0.0,even-even,3.210609734681462,1624.088662714821,3.348886307361475,2232.9875792450302,1860.0,1.145257671395126,0.832964776556824
252Fm,252,100,7.02243,91368.0,1.0,0,152,7.135695,0.0,even-even,4.851002503789751,70958.18588250922,5.010955288588342,102554.63389439831,91368.0,1.287631565881417,0.8909202493383447
254Fm,254,100,7.19222,11664.0,0.9994,0,154,7.307295519999999,0.0,even-even,4.111016859933102,12912.694015660049,4.263675052798277,18351.64725179419,11671.002601560936,0.9038394766736334,0.6359648505351417
256Fm,256,100,6.91553,9426.0,0.919,0,156,7.025300317460318,0.0,even-even,5.238974910925592,173370.38392606095,5.407052576308118,255301.03550210316,10256.800870511424,0.0591612052660952,0.04017532028547894
252No,252,102,8.4133,2.467,0.676,0,150,8.548998387096773,0.0,even-even,0.51480259034809,3.271919351526413,0.6348925875230833,4.314123639787007,3.6494082840236683,1.1153723218517442,0.8459211160215714
254No,254,102,8.09646,51.2,0.9,0,152,8.22600336,0.0,even-even,1.5519322503747475,35.639553164411765,1.686364876397171,48.569639096283815,56.88888888888889,1.5962290162968673,1.171284982705206
256No,256,102,8.44791,2.91,0.9945,0,154,8.58200380952381,0.0,even-even,0.3307039574536006,2.1414303693033827,0.4519929501606512,2.8313460345967263,2.9260935143288083,1.3664201069870323,1.033463758429505
256Rf,256,104,8.78653,0.0066,0.0031,0,152,8.925998730158732,0.0,even-even,0.02913679073794384,1.0693916549465425,0.15955574978616482,1.443961951806638,2.129032258064516,1.9908816832603238,1.4744379208889407
258Rf,258,104,9.05343,0.0125,0.951,0,154,9.196003700787402,0.0,even-even,-0.8263879554177862,0.14914614912297738,-0.7046580229955666,0.19739764948820235,0.013144058885383808,0.08812871778905916,0.06658670414497198
260Sg,260,106,9.74868,0.00495,0.71,0,154,9.901003125,0.0,even-even,-2.116055428671899,0.007654989006382604,-1.9955982159719738,0.010101870202596678,0.006971830985915494,0.9107564988143675,0.6901525010807791
262Sg,262,106,9.45344,0.0085,0.06,0,156,9.60000496124031,0.0,even-even,-1.3233748729002883,0.0474925104655423,-1.19156051243084,0.06433384191747703,0.1416666666666667,2.9829264715212616,2.2020551306167415
264Hs,264,108,10.4305,0.00063,0.7,0,156,10.59096923076923,0.0,even-even,-3.273015230960091,0.0005333161914506005,-3.150595565455099,0.000706975615281864,0.0009000000000000001,1.6875542397316552,1.2730283485678346
266Hs,266,108,10.1904,0.00074,0.76,0,158,10.3459786259542,0.0,even-even,-2.691861301917548,0.002033006176533847,-2.560663596495502,0.00275002349016196,0.0009736842105263157,0.47893814675289803,0.3540639612750986
268Hs,268,108,9.47937,0.4,1.0,0,160,9.622996818181818,0.0,even-even,-0.7654251724920513,0.17162273849707052,-0.6090935116835965,0.24598378982481006,0.4,2.330693493780999,1.6261234135992477
270Hs,270,108,8.93563,7.6,1.0,0,162,9.07000037593985,0.0,even-even,0.8553222108830241,7.166749270289293,1.0330583237007147,10.790916294160905,7.6,1.0604528934068902,0.7042960757755531
272Hs,272,108,9.62829,0.16,1.0,0,164,9.77199582089552,0.0,even-even,-1.2639732049705543,0.05445362485138331,-1.1103440442063786,0.0775632424110925,0.16,2.938280058245479,2.0628327932964035
270Ds,270,110,10.9523,0.0002,1.0,0,160,11.116996240601502,0.0,even-even,-3.9801054978625032,0.00010468742127744202,-3.848644322644411,0.00014169537579662532,0.0002,1.9104491978072622,1.4114786659450271
276Ds,276,110,10.746,0.00015,0.43,0,166,10.904029411764707,0.0,even-even,-3.5852693989554325,0.0002598547147890604,-3.443960582337219,0.0003597819883947707,0.00034883720930232553,1.3424317106791674,0.9695794135185111
284Cn,284,112,9.32676,0.098,0.02,0,172,9.459999428571429,0.0,even-even,0.9049219076968171,8.033816497898043,1.1199872703242164,13.182180994862646,4.9,0.6099218224964473,0.37171390697105633
284Fl,284,114,10.57,0.0025,0.24,0,170,10.721,0.0,even-even,-1.9101033697102139,0.012299759800950768,-1.716852778748816,0.019193192594007057,0.010416666666666668,0.84690000741815,0.5427271474324288
286Fl,286,114,10.1905,105.0,0.4,0,172,10.33504609929078,0.0,even-even,-0.9254911621637874,0.11871588593261478,-0.7186105214375402,0.1911566797595969,262.5,2211.1615302184546,1373.219080442944
288Fl,288,114,9.93606,0.64,1.0,0,174,10.076004507042253,0.0,even-even,-0.2439938368909722,0.5701723635866562,-0.027180410202880978,0.9393330213216111,0.64,1.1224675920349676,0.681334505945017
290Fl,290,114,9.724,0.46,1.0,0,176,9.86,0.0,even-even,0.3398658060306943,2.1870857252786142,0.5654146938598572,3.6763317406931355,0.46,0.21032554631181652,0.12512472552688395
288Lv,288,116,11.0839,0.002,1.0,0,172,11.240011267605635,0.0,even-even,-2.606977615507006,0.0024718515463993127,-2.406559290636075,0.003921396070986616,0.002,0.8091100790067075,0.5100224419556793
290Lv,290,116,10.8483,0.0083,1.0,0,174,11.000024475524476,0.0,even-even,-2.0485959174471304,0.008941370327319021,-1.839737837859154,0.014463125747928034,0.0083,0.9282693475563348,0.5738731823713173
292Lv,292,116,10.6432,0.013,1.0,0,176,10.791022222222223,0.0,even-even,-1.5507860553192927,0.028132863866388625,-1.3342345683326613,0.04631966733638634,0.013,0.46209301910181927,0.2806583196202679
294Og,294,118,11.7085,0.00058,1.0,0,176,11.869996551724139,0.0,even-even,-3.5505463409011284,0.0002814839644829968,-3.3444071109142968,0.00045247322923114796,0.00058,2.060508139656514,1.2818437921411356
