Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Ad_calc,Zd_calc,Qalpha_calc_MeV,x_calc,Ks_calc,y_calc,z_calc,N_interval,Z_interval,F_yz_calc,log10_T12a_Poenaru_s,T12a_Poenaru_s,energy_source,Ealpha_used_MeV,param_set,B1,B2,B3,B4,B5,B6,Texp_s_used,Br_alpha_used,T12a_exp_s,HF_Poenaru,log10_HF_Poenaru
246Fm,246,100,8.24276,1.54,0.936,0,146,242,98,8.379003966942149,0.2843265020357713,47.33716913164762,0.3275862068965517,0.53125,"(127,185]","(83,115]",1.0064710416716984,0.2453047733528173,1.7591576989684576,Ealpha,8.24276,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,1.54,0.936,1.6452991452991452,0.9352766646582752,-0.029059901254459505
248Fm,248,100,7.86605,34.5,0.0099,0,148,244,98,7.995001639344263,0.27189008041354534,50.20643759785365,0.3620689655172414,0.53125,"(127,185]","(83,115]",1.007641432686859,1.5249954976831965,33.496196659998766,Ealpha,7.86605,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,34.5,0.0099,3484.8484848484845,104.03713950635174,2.0171884027925278
250Fm,250,100,7.43609,1860.0,1.0,0,150,246,98,7.557002032520326,0.25755321325768515,53.78190203179234,0.39655172413793105,0.53125,"(127,185]","(83,115]",1.008878163773363,3.1185521771011757,1313.8693366509506,Ealpha,7.43609,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,1860.0,1.0,1860.0,1.4156658870973693,0.15096076711674059
252Fm,252,100,7.02243,91368.0,1.0,0,152,248,98,7.135695,0.2437189056804859,57.552873513964585,0.43103448275862066,0.53125,"(127,185]","(83,115]",1.0101812349312107,4.803374286784216,63587.87133232256,Ealpha,7.02243,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,91368.0,1.0,91368.0,1.4368777895157567,0.15741983174175747
254Fm,254,100,7.19222,11664.0,0.9994,0,154,250,98,7.307295519999999,0.2501140612944941,55.860558431430285,0.46551724137931033,0.53125,"(127,185]","(83,115]",1.0115506461604025,4.094150176478337,12420.817379028382,Ealpha,7.19222,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,11664.0,0.9994,11671.002601560936,0.9396324126998719,-0.027042010611005415
256Fm,256,100,6.91553,9426.0,0.919,0,156,252,98,7.025300317460318,0.24097274418290768,58.46118123375059,0.5,0.53125,"(127,185]","(83,115]",1.0129863974609374,5.273084844887901,187536.08476042852,Ealpha,6.91553,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,9426.0,0.919,10256.800870511424,0.05469241230888534,-1.2620729208503951
252No,252,102,8.4133,2.467,0.676,0,150,248,100,8.548998387096773,0.2861503302672151,47.58219865456879,0.39655172413793105,0.59375,"(127,185]","(83,115]",1.0098667971246564,0.4225805799936957,2.6459435836200567,Ealpha,8.4133,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,2.467,0.676,3.6494082840236683,1.3792464459996983,0.13964187355440444
254No,254,102,8.09646,51.2,0.9,0,152,250,100,8.22600336,0.27592839524573104,49.94107554461303,0.43103448275862066,0.59375,"(127,185]","(83,115]",1.0111633316445732,1.4852565200103136,30.567260633317463,Ealpha,8.09646,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,51.2,0.9,56.88888888888889,1.8611052384223659,0.2697709315261923
256No,256,102,8.44791,2.91,0.9945,0,154,252,100,8.58200380952381,0.28848139393568145,47.1820716463183,0.46551724137931033,0.59375,"(127,185]","(83,115]",1.0125262062358336,0.3015867674773851,2.002565673219189,Ealpha,8.44791,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,2.91,0.9945,2.9260935143288083,1.461172311829863,0.16470143404806775
256Rf,256,104,8.78653,0.0066,0.0031,0,152,252,102,8.925998730158732,0.29416144745694073,46.43016314124147,0.43103448275862066,0.65625,"(127,185]","(83,115]",1.012121733045435,-0.037209320741869334,0.9178900862713092,Ealpha,8.78653,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.0066,0.0031,2.129032258064516,2.319484968742999,0.3653915624494653
